,Name,Rating,Followers,Online,Peak,id
0,Undertale,95.23%,"307,354",835,"10,484",391540
1,Cuphead,94.74%,"255,988",878,"19,026",268910
2,Two Point Hospital,89.15%,"185,945","1,201","34,009",535930
3,Broforce,95.25%,"102,720",235,"3,988",274190
4,"Papers, Please",94.96%,"95,060",533,"6,129",239030
5,Command & Conquer™ Remastered Collection,89.10%,"91,422",951,"42,587",1213210
6,Moonlighter,81.21%,"86,073",86,"6,229",606150
7,Celeste,95.82%,"78,187",705,"2,252",504230
8,Hotline Miami 2: Wrong Number,91.21%,"74,917",230,"18,950",274170
9,Katana ZERO,96.28%,"74,326",144,"1,575",460950
10,CrossCode,91.84%,"71,321",153,"3,429",368340
11,Crash Bandicoot™ N. Sane Trilogy,90.31%,"66,939",194,"3,755",731490
12,Return of the Obra Dinn,94.20%,"61,275",89,"1,256",653530
13,Forts,87.39%,"60,055",403,"7,280",410900
14,Shovel Knight: Treasure Trove,93.82%,"58,519",93,"2,875",250760
15,Detention,77.88%,"55,156",6,"2,335",555220
16,Duck Game,94.36%,"53,686",457,"5,047",312530
17,To the Moon,94.71%,"53,650",28,615,206440
18,Rise to Ruins,86.68%,"52,283",68,"1,469",328080
19,Sven Co-op,90.85%,"51,196",480,"6,572",225840
20,Heroes® of Might & Magic® III - HD Edition,74.94%,"48,898","1,271","4,656",297000
21,FINAL FANTASY VII,90.79%,"48,606",355,"6,424",39140
22,Heroes of the Three Kingdoms 8,54.64%,"46,390",179,"25,160",875210
23,Owlboy,82.56%,"44,307",8,"1,317",115800
24,Rivals of Aether,92.50%,"43,350",441,"2,922",383980
25,Secret of Mana,67.17%,"42,956",13,"3,261",637670
26,Punch Club,77.96%,"42,048",53,"4,305",394310
27,Sonic Mania,90.88%,"42,046",227,"11,937",584400
28,Legend of Grimrock 2,87.41%,"41,870",43,"4,146",251730
29,Kung Fury,95.76%,"41,752",1,417,374570
30,Finding Paradise,94.96%,"41,491",13,994,337340
31,Hotline Miami,95.69%,"40,291",152,"6,878",219150
32,Samorost 3,91.19%,"39,832",12,468,421120
33,UnderMine,90.50%,"39,030",592,"3,245",656350
34,Grim Fandango Remastered,87.39%,"38,865",38,"1,500",316790
35,Roguelands,77.90%,"38,525",17,"1,150",364420
36,Realm of the Mad God Exalt,83.13%,"38,390","2,286","10,051",200210
37,Titan Souls,76.42%,"37,566",55,"4,404",297130
39,Party Hard,85.75%,"36,228",35,840,356570
40,DUSK,95.32%,"35,966",131,551,519860
41,Neverwinter Nights: Enhanced Edition,85.11%,"35,752","1,002","2,410",704450
42,Axiom Verge,89.34%,"35,579",90,788,332200
43,UnEpic,89.37%,"35,336",20,"3,095",233980
44,Half-Life,94.88%,"35,281",696,"6,022",70
45,Baba Is You,95.52%,"34,960",284,"1,533",736260
46,Streets of Rage 4,89.57%,"34,794",705,"6,438",985890
47,FINAL FANTASY VIII,86.16%,"31,635",149,"4,470",39150
48,Shenmue I & II,84.26%,"31,310",20,"1,554",758330
49,Planescape: Torment: Enhanced Edition,90.69%,"30,167",116,955,466300
50,CHRONO TRIGGER®,83.15%,"29,316",137,846,613830
51,THE KING OF FIGHTERS XIII STEAM EDITION,87.55%,"29,194",54,"1,100",222940
52,Evoland 2,84.28%,"28,125",10,"1,043",359310
53,Yooka-Laylee,73.74%,"28,100",32,"6,508",360830
54,EDGE,88.02%,"26,723",1,363,38740
55,Star Renegades,81.85%,"26,405",38,"1,785",651670
56,The Red Strings Club,91.10%,"26,247",7,287,589780
57,The Messenger,91.42%,"25,720",48,679,764790
58,Thimbleweed Park™,89.96%,"25,517",10,"2,733",569860
59,Beat Cop,80.12%,"25,407",20,526,461950
