,Name,Rating,Followers,Online,Peak,id
0,Counter-Strike: Global Offensive,87.73%,"2,944,662","510,771","1,308,963",730
1,PUBG: BATTLEGROUNDS,54.52%,"2,847,944","97,647","3,257,248",578080
2,Dota 2,83.55%,"1,887,003","379,039","1,295,114",570
3,Dead by Daylight,81.53%,"1,298,168","56,841","105,093",381210
4,Monster Hunter: World,83.48%,"745,080","12,441","334,684",582010
5,Killing Floor 2,86.81%,"617,961","2,775","69,987",232090
6,Fall Guys: Ultimate Knockout,82.27%,"615,530","11,925","172,213",1097150
7,DARK SOULS™ III,93.01%,"562,806","11,105","129,975",374320
8,Battlerite,83.09%,"526,206",369,"45,145",504370
9,Don't Starve Together,95.13%,"505,458","12,147","68,418",322330
10,Sekiro™: Shadows Die Twice - GOTY Edition,93.56%,"460,471","2,405","125,315",814380
11,The Long Dark,89.86%,"460,431","1,287","14,433",305620
12,Counter-Strike: Source,94.77%,"435,159","3,988","100,056",240
13,Chivalry: Medieval Warfare,81.24%,"367,886",199,"25,145",219640
14,Frostpunk,89.70%,"331,686","5,997","29,361",323190
15,Oxygen Not Included,94.72%,"330,996","7,643","27,486",457140
16,DOOM,93.94%,"327,579","1,827","44,271",379720
17,Darkest Dungeon®,89.51%,"302,542","4,226","19,357",262060
18,Elite Dangerous,76.49%,"294,215","4,736","28,923",359320
19,Dead Cells,95.35%,"285,472","1,460","13,802",588650
20,XCOM® 2,83.18%,"285,411","5,635","133,022",268500
21,Kerbal Space Program,93.10%,"275,856","3,827","19,149",220200
22,Hollow Knight,95.74%,"267,383","6,765","11,992",367520
23,Resident Evil 2,95.77%,"263,717",808,"74,227",883710
24,Cuphead,94.74%,"255,988",878,"19,026",268910
25,They Are Billions,83.54%,"255,231","1,956","22,395",644930
26,Risk of Rain 2,95.19%,"248,653","6,130","71,548",632360
27,GTFO,86.64%,"236,110",499,"5,247",493520
28,The Binding of Isaac: Rebirth,96.57%,"222,230","17,005","70,701",250900
29,Devil May Cry 5,92.69%,"218,904",527,"88,894",601150
30,Ori and the Blind Forest,93.70%,"213,863",109,"13,108",261570
31,Insurgency: Sandstorm,83.26%,"211,997","2,444","14,606",581320
32,Hades,97.40%,"211,213","5,851","37,749",1145360
33,Plague Inc: Evolved,92.56%,"210,944",434,"17,889",246620
34,Friday the 13th: The Game,77.50%,"207,391",912,"16,096",438740
35,DOOM Eternal,89.24%,"206,899","4,244","104,891",782330
36,Wolcen: Lords of Mayhem,55.62%,"192,095",874,"127,542",424370
37,Dragon's Dogma: Dark Arisen,87.84%,"189,412",718,"27,368",367500
38,DARK SOULS™ II: Scholar of the First Sin,85.01%,"185,308","2,797","12,106",335300
39,The Talos Principle,93.53%,"180,221",143,"4,007",257510
40,Slay the Spire,96.40%,"178,205","7,384","33,086",646570
41,Getting Over It with Bennett Foddy,81.08%,"177,602",404,"5,054",240720
42,Verdun,83.99%,"171,638",252,"4,541",242860
43,Remnant: From the Ashes,83.26%,"169,449",687,"48,289",617290
44,TEKKEN 7,81.66%,"166,853","3,771","18,966",389730
45,DRAGON BALL FighterZ,88.11%,"166,488","3,342","44,303",678950
46,Shadow Tactics: Blades of the Shogun,94.07%,"166,418",208,"5,037",418240
47,Don't Starve,95.30%,"165,845","1,203","16,796",219740
48,INSIDE,94.26%,"161,351",69,"4,170",304430
49,The Wild Eight,69.82%,"159,714",283,"1,707",526160
50,ELEX,73.17%,"157,235",736,"22,969",411300
52,Artifact,46.90%,"152,783",21,"60,646",583950
53,CODE VEIN,86.15%,"151,661",527,"33,895",678960
54,Enter the Gungeon,94.47%,"147,633","1,117","15,792",311690
55,Nioh: Complete Edition / 仁王 Complete Edition,79.08%,"144,514",389,"10,649",485510
56,PAYDAY™ The Heist,91.45%,"143,029",31,"50,316",24240
57,Ori and the Will of the Wisps,94.75%,"142,463",433,"34,807",1057090
58,Resident Evil 3,75.82%,"141,564",323,"60,293",952060
59,Banished,88.45%,"139,043","1,011","24,636",242920
60,SUPERHOT,87.82%,"137,038",59,"5,584",322500
61,BattleBlock Theater®,95.55%,"136,292",181,"14,781",238460
62,Outward,73.22%,"135,949",586,"11,296",794260
63,Beat Saber,94.42%,"135,326","1,438","4,472",620980
64,World War 3,60.72%,"135,083",36,"11,108",674020
65,The Escapists 2,87.54%,"132,999",334,"11,202",641990
66,Overcooked! 2,88.62%,"132,171","1,190","11,213",728880
67,Alien: Isolation,91.18%,"131,821",248,"10,870",214490
68,DARK SOULS™: Prepare To Die™ Edition,90.10%,"130,104",400,"11,259",211420
69,DiRT Rally,85.97%,"126,734",252,"20,343",310560
70,DESOLATE,67.27%,"123,359",55,"1,832",671510
71,EVERSPACE™,77.75%,"122,244",109,"1,448",396750
72,Noita,93.65%,"120,960","1,810","5,239",881100
73,Ori and the Blind Forest: Definitive Edition,94.23%,"119,117",415,"9,079",387290
74,BATTLETECH,80.31%,"118,307","2,525","35,767",637090
75,DARK SOULS™ II,87.50%,"117,175",298,"79,528",236430
76,The Witness,83.29%,"115,785",155,"6,185",210970
77,Arma 2: Operation Arrowhead,90.24%,"115,686",374,"19,175",33930
78,HELLDIVERS™ Dive Harder Edition,89.61%,"115,384",188,"6,744",394510
79,Hello Neighbor,76.74%,"113,472",109,"1,414",521890
80,Killing Floor,93.72%,"113,306",351,"24,107",1250
81,Stoneshard,77.05%,"111,500",245,"10,738",625960
82,Absolver,68.56%,"108,540",50,"18,921",473690
83,SCP: Secret Laboratory,90.19%,"108,404","4,738","7,679",700330
84,The Escapists,87.80%,"108,395",54,"3,354",298630
85,Ghostrunner,89.68%,"106,914",219,"11,294",1139900
86,Source Filmmaker,91.33%,"106,628","1,296","3,975",1840
87,Hyper Light Drifter,91.37%,"105,909",48,"4,954",257850
88,Keep Talking and Nobody Explodes,94.99%,"105,733",198,"1,767",341800
89,Men of War: Assault Squad 2,88.43%,"105,437","1,582","9,750",244450
90,Naval Action,62.62%,"104,432",874,"5,222",311310
91,DRAGON BALL Z: KAKAROT,90.86%,"104,226","1,390","25,852",851850
92,Darksiders III,73.98%,"102,635",335,"7,730",606280
93,Subsistence,72.03%,"101,296",465,"1,376",418030
94,Wizard of Legend,89.15%,"98,914",373,"6,487",445980
95,Bloodstained: Ritual of the Night,93.35%,"98,360",473,"26,934",692850
96,Mutant Year Zero: Road to Eden,88.53%,"97,706",45,"4,067",760060
97,Lost Castle / 失落城堡,86.44%,"96,912",81,"4,701",434650
98,DARK SOULS™: REMASTERED,86.11%,"95,652","2,625","24,501",570940
99,"Papers, Please",94.96%,"95,060",533,"6,129",239030
