,Name,Rating,Followers,Online,Peak,id
0,Warframe,89.62%,"755,251","38,970","189,837",230410
1,Dying Light: Enhanced Edition,93.98%,"603,769","3,680","45,876",239140
2,Human: Fall Flat,93.25%,"488,573","1,167","127,517",477160
3,Rise of the Tomb Raider™,92.63%,"368,952","1,149","44,588",391220
4,Assassin's Creed® Origins,84.92%,"310,838",762,"41,551",582160
5,Just Cause™ 3,79.83%,"302,613","1,531","23,459",225540
6,Watch_Dogs® 2,81.33%,"296,713",269,"18,138",447040
7,Assassin's Creed® Odyssey,87.59%,"277,672","2,642","62,069",812140
8,Call of Duty®: Black Ops III,75.70%,"260,696","4,623","63,681",311210
9,NARAKA: BLADEPOINT,67.85%,"249,815","19,838","70,731",1203220
10,Dying Light 2 Stay Human,-,"222,355",0,34,534380
11,Dishonored 2,85.14%,"219,057","1,338","22,411",403640
12,Middle-earth™: Shadow of Mordor™,90.70%,"215,473",453,"48,668",241930
13,Dirty Bomb®,80.02%,"176,211",159,"13,113",333930
14,Assassin's Creed® Unity,71.33%,"172,839",222,"12,180",289650
15,Assassin's Creed® Syndicate,77.22%,"170,210",196,"4,729",368500
16,Outlast 2,88.52%,"165,571",188,"5,966",414700
17,Shadow Warrior 2,86.00%,"141,054",90,"12,634",324800
18,Assassin’s Creed® IV Black Flag™,87.95%,"120,276",493,"16,049",242050
19,Outlast,94.60%,"94,352",309,"11,827",238320
20,BONEWORKS,89.11%,"94,004",373,"8,717",823500
22,Ultimate Chicken Horse,94.12%,"90,370",324,"2,744",386940
23,Titanfall® 2,94.04%,"89,968","1,370","27,631",1237970
24,Sleeping Dogs: Definitive Edition,90.22%,"88,415",470,"4,035",307690
25,Watch_Dogs™,71.22%,"87,857",86,"47,887",243470
26,Styx: Master of Shadows,80.50%,"83,357",38,"1,639",242640
27,My Friend Pedro,93.79%,"81,141",74,"7,117",557340
28,Tom Clancy’s Splinter Cell Blacklist,81.99%,"73,430",83,"6,146",235600
29,Clustertruck,89.91%,"66,026",68,"2,658",397950
30,Assassin’s Creed® Rogue,81.87%,"65,908",119,"2,371",311560
31,SpeedRunners,91.84%,"65,857",341,"17,212",207140
32,Assassin's Creed 2 Deluxe Edition,86.68%,"63,599",185,"3,617",33230
33,Styx: Shards of Darkness,79.54%,"61,114",30,"1,241",355790
34,Dishonored®: Death of the Outsider™,84.69%,"57,561",199,"6,086",614570
35,TOXIKK™,74.58%,"51,160",393,"1,646",324810
36,Thief,72.39%,"43,430",158,"18,352",239160
37,Assassin’s Creed® Brotherhood,87.14%,"42,640",120,"3,848",48190
38,Lost Squad,-,"41,434",0,2,284080
39,Mirror's Edge™,85.83%,"40,658",62,"3,805",17410
40,Assassin’s Creed® III,73.41%,"40,375",31,"15,007",208480
41,Prototype 2,73.05%,"40,309",49,"4,070",115320
42,Aperture Tag: The Paint Gun Testing Initiative,78.91%,"39,778",12,913,280740
43,Die Young,77.66%,"39,632",5,192,433170
44,Prototype™,78.43%,"38,861",39,"1,570",10150
45,Valley,88.45%,"38,079",3,483,378610
46,Dying Light: Bad Blood,68.88%,"37,713",2,"1,374",766370
47,Overgrowth,74.49%,"37,614",31,606,25000
48,Assassin's Creed® Revelations,83.62%,"37,483",77,"3,105",201870
49,Remember Me,81.36%,"37,212",13,"3,117",228300
50,Double Action: Boogaloo,90.14%,"36,969",17,"1,184",317360
52,Darksiders II Deathinitive Edition,75.19%,"34,139",227,"2,927",388410
53,A Story About My Uncle,89.93%,"33,943",20,"190,590",278360
54,Hot Lava,90.00%,"30,941",32,"1,030",382560
55,BRINK,60.84%,"30,385",11,"16,824",22350
56,Sunset Overdrive,87.68%,"29,954",67,"2,326",847370
57,Pandemic Express - Zombie Escape,57.93%,"28,978",4,897,939510
58,Seven: Enhanced Edition,75.08%,"28,883",6,443,471010
59,Quake Live™,83.63%,"28,369",378,"6,154",282440
60,Assassin's Creed™: Director's Cut Edition,81.75%,"26,339",64,"1,468",15100
61,Assassin’s Creed® Chronicles: China,71.40%,"25,847",7,591,354380
62,Submerged,73.10%,"25,799",5,521,301860
63,Modern Combat Versus,63.44%,"25,448",75,"1,123",723780
64,Grow Home,88.24%,"23,927",4,712,323320
65,Sword With Sauce,81.93%,"23,717",6,464,581630
66,ENSLAVED™: Odyssey to the West™ Premium Edition,82.48%,"23,665",9,914,245280
68,Hover,77.81%,"22,043",4,428,280180
69,Spacelords,51.60%,"21,984",11,"2,093",436180
70,Amazing Frog?,88.30%,"20,235",79,629,332570
71,Assassin's Creed Freedom Cry,73.28%,"19,990",12,447,277590
72,HYPERCHARGE: Unboxed,86.00%,"19,634",23,925,523660
73,Blade Symphony,64.81%,"19,123",5,"3,155",225600
74,Melody's Escape,89.75%,"18,836",4,370,270210
75,Downward,69.61%,"18,723",1,45,506900
76,Toribash,86.53%,"18,544",112,"2,724",248570
77,DeadCore,81.52%,"17,939",1,273,284460
78,Refunct,93.18%,"17,549",0,480,406150
79,Sleeping Dogs,92.07%,"17,224",30,"12,134",202170
80,Mirror's Edge™ Catalyst,81.58%,"17,003",72,"1,446",1233570
81,Himno,88.25%,"16,787",5,320,931690
82,Deadlight,77.41%,"16,430",6,"1,678",211400
83,GunZ 2: The Second Duel,65.14%,"16,392",9,"10,441",242720
84,Vampire: The Masquerade - Bloodhunt,-,"15,832",0,22,760160
85,Liftoff: FPV Drone Racing,89.26%,"15,008",173,646,410340
86,Tokyo 42,66.53%,"14,769",1,221,490450
87,Assassin’s Creed® Liberation HD,56.36%,"13,788",3,"1,174",260210
89,Raji: An Ancient Epic,84.72%,"13,080",2,219,730390
90,Ben and Ed,77.61%,"12,997",8,214,395200
91,Superflight,93.61%,"12,983",21,613,732430
92,Windlands,73.24%,"12,752",1,77,428370
93,I Am Alive,65.49%,"12,086",2,"1,228",214250
94,GOAT OF DUTY,83.17%,"10,952",7,"3,018",555000
95,Ben and Ed - Blood Party,84.28%,"10,492",23,443,500260
96,N++ (NPLUSPLUS),90.35%,"10,240",33,522,230270
97,Lara Croft GO,88.19%,"9,853",8,397,540840
98,SEUM: Speedrunners from Hell,90.59%,"9,744",12,852,457210
99,Tomb Raider: Underworld,74.20%,"9,271",38,415,8140
