,Name,Rating,Followers,Online,Peak,id
0,The Witcher® 3: Wild Hunt,97.05%,"786,023","13,469","103,329",292030
1,The Elder Scrolls V: Skyrim Special Edition,89.28%,"396,812","23,226","69,906",489830
2,The Elder Scrolls® Online,80.65%,"394,490","19,678","49,234",306130
3,The Elder Scrolls V: Skyrim,93.81%,"310,714","5,421","287,411",72850
4,Middle-earth™: Shadow of War™,85.06%,"290,587","2,102","68,183",356190
5,Dishonored 2,85.14%,"219,057","1,483","22,411",403640
6,Middle-earth™: Shadow of Mordor™,90.70%,"215,473",485,"48,668",241930
7,Dragon's Dogma: Dark Arisen,87.84%,"189,412",699,"27,368",367500
8,GreedFall,77.26%,"162,378",298,"16,345",606880
9,Artifact,46.90%,"152,783",27,"60,646",583950
10,Dark and Light,54.24%,"151,382",212,"14,089",529180
11,Black Desert,74.46%,"140,901","20,814","60,395",582660
12,NieR Replicant™ ver.1.22474487139...,83.86%,"108,420",489,"28,684",1113560
13,Wizard of Legend,89.15%,"98,914",350,"6,487",445980
14,PixARK,69.37%,"95,911",341,"14,144",593600
15,FINAL FANTASY XIV Online,86.85%,"90,586","52,667","67,148",39210
16,The Witcher 2: Assassins of Kings Enhanced Edition,88.87%,"89,250",703,"12,884",20920
17,Divinity: Original Sin (Classic),89.23%,"84,681",22,"22,040",230230
18,Dishonored,95.69%,"83,719","1,000","19,938",205100
19,Styx: Master of Shadows,80.51%,"83,357",40,"1,639",242640
20,Aragami,87.83%,"83,277",64,"1,713",280160
21,Citadel: Forged with Fire,67.20%,"80,130",57,"7,777",487120
22,Lords Of The Fallen™,59.89%,"79,861",43,"8,024",265300
23,Children of Morta,89.27%,"79,260",129,"3,064",330020
24,Crypt of the NecroDancer,93.79%,"74,562",152,"2,282",247080
25,Fable Anniversary,81.50%,"73,457",166,"6,186",288470
26,Last Epoch,84.68%,"71,981",981,"7,273",899770
27,Magicka 2,79.83%,"68,429",57,"6,426",238370
28,The Elder Scrolls IV: Oblivion® Game of the Year Edition,93.63%,"67,007","1,685","6,390",22330
29,The Witcher: Enhanced Edition Director's Cut,87.63%,"59,198",693,"12,685",20900
30,Dishonored®: Death of the Outsider™,84.69%,"57,561",213,"6,086",614570
31,Planet Centauri,78.17%,"55,814",25,369,385380
32,Blade and Sorcery,93.29%,"53,459",812,"4,892",629730
33,The Elder Scrolls V: Skyrim VR,75.44%,"52,126",371,"3,048",611670
34,Might & Magic® Heroes® VII,52.82%,"51,305",249,"4,993",321960
35,Rabi-Ribi,94.29%,"50,546",27,693,400910
36,Heroes® of Might & Magic® III - HD Edition,74.94%,"48,898","1,152","4,656",297000
37,The Elder Scrolls III: Morrowind® Game of the Year Edition,92.93%,"47,915",623,"1,396",22320
38,Momodora: Reverie Under The Moonlight,91.08%,"47,643",32,693,428550
39,FINAL FANTASY TYPE-0™ HD,60.48%,"45,684",18,"2,673",340170
40,RIFT,73.45%,"45,436",245,"15,546",39120
42,Magicka,87.39%,"44,016",93,"11,727",42910
43,Becastled,80.16%,"43,457",88,"1,507",1330460
44,Aura Kingdom,77.14%,"42,701",144,"2,165",268420
45,Folk Tale,41.06%,"41,340",0,536,224440
46,Magic Duels,69.72%,"41,171",85,"14,586",316010
47,Hellraid,-,"40,326",0,23,226920
48,Little Witch Nobeta,92.44%,"38,922",8,"2,514",1049890
49,Baldur's Gate: Enhanced Edition,88.35%,"38,445",814,"3,756",228280
50,Baldur's Gate II: Enhanced Edition,87.67%,"38,401",600,"2,644",257350
51,Valley,88.45%,"38,079",6,483,378610
52,Warhammer: Chaosbane,53.50%,"37,532",57,"4,603",774241
53,Swords of Legends Online,71.53%,"36,733","4,675","18,806",1418100
54,Kingdoms of Amalur: Reckoning™,86.20%,"36,652",67,"12,800",102500
55,Neverwinter Nights: Enhanced Edition,85.11%,"35,752",980,"2,410",704450
56,UnEpic,89.37%,"35,336",18,"3,095",233980
57,Driftland: The Magic Revival,72.49%,"34,936",16,456,718650
58,Epistory - Typing Chronicles,91.69%,"34,878",11,400,398850
59,Spellcaster University,81.54%,"33,997",176,"2,197",895620
60,Shadows: Awakening,73.92%,"33,333",13,902,585450
61,Ash of Gods: Redemption,74.01%,"33,022",8,"1,002",691690
62,Chaos Reborn,73.17%,"32,898",6,346,319050
63,Dungeons & Dragons Online®,69.00%,"31,432",310,"2,854",206480
64,In Verbis Virtus,76.59%,"29,829",1,248,242840
65,Icewind Dale: Enhanced Edition,85.31%,"29,779",173,856,321800
66,Fable - The Lost Chapters,89.39%,"28,332",70,"2,595",204030
67,Quest Hunter,78.70%,"28,022",29,549,487000
68,Spellbreak,82.85%,"27,868",434,"5,504",1399780
69,Divinity II: Developer's Cut,80.69%,"27,800",56,"1,237",219780
70,Sun Haven,84.10%,"27,615",173,"1,626",1432860
71,Chronicon,92.20%,"27,594",66,"4,868",375480
72,Monster Train,94.05%,"27,112",805,"14,073",1102190
73,Risen 3 - Titan Lords,71.61%,"26,908",104,"8,011",249230
74,Eastern Exorcist,82.38%,"26,893",30,"2,206",1120810
75,Ziggurat,83.39%,"25,869",6,809,308420
76,The Incredible Adventures of Van Helsing,81.06%,"24,432",34,"4,231",215530
77,Nine Parchments,74.91%,"23,371",28,594,471550
78,Legion TD 2 - Multiplayer Tower Defense,76.23%,"22,584",345,"3,284",469600
79,Crown Trick,84.06%,"21,836",36,"6,594",1000010
80,Villagers and Heroes,58.68%,"20,755",47,"2,964",263540
81,FINAL FANTASY VI (Old ver.),78.57%,"20,733",62,577,382900
82,FAIRY TAIL,68.03%,"18,993",11,"1,930",1233260
83,The Incredible Adventures of Van Helsing: Final Cut,73.15%,"18,959",46,"1,322",400170
84,Legend of Mana,75.88%,"18,774",51,"1,479",1175830
85,Lichdom: Battlemage,56.32%,"18,244",10,868,261760
86,Mortal Online 2,-,"17,947",0,"1,300",1170950
87,Kingdom Rush Frontiers - Tower Defense,93.16%,"17,733",73,981,458710
89,Vanishing Realms™,87.23%,"17,159",2,149,322770
90,Gothic® 3,80.58%,"17,020",223,915,39500
91,AMID EVIL,92.51%,"16,887",27,352,673130
92,Eon Altar,82.16%,"16,746",1,152,382050
93,Risen,85.79%,"16,631",140,"1,382",40300
94,fault - milestone one,89.52%,"16,444",0,313,286260
95,Bound By Flame,65.88%,"15,977",4,"2,639",243930
96,Deathtrap,79.91%,"15,816",16,948,310510
97,Fallen girl - Black rose and the fire of desire,71.68%,"15,730",12,368,1546010
98,Final Fantasy IV (3D Remake),81.19%,"15,715",100,667,312750
99,Astellia,65.65%,"15,522",10,"1,181",1185560
