,Name,Rating,Followers,Online,Peak,id
0,Wallpaper Engine,96.92%,"672,048","30,387","66,512",431960
1,NieR:Automata™,81.83%,"449,074",769,"23,908",524220
2,CS:GO Player Profiles,88.80%,"355,600",5,193,413850
3,Paladins®,85.03%,"331,872","10,459","60,743",444090
4,NARAKA: BLADEPOINT,67.75%,"249,815","21,907","70,731",1203220
5,FINAL FANTASY XV WINDOWS EDITION,80.15%,"240,939",572,"29,498",637650
6,Devil May Cry 5,92.69%,"218,904",531,"88,894",601150
7,KurtzPel,62.65%,"214,588",392,"11,937",844870
8,TEKKEN 7,81.66%,"166,853","3,743","18,966",389730
9,DRAGON BALL FighterZ,88.11%,"166,488","3,329","44,303",678950
10,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,88.75%,"162,979",916,"7,185",349040
11,CODE VEIN,86.15%,"151,661",533,"33,895",678960
12,Craftopia,78.93%,"149,269",429,"27,246",1307550
13,太吾绘卷 The Scroll Of Taiwu,80.33%,"146,037",286,"72,533",838350
14,Sword Art Online: Fatal Bullet,77.83%,"145,791",119,"21,727",626690
15,DEAD OR ALIVE Xtreme Venus Vacation,80.53%,"139,994",981,"10,381",958260
16,Temtem,85.88%,"139,665",966,"39,572",745920
17,DRAGON BALL XENOVERSE 2,85.07%,"136,669",870,"19,416",454650
18,RWBY: Grimm Eclipse,79.97%,"136,592",6,"3,298",418340
19,OCTOPATH TRAVELER™,83.84%,"135,832",245,"6,177",921570
20,VRChat,89.47%,"135,546","16,511","27,732",438100
21,Beat Saber,94.42%,"135,326","1,429","4,472",620980
22,Doki Doki Literature Club!,95.52%,"132,697",937,"7,402",698780
23,Tales of Zestiria,80.50%,"132,519",84,"9,696",351970
24,Bright Memory,89.92%,"130,715",23,"1,907",955050
25,Mirror,95.43%,"126,433",272,"7,565",644560
26,JUMP FORCE,71.10%,"118,753",313,"9,885",816020
27,GRIS,94.79%,"113,596",61,959,683320
28,Ni no Kuni™ II: Revenant Kingdom,82.39%,"112,275",170,"10,805",589360
29,Tales of Berseria™,90.11%,"111,791",281,"8,085",429660
30,Bless Online,38.43%,"111,351",0,"34,392",681660
31,NieR Replicant™ ver.1.22474487139...,83.86%,"108,420",506,"28,684",1113560
32,Source Filmmaker,91.33%,"106,628","1,311","3,975",1840
33,Street Fighter V,61.72%,"105,435","2,011","14,783",310950
34,Sword Art Online: Hollow Realization Deluxe Edition,79.04%,"105,291",46,"3,254",607890
35,DRAGON BALL Z: KAKAROT,90.86%,"104,226","1,382","25,852",851850
36,Bayonetta,89.65%,"102,934",103,"4,194",460790
37,Bloodstained: Ritual of the Night,93.35%,"98,360",478,"26,934",692850
38,DRAGON BALL XENOVERSE,86.44%,"97,809",57,"22,850",323470
39,FINAL FANTASY X/X-2 HD Remaster,88.63%,"97,223",718,"13,263",359870
40,ICEY,89.02%,"94,980",1,"3,240",553640
42,NARUTO TO BORUTO: SHINOBI STRIKER,83.04%,"91,393","1,458","6,310",633230
43,FINAL FANTASY XIV Online,86.85%,"90,586","53,053","67,148",39210
44,古剑奇谭三(Gujian3),84.32%,"89,790",181,"10,183",994280
45,Amazing Cultivation Simulator,85.13%,"89,410",979,"18,349",955900
46,SCARLET NEXUS,83.32%,"86,427",410,"14,516",775500
47,RPG Maker MV,88.46%,"86,315",865,"2,486",363890
48,VA-11 Hall-A: Cyberpunk Bartender Action,95.47%,"84,842",66,"1,574",447530
49,NEKOPARA Vol. 1,93.39%,"83,447",76,487,333600
50,Aragami,87.83%,"83,277",66,"1,713",280160
51,Edge Of Eternity,76.53%,"83,271",91,736,269190
52,Atelier Ryza: Ever Darkness & the Secret Hideout,84.43%,"83,098",41,"4,616",1121560
53,STEINS;GATE,94.62%,"82,691",54,"1,238",412830
54,Chinese Parents,89.77%,"82,457",105,"32,593",736190
55,Persona 4 Golden,95.36%,"76,996","1,746","29,984",1113000
56,FINAL FANTASY IX,90.80%,"76,228",279,"8,229",377840
57,Valkyria Chronicles™,88.36%,"73,921",68,"5,039",294860
58,Okami HD,89.58%,"73,804",65,"2,136",587620
59,Tree of Savior (English Ver.),63.74%,"73,470","1,012","53,554",372000
60,GOD EATER 2 Rage Burst,75.74%,"73,068",25,"1,491",438490
61,Lobotomy Corporation | Monster Management Simulation,91.35%,"73,035",317,"2,880",568220
62,AI＊Shoujo/AI＊少女,74.01%,"72,519",48,599,1250650
63,CrossCode,91.84%,"71,321",153,"3,429",368340
64,Secrets of Grindea,88.49%,"70,309",35,435,269770
65,Battle Chasers: Nightwar,85.57%,"69,344",60,"5,375",451020
66,Muse Dash,90.71%,"67,153",435,"6,087",774171
67,Danganronpa: Trigger Happy Havoc,94.32%,"65,531",365,"3,392",413410
68,DEAD OR ALIVE 5 Last Round: Core Fighters,64.88%,"65,158",27,"2,827",311730
69,SOULCALIBUR VI,79.34%,"64,911",458,"14,684",544750
70,Yu-Gi-Oh! Duel Links,82.64%,"64,696","9,237","17,202",601510
71,VR Kanojo / VRカノジョ,74.47%,"64,162",7,66,751440
72,Helltaker,96.53%,"64,080",138,"6,509",1289310
73,Everlasting Summer,93.96%,"63,263",933,"1,823",331470
74,LIGHTNING RETURNS™: FINAL FANTASY® XIII,77.39%,"62,637",57,"2,503",345350
75,Phantasy Star Online 2 New Genesis,74.58%,"62,085","3,792","59,558",1056640
76,Art of War: Red Tides,76.94%,"61,692",10,"4,031",558100
77,FINAL FANTASY XII THE ZODIAC AGE,86.44%,"61,476",296,"8,386",595520
78,SENRAN KAGURA ESTIVAL VERSUS,91.42%,"61,014",23,"1,088",502800
79,Sands of Salzaar,85.58%,"60,675",82,"21,047",1094520
80,コイカツ！ / Koikatsu Party,89.76%,"58,935",198,367,1073440
81,GrandChase,55.07%,"58,440","12,068","79,883",985810
82,Attack on Titan / A.O.T. Wings of Freedom,81.82%,"58,234",13,"2,191",449800
83,Danganronpa V3: Killing Harmony,84.12%,"57,127",368,"4,691",567640
84,APB Reloaded,63.15%,"56,954",297,"11,813",113400
85,Fate/EXTELLA,88.91%,"55,901",7,"2,946",511680
86,Persona® 5 Strikers,89.92%,"55,774",210,"8,730",1382330
87,GOD EATER 3,79.43%,"55,682",71,"9,549",899440
88,Skullgirls 2nd Encore,91.97%,"54,613",413,"4,016",245170
89,Eternal Return,81.98%,"54,527","2,379","52,853",1049590
90,Valkyria Chronicles 4 Complete Edition,84.94%,"54,319",114,"2,546",790820
91,Devil May Cry 4 Special Edition,88.21%,"54,300",67,"4,500",329050
92,Riders of Icarus,65.50%,"53,958",389,"17,162",442080
93,One Piece Pirate Warriors 3,78.31%,"53,627",57,"4,274",331600
94,OneShot,95.74%,"53,268",34,824,420530
95,NEKOPARA Vol. 3,94.32%,"52,580",22,"2,571",602520
96,Monster Girl Island: Prologue,93.74%,"51,807",66,"1,538",943700
97,Hyperdimension Neptunia Re;Birth1,92.27%,"51,718",29,"2,281",282900
99,NEKOPARA Vol. 2,94.43%,"51,636",23,"1,228",420110
