,Name,Rating,Followers,Online,Peak,id
0,PAYDAY 2,87.79%,"7,544,201","24,843","247,709",218620
1,Grand Theft Auto V,82.79%,"2,336,535","96,794","364,548",271590
2,Team Fortress 2,93.06%,"1,231,323","76,677","151,253",440
3,Wallpaper Engine,96.92%,"672,048","30,387","66,512",431960
4,Rocket League®,88.30%,"618,648","64,473","147,632",252950
5,Fall Guys: Ultimate Knockout,82.27%,"615,530","11,836","172,213",1097150
6,Garry's Mod,95.76%,"605,466","32,010","73,863",4000
7,Cities: Skylines,91.95%,"579,631","12,303","60,386",255710
8,Don't Starve Together,95.13%,"505,458","12,232","68,418",322330
9,Human: Fall Flat,93.25%,"488,573","1,487","127,517",477160
10,Divinity: Original Sin 2 - Definitive Edition,94.75%,"455,425","8,560","93,701",435150
11,Paladins®,85.03%,"331,872","10,459","60,743",444090
12,Undertale,95.23%,"307,354",844,"10,484",391540
13,Portal 2,97.64%,"303,997","2,382","98,460",620
14,Just Cause™ 3,79.83%,"302,613","1,727","23,459",225540
15,Sea of Thieves,89.02%,"296,832","13,296","66,906",1172620
16,Totally Accurate Battle Simulator,96.25%,"296,159","2,150","13,674",508440
17,Scrap Mechanic,90.83%,"289,374","2,794","46,643",387990
18,Borderlands 2,92.54%,"287,122","3,794","124,678",49520
19,Dead Cells,95.35%,"285,472","1,469","13,802",588650
20,Besiege,93.79%,"281,869",260,"11,206",346010
22,Kerbal Space Program,93.10%,"275,856","3,856","19,149",220200
23,Planet Coaster,89.16%,"274,862","2,061","21,971",493340
24,Among Us,92.14%,"273,036","10,844","447,476",945360
25,Cuphead,94.74%,"255,988",871,"19,026",268910
26,BeamNG.drive,94.90%,"250,756","7,029","13,572",284160
27,Planet Zoo,88.07%,"239,930","3,672","38,630",703080
28,Gang Beasts,75.42%,"232,178",488,"3,062",285900
29,HITMAN™ 2,89.37%,"231,772","1,523","361,001",863550
30,SMITE®,79.66%,"230,829","16,999","31,169",386360
31,Apex Legends™,88.13%,"229,969","128,770","330,879",1172470
32,Slime Rancher,96.08%,"221,645","1,851","6,452",433340
33,Borderlands: The Pre-Sequel,79.47%,"219,143",527,"68,238",261640
34,Friday the 13th: The Game,77.50%,"207,391",916,"16,096",438740
35,Prison Architect,89.34%,"193,132","1,371","16,211",233450
36,Firewatch,86.64%,"192,787",56,"17,568",383870
37,Grounded,84.80%,"186,347","2,211","32,012",962130
38,Two Point Hospital,89.15%,"185,945","1,225","34,009",535930
39,Getting Over It with Bennett Foddy,81.08%,"177,602",408,"5,054",240720
40,Tabletop Simulator,94.38%,"171,957","5,821","37,198",286160
41,Assassin's Creed® Syndicate,77.22%,"170,210",240,"4,729",368500
42,Break the G̵amè̢̢͘,72.17%,"169,159",0,165,739540
43,The Outer Worlds,83.86%,"168,639","1,248","20,349",578650
44,Disco Elysium - The Final Cut,92.42%,"163,866","1,733","8,081",632470
45,Robocraft,71.96%,"160,068",326,"26,725",301520
46,Forza Horizon 4,81.51%,"157,869","6,839","40,399",1293830
47,PC Building Simulator,92.46%,"156,187",561,"3,884",621060
48,Deceit,77.94%,"154,404",744,"16,923",466240
49,World of Guns: Gun Disassembly,81.48%,"153,966",111,"1,597",262410
50,Artifact,46.90%,"152,783",21,"60,646",583950
51,Enter the Gungeon,94.47%,"147,633","1,141","15,792",311690
52,Castle Crashers®,94.63%,"146,567",550,"16,013",204360
53,Shadow Warrior 2,86.00%,"141,054",94,"12,634",324800
54,LEGO® Worlds,75.78%,"139,002",313,"4,911",332310
55,BattleBlock Theater®,95.55%,"136,292",181,"14,781",238460
56,Secret Neighbor: Hello Neighbor Multiplayer,85.24%,"136,247",340,"5,174",859570
57,VRChat,89.47%,"135,546","16,511","27,732",438100
58,Stick Fight: The Game,91.92%,"133,731","1,005","5,147",674940
59,The Escapists 2,87.54%,"132,999",334,"11,202",641990
60,Overcooked! 2,88.62%,"132,171","1,211","11,213",728880
61,Blackwake,81.10%,"129,831",106,"6,159",420290
62,Portal,96.85%,"128,459",520,"20,672",400
63,UNO,71.84%,"121,038",515,"5,639",470220
64,Wreckfest,84.25%,"118,325","1,193","3,865",228380
65,Trove,79.74%,"117,499","2,008","58,949",304050
66,Gear Up,72.73%,"115,992",3,"2,743",214420
67,HELLDIVERS™ Dive Harder Edition,89.61%,"115,384",188,"6,744",394510
68,Hello Neighbor,76.74%,"113,472",109,"1,414",521890
69,FaceRig,80.11%,"113,112",948,"3,554",274920
70,The Escapists,87.80%,"108,395",54,"3,354",298630
71,South Park™: The Stick of Truth™,95.69%,"108,056",234,"34,811",213670
72,Source Filmmaker,91.33%,"106,628","1,311","3,975",1840
73,Pummel Party,88.19%,"106,280","1,576","17,021",880940
74,Keep Talking and Nobody Explodes,94.99%,"105,733",198,"1,767",341800
75,Street Fighter V,61.72%,"105,435","2,011","14,783",310950
76,Tropico 6,84.92%,"102,866",971,"15,294",492720
77,Grand Theft Auto IV: The Complete Edition,73.84%,"102,784","2,421","11,696",12210
78,Broforce,95.25%,"102,720",235,"3,988",274190
79,The Sims™ 4,87.95%,"100,969","10,191","25,403",1222670
80,South Park™: The Fractured But Whole™,78.54%,"100,505",235,"21,609",488790
81,Ravenfield,94.83%,"100,043",836,"3,939",636480
82,Fallout Shelter,86.81%,"97,971","1,245","42,656",588430
83,DRAGON BALL XENOVERSE,86.44%,"97,809",57,"22,850",323470
84,Mutant Year Zero: Road to Eden,88.53%,"97,706",45,"4,067",760060
85,House Party,86.30%,"97,572",241,"1,074",611790
86,ICEY,89.02%,"94,980",1,"3,240",553640
87,BONEWORKS,89.11%,"94,004",373,"8,717",823500
90,Just Cause 4 Reloaded,58.90%,"92,926",383,"9,571",517630
91,Thief Simulator,83.67%,"92,697",356,"2,697",704850
92,The Sims™ 3,84.08%,"91,359","2,268","10,505",47890
93,My Summer Car,91.47%,"90,992",818,"5,509",516750
94,Ultimate Chicken Horse,94.12%,"90,370",408,"2,744",386940
95,Ultimate Epic Battle Simulator,72.27%,"90,176",109,"10,326",616560
96,Youtubers Life,74.79%,"90,009",106,"7,553",428690
97,Goat Simulator,88.26%,"89,577",119,"10,108",265930
98,Awesomenauts - the 2D moba,83.28%,"88,611",226,"12,156",204300
99,Streets of Rogue,93.71%,"88,576",209,"4,320",512900
