,Name,Rating,Followers,Online,Peak,id
0,Deep Rock Galactic,95.39%,"1,346,099","4,241","36,224",548430
1,Team Fortress 2,93.06%,"1,231,323","78,614","151,253",440
2,Chivalry: Medieval Warfare,81.24%,"367,886",146,"25,145",219640
3,Baldur's Gate 3,86.61%,"353,419","2,152","73,980",1086940
4,Evolve Stage 2,67.03%,"263,159",14,"51,127",273350
5,Dirty Bomb®,80.02%,"176,211",140,"13,113",333930
6,Killing Floor,93.72%,"113,306",286,"24,107",1250
7,Alien Swarm,92.47%,"86,518",62,"60,467",630
8,Battleborn,60.95%,"76,528",0,"12,101",394230
9,Lost Ark,91.03%,"72,264",0,"15,774",1599340
10,Satellite Reign,69.13%,"55,047",14,"7,251",268870
11,Guns of Icarus Online,88.16%,"54,662",10,"107,883",209080
12,Block N Load,76.71%,"52,682",12,"8,640",299360
13,Onward,72.12%,"38,099",108,423,496240
14,Warhammer: Chaosbane,53.50%,"37,532",52,"4,603",774241
15,Fell Seal: Arbiter's Mark,86.82%,"34,914",89,"1,791",699170
16,Ballistic Overkill,73.78%,"34,806",18,"1,091",296300
17,Primal Carnage: Extinction,78.35%,"33,991",125,874,321360
18,Ash of Gods: Redemption,74.01%,"33,022",11,"1,002",691690
19,Ace of Spades: Battle Builder,63.96%,"32,022",0,"16,309",224540
20,BRINK,60.84%,"30,385",11,"16,824",22350
21,Spellbreak,82.85%,"27,868",428,"5,504",1399780
22,Chronicon,92.20%,"27,594",79,"4,868",375480
23,The Slormancer,77.07%,"25,558",76,"4,614",1104280
24,Day of Defeat: Source,88.64%,"24,895",405,"7,507",300
25,TERA - Action MMORPG,75.62%,"23,752",520,"5,068",212740
26,EARTH DEFENSE FORCE 5,91.38%,"23,666",280,"8,416",1007040
27,Metin2,68.47%,"20,644",464,"8,285",550900
28,Final Fantasy III (3D Remake),79.28%,"19,665",96,792,239120
29,Dungeon Defenders: Awakened,67.34%,"19,493",680,"2,877",1101190
30,Days of War: Definitive Edition,52.45%,"18,644",1,796,454350
31,Eon Altar,82.16%,"16,746",1,152,382050
33,Vampire: The Masquerade - Bloodhunt,-,"15,832",0,22,760160
35,RUNE II: Decapitation Edition,55.55%,"13,525",1,316,821290
36,Tangledeep,80.68%,"12,976",14,423,628770
37,FINAL FANTASY V (Old ver.),73.77%,"11,664",36,683,382890
38,CityBattle | Virtual Earth,65.66%,"10,829",0,638,611020
39,Corruption of Champions II,89.80%,"10,366",141,423,1292690
41,Florensia,63.53%,"10,050",23,385,384030
43,Demeo,85.52%,"8,768",21,336,1484280
44,BattleBit Remastered,-,"8,680",0,141,671860
46,Team Fortress Classic,83.02%,"7,730",74,"1,897",20
48,Krunker,76.39%,"7,503",515,"2,255",1408720
49,Paw Paw Paw,57.83%,"7,283",3,67,1037910
50,The Ultimatest Battle,74.17%,"6,567",0,313,669580
52,FINAL FANTASY,87.83%,"6,281",735,"3,079",1173770
53,World War Z: Aftermath,-,"6,138",0,13,699130
54,Day of Defeat,86.88%,"6,015",101,"7,758",30
55,Black Legend,61.47%,"5,799",1,180,1094730
56,Lead and Gold: Gangs of the Wild West,69.95%,"5,546",0,"5,013",42120
57,Forge of Gods (RPG),73.36%,"5,387",0,"5,445",461910
58,Empires Mod,81.68%,"5,363",0,126,17740
60,Company of Crime,50.53%,"4,759",1,323,1229420
61,EARTH DEFENSE FORCE: IRON RAIN,58.30%,"4,616",8,559,1039890
62,Titanfall­™,36.78%,"4,499",11,266,1454890
64,Monster Slayers,76.72%,"4,213",12,285,496620
65,Tears of Avia,53.57%,"4,110",2,45,461510
66,FINAL FANTASY III,86.90%,"4,089",668,"1,806",1173790
67,Quest of Dungeons,73.21%,"3,683",3,125,270050
73,Dredgers,83.21%,"3,103",6,157,1112930
74,Fortress Forever,84.88%,"3,039",1,630,253530
75,Bombix,66.87%,"3,037",7,630,662830
77,Space Food Truck,67.73%,"2,793",2,157,397390
78,Mighty Party,60.33%,"2,703",277,533,575720
79,Tenderfoot Tactics,81.70%,"2,582",3,64,1061610
80,Anima : The Reign of Darkness,72.32%,"2,551",45,276,1629200
81,The Exiled,48.71%,"2,454",1,558,332650
82,Nomads of Driftland,70.41%,"2,427",1,79,1400520
83,SNKRX,93.17%,"2,399",185,"1,766",915310
84,FINAL FANTASY II,74.35%,"2,272",726,"1,612",1173780
85,Rustbucket Rumble,54.97%,"2,247",0,358,351140
87,Rollers of the Realm,84.04%,"2,036",0,167,262470
88,Artifact Adventure,68.57%,"2,002",0,38,359440
89,HeXen: Beyond Heretic,83.25%,"1,905",4,20,2360
91,Astellia Royal,38.09%,"1,736",7,744,1524370
92,Quantum Protocol,84.64%,"1,721",8,94,1328530
94,MONOLISK,72.29%,"1,377",3,137,1454520
95,Evasion,66.34%,"1,180",0,16,683000
96,Voidspire Tactics,87.40%,"1,147",1,22,415920
97,Nasty Rogue,74.18%,"1,081",1,15,1207880
99,Master Arena,73.21%,990,0,26,704020
