,Name,Rating,Followers,Online,Peak,id
0,Northgard,86.40%,"301,336","1,756","15,592",466560
1,Minion Masters,90.06%,"265,476",765,"10,329",489520
2,Age of Empires II (2013),94.11%,"186,343","4,385","27,927",221380
3,Age of Empires II: Definitive Edition,92.49%,"163,796","16,757","38,725",813780
4,Company of Heroes 2,77.02%,"135,908","5,221","164,688",231430
5,Age of Empires® III (2007),88.82%,"109,135",934,"9,490",105450
6,Iron Harvest,70.22%,"101,513",658,"8,164",826630
7,Homeworld: Deserts of Kharak,79.81%,"100,336",69,"7,326",281610
8,Microsoft Flight Simulator,73.74%,"89,692","5,591","61,829",1250410
9,Endzone - A World Apart,76.01%,"88,186",145,"6,426",933820
10,Call to Arms,76.61%,"87,796",280,"2,882",302670
11,She Will Punish Them,90.23%,"86,348",509,"15,711",1213740
12,Age of Mythology: Extended Edition,89.26%,"84,130","1,540","11,074",266840
13,Freeman: Guerrilla Warfare,75.92%,"78,842",49,"2,127",773951
14,Ancestors Legacy,77.31%,"73,018",68,"4,940",620590
16,Railway Empire,80.12%,"70,471",383,"5,446",503940
17,Steel Division: Normandy 44,71.84%,"70,236",87,"4,678",572410
18,Cossacks 3,78.05%,"61,913",468,"5,797",333420
19,Wargame: Red Dragon,86.94%,"58,442",692,"4,779",251060
20,Satellite Reign,69.13%,"55,047",13,"7,251",268870
21,Sudden Strike 4,73.37%,"53,671",140,"2,476",373930
22,Sins of a Solar Empire®: Rebellion,90.57%,"52,909",613,"93,109",204880
23,Curse of the Dead Gods,84.38%,"52,853",129,"3,004",1123770
24,Grey Goo,66.91%,"48,083",14,"3,999",290790
25,Stronghold: Warlords,60.49%,"43,702",95,"4,434",907650
26,Rise of Nations: Extended Edition,91.17%,"42,211",635,"2,734",287450
27,Command & Conquer: Red Alert 3,82.67%,"40,217",260,"2,984",17480
28,Act of Aggression - Reboot Edition,63.32%,"36,982",49,"3,131",318020
29,Executive Assault 2,79.25%,"34,730",8,294,510500
30,Age of Empires: Definitive Edition,80.12%,"34,047",623,"2,708",1017900
31,Shadows: Awakening,73.92%,"33,333",13,902,585450
33,Blitzkrieg 3,58.30%,"27,747",27,"1,149",235380
34,Airships: Conquer the Skies,91.87%,"27,106",59,"1,030",342560
35,Supreme Commander 2,85.30%,"26,663",329,"3,730",40100
36,Tower of Time,81.85%,"26,566",35,686,617480
37,WARTILE,74.88%,"26,184",0,332,404200
38,Executive Assault,81.90%,"25,534",4,170,331500
40,"Warhammer 40,000: Dawn of War II",86.73%,"24,756",151,"18,862",15620
41,Builders of Egypt: Prologue,73.75%,"24,727",9,918,1207590
42,Distant Worlds: Universe,73.97%,"24,604",40,"1,254",261470
43,AdVenture Capitalist,86.86%,"24,539","1,642","22,998",346900
45,Anno 2070™,59.77%,"23,161",69,"11,217",48240
46,The Red Solstice,70.43%,"22,226",6,"82,980",265590
47,Hunter's Arena: Legends,59.33%,"20,162",77,"1,079",1061100
48,Stronghold Crusader HD,94.51%,"20,015",652,"2,612",40970
50,DwarfHeim,65.89%,"18,684",7,410,977650
51,Empires Apart,66.29%,"17,960",18,367,530630
52,Wargame: Airland Battle,85.26%,"17,857",46,"4,439",222750
53,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",91.91%,"16,576",99,"3,241",4570
55,Supreme Commander: Forged Alliance,94.06%,"16,327",546,"1,330",9420
56,Railroad Corporation,70.52%,"16,122",43,306,797400
57,Circle Empires,85.39%,"15,614",19,"1,011",834740
58,Viridi,88.93%,"15,139",22,"1,282",375950
59,Ancient Space,46.02%,"14,916",0,283,249190
60,"Warhammer® 40,000: Dawn of War® - Soulstorm",92.82%,"14,326",842,"3,283",9450
62,Stronghold Kingdoms,63.95%,"13,177",345,"8,616",47410
63,Veil of Crows,56.76%,"13,118",0,176,601540
64,Creeper World 3: Arc Eternal,92.76%,"12,953",234,"3,303",280220
65,"Warhammer® 40,000: Dawn of War® II Chaos Rising",87.49%,"12,878",56,"8,132",20570
66,Interstellar Transport Company,70.23%,"12,791",1,172,573490
67,WAR PARTY,68.02%,"12,617",4,164,777770
68,Vaporum,83.22%,"11,939",4,142,629690
69,"Warhammer® 40,000: Dawn of War® - Dark Crusade",93.12%,"11,865",293,"2,259",4580
70,"Species: Artificial Life, Real Evolution",69.08%,"11,802",12,257,774541
71,Call of War: World War 2,63.09%,"11,364",271,773,672680
72,Men of War™,85.00%,"11,011",37,664,7830
73,Polaris Sector,68.02%,"10,999",6,548,418250
74,First Strike: Classic,81.56%,"10,901",2,159,587000
75,Distant Star: Revenant Fleet,62.97%,"10,359",0,82,335830
76,Accident,76.21%,"10,300",2,271,852220
77,Stronghold 3 Gold,32.15%,"10,269",17,"2,844",47400
78,Realpolitiks,61.34%,"10,214",10,"1,148",553260
79,STAR WARS™ Galactic Battlegrounds Saga,86.70%,"10,167",132,485,356500
81,Empire Architect,64.05%,"9,785",1,75,593490
82,EMERGENCY 20,77.19%,"9,228",39,389,735280
83,Wargame: European Escalation,75.03%,"9,153",27,"3,588",58610
84,BANNERMEN,52.96%,"9,105",1,180,699740
85,Legend of Grimrock,90.77%,"9,069",27,"6,075",207170
87,Stronghold Legends: Steam Edition,80.13%,"8,538",66,313,40980
88,Victory At Sea Pacific,61.27%,"8,304",12,414,806950
89,Crest - an indirect god sim,65.63%,"8,172",2,60,341710
91,Castle Flipper,57.93%,"7,867",10,"1,031",944250
92,Supreme Commander,85.17%,"7,738",92,578,9350
93,War Room,58.81%,"7,601",12,200,1175880
94,Impossible Creatures Steam Edition,90.34%,"7,540",29,313,324680
95,Transport INC,72.85%,"7,525",14,496,936500
96,Battlezone: Combat Commander,82.88%,"7,520",27,282,624970
97,Unto The End,64.99%,"7,428",1,107,600080
98,Siege of Centauri,62.51%,"7,410",0,204,524010
99,Cepheus Protocol,82.89%,"7,343",45,193,979640
