,Name,Rating,Followers,Online,Peak,id
0,Team Fortress 2,93.06%,"1,231,323","78,729","151,253",440
1,RimWorld,96.82%,"464,522","32,677","50,907",294100
2,Among Us,92.14%,"273,036","10,127","447,476",945360
3,Cuphead,94.74%,"255,988",878,"19,026",268910
4,Hurtworld,75.07%,"243,334",257,"13,333",393420
5,Dungeon Defenders II,75.26%,"234,496",805,"18,785",236110
6,Two Point Hospital,89.15%,"185,945","1,109","34,009",535930
7,My Time At Portia,91.04%,"176,513","1,047","13,299",666140
8,Brawlhalla,83.87%,"139,643","23,535","34,816",291550
9,Secret Neighbor: Hello Neighbor Multiplayer,85.24%,"136,247",291,"5,174",859570
10,Ni no Kuni™ II: Revenant Kingdom,82.39%,"112,275",153,"10,805",589360
11,The Sims™ 4,87.95%,"100,969","9,837","25,403",1222670
12,Ultimate Chicken Horse,94.12%,"90,370",365,"2,744",386940
13,Spiritfarer®,93.22%,"75,677",333,"4,594",972660
14,SPORE™,89.61%,"72,420",961,"5,630",17390
15,Evil Genius 2: World Domination,62.24%,"71,508",391,"37,117",700600
16,Crash Bandicoot™ N. Sane Trilogy,90.31%,"66,939",196,"3,755",731490
17,Farm Together,91.62%,"62,501",694,"3,671",673950
18,Parkitect,91.11%,"60,388",272,"1,400",453090
19,Monster Hunter Stories 2: Wings of Ruin,75.99%,"55,704","3,080","34,995",1277400
20,Townscaper,95.02%,"54,402",72,"1,089",1291340
21,Curse of the Dead Gods,84.38%,"52,853",129,"3,004",1123770
22,DRAGON QUEST® XI: Echoes of an Elusive Age™ - Digital Edition of Light,84.43%,"48,227",88,"11,793",742120
23,Bendy and the Ink Machine,85.74%,"42,518",63,"3,457",622650
24,Punch Club,77.96%,"42,048",53,"4,305",394310
25,Sonic Mania,90.88%,"42,046",229,"11,937",584400
26,Bomber Crew,85.82%,"41,480",91,"9,898",537800
27,Spyro™ Reignited Trilogy,92.86%,"40,069",319,"4,198",996580
29,Orcs Must Die! 2,91.82%,"38,942",296,"16,119",201790
31,The Mean Greens - Plastic Warfare,80.04%,"38,543",12,"2,836",360940
32,Tricky Towers,88.10%,"38,364",357,960,437920
33,WildStar,71.77%,"37,366",2,"5,060",376570
34,Bloons TD 6,95.83%,"34,778","15,496","53,943",960090
35,Gorogoa,94.28%,"34,581",6,813,557600
36,Loadout,85.19%,"33,957",0,"29,424",208090
37,TROUBLESHOOTER: Abandoned Children,90.98%,"32,444",140,"1,012",470310
38,DRAGON QUEST® XI S: Echoes of an Elusive Age™ - Definitive Edition,90.74%,"31,920",517,"4,813",1295510
39,Lovers in a Dangerous Spacetime,89.94%,"30,579",39,273,252110
40,Pandemic Express - Zombie Escape,57.93%,"28,978",4,897,939510
41,Yooka-Laylee,73.74%,"28,100",29,"6,508",360830
42,Good Company,71.27%,"28,081",21,"1,745",911430
43,Orcs Must Die! 3,81.56%,"27,779","4,130","13,210",1522820
44,Gal*Gun: Double Peace,82.80%,"25,662",3,218,511740
45,The Swords of Ditto: Mormo's Curse,60.39%,"24,955",5,"1,893",619780
46,Founders' Fortune,81.28%,"24,185",93,863,1104330
47,Kingdom Rush Origins - Tower Defense,91.66%,"21,930",62,"2,000",816340
48,Swords & Souls: Neverseen,88.80%,"21,893",121,"2,137",679900
49,Passpartout: The Starving Artist,82.62%,"20,598",26,481,582550
50,Swaying Girl,87.04%,"19,791",14,"1,447",1393350
51,Day of the Tentacle Remastered,93.09%,"19,621",20,"1,097",388210
52,Dungeon Defenders: Awakened,67.34%,"19,493",704,"2,877",1101190
53,Dead Maze,71.84%,"19,106",163,"3,967",667890
54,Blacksad: Under the Skin,81.03%,"18,849",31,264,1003890
