,Name,Rating,Followers,Online,Peak,id
0,Counter-Strike: Global Offensive,87.73%,"2,945,599","679,486","1,308,963",730
1,Team Fortress 2,93.06%,"1,231,269","77,049","151,253",440
2,Elite Dangerous,76.49%,"294,208","4,202","28,923",359320
3,Avorion,88.80%,"113,931","1,462","4,533",445220
4,X4: Foundations,73.18%,"104,626","1,587","15,198",392160
5,The Guild 3,57.79%,"102,577",96,"3,513",311260
6,Rebel Galaxy,82.83%,"100,015",56,"5,717",290300
7,Bless Unleashed,52.08%,"97,510","68,375","76,342",1254120
8,Rise of Industry,74.43%,"72,320",68,"1,388",671440
9,Railway Empire,80.12%,"70,475",595,"5,446",503940
10,Dead Frontier 2,69.91%,"68,317","1,118","10,101",744900
11,Windward,77.48%,"58,881",12,"3,510",326410
12,Starpoint Gemini 2,67.95%,"54,534",9,"20,842",236150
13,Project AURA,64.47%,"47,699",2,120,305940
14,Drug Dealer Simulator,84.62%,"38,367",213,"7,574",682990
15,Interstellar Rift,69.55%,"36,981",27,389,363360
16,Grand Ages: Medieval,46.63%,"36,887",20,"4,274",310470
17,Endless Sky,88.76%,"25,778",77,"3,035",404410
19,Business Tour - Board Game with Online Multiplayer,60.24%,"24,353","1,100","7,707",397900
20,Port Royale 4,58.77%,"23,196",118,"1,934",1024650
21,Anno 2070™,59.76%,"23,164",97,"11,217",48240
22,Metin2,68.46%,"20,649",581,"8,285",550900
23,Star Traders: Frontiers,83.30%,"20,169",96,"1,111",335620
24,Kingdom Wars 2: Battles,61.75%,"19,740",0,547,253190
25,X3: Terran Conflict,82.32%,"18,081",77,"1,442",2820
26,X Rebirth,43.12%,"17,180",22,"14,732",2870
27,Nebuchadnezzar,74.06%,"16,805",25,"1,113",1157220
28,Void Destroyer 2,79.62%,"15,882",1,264,369530
29,SAELIG,74.59%,"15,619",9,100,612720
30,Shoppe Keep,60.76%,"15,520",9,683,381120
31,Barn Finders,80.52%,"15,055",56,"3,069",991170
32,Cosmonautica,48.88%,"14,752",1,849,320340
33,Bounty Train,67.57%,"14,704",29,602,371520
34,Evochron Legacy SE,76.02%,"14,603",3,198,398170
35,The Guild II Renaissance,79.62%,"14,496",75,"1,249",39680
36,Mad Games Tycoon 2,88.11%,"14,285",177,"2,182",1342330
37,Evochron Mercenary,72.90%,"13,003",0,774,71000
38,Interstellar Transport Company,70.23%,"12,790",2,172,573490
39,Merchant of the Skies,83.98%,"12,030",15,625,1040070
41,Uncharted Waters IV HD Version,56.72%,"11,708",299,"4,423",1424800
42,Hundred Days - Winemaking Simulator,69.41%,"11,052",27,813,1042380
43,Drifter,56.86%,"10,568",0,47,259450
44,Vagrus - The Riven Realms,80.25%,"10,328",9,131,909660
45,Sid Meier's Pirates!,90.78%,"10,035",103,"1,342",3920
46,Winkeltje: The Little Shop,87.73%,"9,894",12,301,949290
48,Shoppe Keep 2,57.79%,"9,238",7,"1,796",684580
49,Space Mechanic Simulator,-,"8,521",0,1,429380
50,Interstellaria,55.68%,"8,464",0,952,280360
51,Prison Simulator Prologue,86.51%,"8,431",90,"1,016",1431610
52,Krunker,76.43%,"7,518",489,"2,255",1408720
53,Anno 1404,84.85%,"7,451",75,"1,070",33250
54,Dealer's Life 2,78.56%,"7,326",120,"2,884",1343670
55,Car Trader Simulator,73.27%,"7,236",8,465,689980
56,The Ultimatest Battle,74.17%,"6,567",0,313,669580
57,Dust to the End,81.47%,"6,263",643,655,1074070
59,Frontier Pilot Simulator,67.63%,"6,209",9,74,673210
61,Gaia Beyond,70.13%,"6,048",1,181,788630
62,Port Royale 3,70.50%,"6,033",72,614,205610
63,Gladiator Guild Manager: Prologue,89.89%,"6,008",12,385,1332470
65,Star Sonata 2,67.68%,"5,496",12,170,304690
66,Helium Rain,74.47%,"5,469",2,97,681330
67,Medieval Shopkeeper Simulator,62.33%,"5,331",0,24,677450
69,King of Retail,88.77%,"5,069",693,951,968250
71,Noob - Les Sans-Factions,83.58%,"4,914",137,"1,496",1623880
73,九州：商旅（Nine Provinces: Caravan）,86.17%,"4,424",154,628,908100
74,Alchemy Garden,74.65%,"4,283",3,32,935400
75,Dawn of Discovery™,82.84%,"4,061",10,268,33210
77,X3: Reunion,68.31%,"4,019",9,315,2810
78,The Viking Way,50.94%,"4,004",0,95,1377540
79,The Invisible Hand,75.20%,"3,995",5,157,628200
80,CosmicBreak Universal,57.76%,"3,890",208,"2,642",1140620
81,Horizon's Gate,89.07%,"3,445",3,133,1224290
83,Winds Of Trade,59.60%,"3,236",0,37,576260
84,This Merchant Life,71.80%,"3,152",0,84,666730
85,Bitcoin Trading Master: Simulator,62.09%,"3,065",1,27,848310
86,Star Traders: 4X Empires,60.06%,"2,873",0,68,334270
87,Transports,64.29%,"2,776",2,80,659920
90,Caravan,73.88%,"2,714",2,588,352890
91,X3: Albion Prelude,88.37%,"2,659",85,"1,917",201310
92,The Guild II,66.58%,"2,464",14,674,39650
94,Alchemist Simulator,71.01%,"2,298",0,92,1105040
95,Patrician IV,53.73%,"2,276",23,140,57620
96,Dealer's Life,87.49%,"2,271",10,200,982270
98,Merchants of Kaidan,64.36%,"2,163",2,"1,716",294020
99,Weapons Genius,44.20%,"2,041",0,"5,994",385400
