,Name,Rating,Followers,Online,Peak,id
0,Dota 2,83.55%,"1,887,003","370,755","1,295,114",570
1,Cyberpunk 2077,75.05%,"1,177,161","7,983","1,054,388",1091500
2,Fallout 4,78.77%,"846,011","19,495","472,962",377160
3,The Witcher® 3: Wild Hunt,97.05%,"786,023","13,469","103,329",292030
4,Monster Hunter: World,83.48%,"745,080","11,879","334,684",582010
5,Dying Light: Enhanced Edition,93.98%,"603,769","4,156","45,876",239140
6,DARK SOULS™ III,93.01%,"562,806","10,717","129,975",374320
7,The Elder Scrolls® Online,80.65%,"394,490","19,678","49,234",306130
8,Assassin's Creed® Origins,84.92%,"310,838",832,"41,551",582160
9,The Elder Scrolls V: Skyrim,93.81%,"310,714","5,421","287,411",72850
10,Middle-earth™: Shadow of War™,85.06%,"290,587","2,102","68,183",356190
11,Borderlands 2,92.54%,"287,122","3,611","124,678",49520
12,Far Cry® 4,80.87%,"269,607",623,"16,963",298110
13,Path of Exile,89.92%,"241,945","34,853","157,103",238960
14,FINAL FANTASY XV WINDOWS EDITION,80.15%,"240,939",558,"29,498",637650
15,Dungeon Defenders II,75.26%,"234,496",802,"18,785",236110
16,Grim Dawn,91.74%,"223,388","2,742","61,458",219990
17,Borderlands: The Pre-Sequel,79.47%,"219,143",478,"68,238",261640
18,Middle-earth™: Shadow of Mordor™,90.70%,"215,473",485,"48,668",241930
19,Warhammer: End Times - Vermintide,78.35%,"211,417",85,"24,700",235540
20,Hades,97.40%,"211,213","5,812","37,749",1145360
21,BIOMUTANT,67.29%,"210,413",261,"55,048",597820
22,Far Cry® Primal,81.41%,"203,247",237,"14,783",371660
23,Warhammer: Vermintide 2,81.50%,"199,384","3,715","73,316",552500
24,Horizon Zero Dawn™ Complete Edition,81.45%,"195,641","2,931","56,557",1151640
25,Wolcen: Lords of Mayhem,55.62%,"192,095",842,"127,542",424370
26,Dragon's Dogma: Dark Arisen,87.84%,"189,412",699,"27,368",367500
27,DARK SOULS™ II: Scholar of the First Sin,85.01%,"185,308","2,727","12,106",335300
28,Assassin's Creed® Unity,71.33%,"172,839",255,"12,180",289650
29,鬼谷八荒,86.35%,"170,182","1,244","184,171",1468810
30,The Outer Worlds,83.86%,"168,639","1,178","20,349",578650
31,GreedFall,77.26%,"162,378",298,"16,345",606880
33,CODE VEIN,86.15%,"151,661",529,"33,895",678960
34,Castle Crashers®,94.63%,"146,567",531,"16,013",204360
35,Nioh: Complete Edition / 仁王 Complete Edition,79.08%,"144,514",372,"10,649",485510
36,RWBY: Grimm Eclipse,79.97%,"136,592",11,"3,298",418340
37,Fallout: New Vegas,95.09%,"135,706","7,046","51,038",22380
38,Tales of Zestiria,80.50%,"132,519",81,"9,696",351970
39,DARK SOULS™: Prepare To Die™ Edition,90.10%,"130,104",403,"11,259",211420
40,Planet Explorers,62.40%,"124,383",13,"2,125",237870
41,STAR WARS™: The Old Republic™,88.79%,"118,513","9,159","34,210",1286830
42,DARK SOULS™ II,87.50%,"117,175",291,"79,528",236430
43,Ni no Kuni™ II: Revenant Kingdom,82.39%,"112,275",148,"10,805",589360
44,Tales of Berseria™,90.11%,"111,791",269,"8,085",429660
45,NieR Replicant™ ver.1.22474487139...,83.86%,"108,420",489,"28,684",1113560
46,Hyper Light Drifter,91.37%,"105,909",41,"4,954",257850
47,Neverwinter,76.57%,"105,431","2,076","14,866",109600
48,Naval Action,62.62%,"104,432",796,"5,222",311310
49,DRAGON BALL Z: KAKAROT,90.86%,"104,226","1,385","25,852",851850
50,DRAGON BALL XENOVERSE,86.44%,"97,809",53,"22,850",323470
51,Lost Castle / 失落城堡,86.44%,"96,912",74,"4,701",434650
52,Bless Unleashed,51.88%,"96,298","25,597","76,342",1254120
53,DARK SOULS™: REMASTERED,86.11%,"95,652","2,624","24,501",570940
54,嗜血印 Bloody Spell,84.51%,"94,857",32,"4,256",992300
55,"Warhammer 40,000: Inquisitor - Martyr",72.79%,"94,133",431,"9,698",527430
56,Torchlight II,91.67%,"93,820",347,"54,821",200710
57,Wasteland 2: Director's Cut,80.29%,"93,016",19,"18,856",240760
58,Mass Effect™ Legendary Edition,89.46%,"92,897","6,156","59,817",1328670
59,Transistor,92.51%,"91,429",41,"6,727",237930
60,FINAL FANTASY XIV Online,86.85%,"90,586","52,667","67,148",39210
61,古剑奇谭三(Gujian3),84.32%,"89,790",167,"10,183",994280
62,SCARLET NEXUS,83.32%,"86,427",368,"14,516",775500
63,She Will Punish Them,90.23%,"86,348",518,"15,711",1213740
64,RPG Maker MV,88.46%,"86,315",833,"2,486",363890
65,Moonlighter,81.21%,"86,073",91,"6,229",606150
66,EVERSPACE™ 2,87.32%,"81,519",307,"3,072",1128920
67,Cube World,38.78%,"80,174",62,"35,622",1128000
68,Lords Of The Fallen™,59.89%,"79,861",43,"8,024",265300
69,Children of Morta,89.27%,"79,260",129,"3,064",330020
70,Fallout 3: Game of the Year Edition,76.64%,"79,220",388,"10,401",22370
71,Salt and Sanctuary,88.92%,"79,203",154,"2,430",283640
72,Battleborn,60.95%,"76,528",0,"12,101",394230
73,Far Cry® New Dawn,75.99%,"75,903",762,"16,975",939960
74,Hand of Fate,87.68%,"75,554",12,"2,178",266510
75,The Technomancer,67.77%,"74,178",7,"2,366",338390
76,Okami HD,89.58%,"73,804",58,"2,136",587620
77,Tree of Savior (English Ver.),63.74%,"73,470","1,020","53,554",372000
78,Fable Anniversary,81.50%,"73,457",166,"6,186",288470
79,Lost Ark,91.03%,"72,264",0,"15,774",1599340
80,Last Epoch,84.68%,"71,981",981,"7,273",899770
81,Borderlands Game of the Year,88.55%,"71,977",149,"23,655",8980
82,Hob,85.99%,"71,500",10,"1,179",404680
83,CrossCode,91.84%,"71,321",152,"3,429",368340
84,Secrets of Grindea,88.49%,"70,309",43,435,269770
85,Ghost of a Tale,88.88%,"70,143",9,883,417290
86,The Ascent,75.74%,"69,539","3,146","14,013",979690
87,FINAL FANTASY® XIII,72.47%,"69,139",267,"8,320",292120
88,The Elder Scrolls IV: Oblivion® Game of the Year Edition,93.63%,"67,007","1,685","6,390",22330
89,The Surge,73.32%,"64,795",72,"5,978",378540
90,Novus Inceptio,58.78%,"64,334",2,153,386590
91,ENDER LILIES: Quietus of the Knights,92.05%,"63,603",344,"6,332",1369630
92,LIGHTNING RETURNS™: FINAL FANTASY® XIII,77.39%,"62,637",60,"2,503",345350
93,Hood: Outlaws & Legends,53.58%,"62,280",55,"11,536",927350
94,EITR,-,"62,248",0,8,350050
95,Hand of Fate 2,82.74%,"62,198",54,"2,873",456670
96,Phantasy Star Online 2 New Genesis,74.58%,"62,085","3,636","59,558",1056640
97,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,82.03%,"61,835",124,"3,878",278080
98,Titan Quest Anniversary Edition,89.37%,"61,234",772,"11,043",475150
99,Atomic Heart,-,"60,230",0,3,668580
