,Name,Rating,Followers,Online,Peak,id
0,Firewatch,86.64%,"192,787",52,"17,568",383870
1,Little Nightmares,92.73%,"152,199",636,"78,169",424840
2,SUPERHOT,87.82%,"137,038",51,"5,584",322500
3,Bright Memory,89.92%,"130,715",10,"1,907",955050
4,Portal,96.85%,"128,459",486,"20,672",400
5,Ryse: Son of Rome,83.77%,"96,693",81,"3,257",302510
6,Transistor,92.51%,"91,429",39,"6,727",237930
7,Microsoft Flight Simulator,73.74%,"89,692","5,855","61,829",1250410
8,What Remains of Edith Finch,93.22%,"87,406",19,329,501300
9,ABZU,90.74%,"83,796",13,"1,329",384190
10,The Vanishing of Ethan Carter,86.13%,"75,926",4,"1,443",258520
11,Oats Studios - Volume 1,93.83%,"68,734",0,853,633030
12,Layers of Fear,87.70%,"67,945",64,"145,384",391720
13,The Stanley Parable,90.46%,"64,685",52,"4,818",221910
14,Unheard,94.44%,"64,204",50,"7,754",942970
15,Helltaker,96.53%,"64,080",156,"6,509",1289310
16,METAL GEAR SOLID V: GROUND ZEROES,80.73%,"60,572",59,"5,810",311340
17,To the Moon,94.71%,"53,650",28,615,206440
18,FAR: Lone Sails,91.04%,"51,315",13,924,609320
19,Transmissions: Element 120,91.42%,"50,455",5,790,365300
20,LOST EMBER,86.17%,"46,330",11,590,563840
21,Never Alone (Kisima Ingitchuna),78.98%,"46,081",14,482,295790
22,Brothers - A Tale of Two Sons,92.84%,"45,048",11,"2,019",225080
23,Five Nights at Freddy's,88.74%,"44,767",92,"1,316",319510
24,Oxenfree,90.09%,"44,205",17,733,388880
25,Kung Fury,95.76%,"41,752",1,417,374570
26,LIMBO,91.77%,"41,578",53,"27,466",48000
27,The Final Station,83.43%,"40,906",11,"1,284",435530
28,Mirror's Edge™,85.83%,"40,658",65,"3,805",17410
29,Trine 3: The Artifacts of Power,63.55%,"39,478",22,672,319910
30,FarSky,71.33%,"38,834",3,439,286340
31,Valley,88.45%,"38,079",7,483,378610
32,Titan Souls,76.42%,"37,566",50,"4,404",297130
33,The Beginner's Guide,84.89%,"36,254",10,947,303210
34,The Awesome Adventures of Captain Spirit,90.23%,"35,810",15,"8,739",845070
35,Gorogoa,94.28%,"34,581",3,813,557600
36,A Story About My Uncle,89.93%,"33,943",18,"190,590",278360
37,Murdered: Soul Suspect,83.08%,"32,905",37,"1,645",233290
38,The Turing Test,84.77%,"32,477",20,536,499520
39,Hidden Folks,93.52%,"29,422",26,763,435400
40,Mark of the Ninja,94.43%,"26,502",4,"5,066",214560
41,Deliver Us The Moon,85.41%,"25,456",5,469,428660
42,The Darkness II,88.99%,"24,888",21,"12,593",67370
43,Among the Sleep - Enhanced Edition,84.35%,"24,752",15,488,250620
44,Cradle,68.05%,"24,711",1,594,361550
45,Grow Home,88.24%,"23,927",3,712,323320
46,The Way of Life Free Edition,72.35%,"23,710",1,316,310370
47,Tacoma,82.89%,"23,355",4,386,343860
48,Sakura Spirit,76.62%,"22,933",3,537,313740
49,Event[0],76.88%,"22,584",1,396,470260
50,The First Tree,74.22%,"21,960",8,601,555150
51,The Room,95.21%,"21,847",61,540,288160
52,Last Day of June,83.80%,"21,466",6,362,635320
53,House of the Dying Sun,85.96%,"20,707",2,207,283160
54,Gunpoint,94.63%,"20,375",8,"2,647",206190
55,Slender: The Arrival,85.67%,"19,734",15,461,252330
56,Octodad: Dadliest Catch,90.37%,"19,381",16,"1,815",224480
57,Downward,69.61%,"18,723",1,45,506900
58,The Uncertain: Last Quiet Day,76.46%,"18,413",9,"2,058",406970
59,Broken Age,81.21%,"18,210",18,"3,260",232790
60,F.E.A.R. 3,71.02%,"18,128",37,"3,090",21100
61,Donut County,86.03%,"18,050",20,636,702670
62,Pony Island,92.71%,"17,716",10,374,405640
63,Dead Effect,70.30%,"17,622",3,"1,032",286040
64,Refunct,93.18%,"17,549",1,480,406150
65,The Room Two,95.07%,"16,893",60,401,425580
66,The Park,68.33%,"16,822",0,541,402020
67,"Papers, Please - The Short Film",95.90%,"16,518",0,"1,105",804320
68,Homesick,74.79%,"16,435",1,80,244910
69,Deadlight,77.41%,"16,430",7,"1,678",211400
70,A Bird Story,81.77%,"15,641",1,"1,313",327410
71,Contrast,87.45%,"15,618",0,518,224460
72,Emily is Away,86.84%,"15,025",17,"2,803",417860
73,Half-Life 2: Episode One,92.95%,"14,355",108,"1,132",380
74,Gone Home,75.37%,"14,345",4,"1,198",232430
75,Draugen,73.02%,"14,042",2,240,770390
76,Florence,90.62%,"13,588",3,141,1102130
77,Marie's Room,90.93%,"13,488",4,285,648390
78,Neverending Nightmares,73.06%,"13,171",0,146,253330
79,MANDAGON,91.42%,"13,130",2,257,461560
80,Toren,62.51%,"12,893",0,170,320820
81,Flower,80.49%,"12,822",5,171,966330
82,Half-Life 2: Lost Coast,84.91%,"12,770",18,180,340
83,The Fall,84.89%,"12,464",2,423,290770
84,A Short Hike,95.95%,"12,449",28,200,1055540
85,Blameless,81.31%,"12,321",0,639,530330
86,"Please, Don’t Touch Anything",84.62%,"12,269",8,923,354240
87,DuckTales: Remastered,84.40%,"11,927",11,"2,052",237630
88,Cyanide & Happiness - Freakpocalypse (Episode 1),56.07%,"11,869",4,"1,286",869880
89,80 Days,87.02%,"11,678",11,168,381780
90,"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",90.73%,"11,564",5,815,409160
91,Homefront,59.20%,"11,315",10,"7,206",55100
92,Evoland,80.49%,"11,130",1,"1,202",233470
93,The Gardens Between,89.26%,"10,972",1,138,600990
94,Sayonara Wild Hearts,93.71%,"10,959",10,180,1122720
95,Jazzpunk: Director's Cut,89.14%,"10,609",9,546,250260
96,Nihilumbra,85.54%,"10,491",0,"2,740",252670
97,Old Man's Journey,84.56%,"10,441",1,180,581270
98,Killing Floor: Uncovered,84.58%,"10,201",0,29,351570
99,Shelter,82.07%,"10,149",1,308,244710
