,Name,Rating,Followers,Online,Peak,id
0,Deep Rock Galactic,95.39%,"1,346,099","4,394","36,224",548430
1,Destiny 2,84.10%,"498,711","41,969","292,513",1085660
2,Borderlands 2,92.54%,"287,122","3,432","124,678",49520
3,Risk of Rain 2,95.19%,"248,653","5,945","71,548",632360
4,Path of Exile,89.90%,"241,945","31,690","157,103",238960
5,Dungeon Defenders II,75.26%,"234,496",769,"18,785",236110
6,Apex Legends™,88.13%,"229,969","115,806","330,879",1172470
7,Grim Dawn,91.74%,"223,388","2,633","61,458",219990
8,Borderlands: The Pre-Sequel,79.47%,"219,143",474,"68,238",261640
9,Wolcen: Lords of Mayhem,55.62%,"192,095",748,"127,542",424370
10,Borderlands 3,82.52%,"148,669","7,073","93,820",397540
11,Enter the Gungeon,94.47%,"147,633","1,095","15,792",311690
12,Nioh: Complete Edition / 仁王 Complete Edition,79.08%,"144,514",381,"10,649",485510
13,Shadow Warrior 2,86.00%,"141,054",90,"12,634",324800
14,OUTRIDERS,62.36%,"122,671","1,390","125,143",680420
15,Lost Castle / 失落城堡,86.44%,"96,912",68,"4,701",434650
16,"Warhammer 40,000: Inquisitor - Martyr",72.79%,"94,133",397,"9,698",527430
17,Torchlight II,91.67%,"93,820",329,"54,821",200710
18,Marvel's Avengers,65.40%,"91,101","1,322","31,165",997070
19,EVERSPACE™ 2,87.32%,"81,519",285,"3,072",1128920
20,Last Epoch,84.68%,"71,981",941,"7,273",899770
21,Borderlands Game of the Year,88.55%,"71,977",135,"23,655",8980
22,Battle Chasers: Nightwar,85.57%,"69,344",61,"5,375",451020
23,Albion Online,77.98%,"62,777","6,979","13,363",761890
24,Titan Quest Anniversary Edition,89.37%,"61,234",671,"11,043",475150
25,Darksiders Genesis,82.54%,"57,934",373,"6,433",710920
26,Planet Centauri,78.17%,"55,814",22,369,385380
27,Monster Hunter Stories 2: Wings of Ruin,75.99%,"55,704","2,941","34,995",1277400
28,Torchlight III,47.87%,"54,209",76,"5,692",1030210
29,NBA 2K20,50.89%,"52,756","1,724","48,375",1089350
30,Survive the Nights,61.22%,"51,511",23,"1,716",541300
31,Neon Abyss,85.38%,"48,313",309,"5,141",788100
32,Victor Vran ARPG,83.87%,"48,282",17,"2,485",345180
33,NBA 2K19,39.68%,"47,316",221,"29,202",841370
34,MEMORIES OF MARS,60.71%,"38,829",19,593,644290
35,Warhammer: Chaosbane,53.50%,"37,532",50,"4,603",774241
36,Kingdoms of Amalur: Reckoning™,86.20%,"36,652",68,"12,800",102500
38,DYSMANTLE,89.21%,"35,076",54,"1,457",846770
39,Vikings - Wolves of Midgard,58.85%,"34,200",14,"4,043",404590
40,Darksiders II Deathinitive Edition,75.19%,"34,139",227,"2,927",388410
41,河洛群俠傳 (Ho Tu Lo Shu ： The Books of Dragon),77.50%,"33,732",89,"1,877",952860
42,Shadows: Awakening,73.92%,"33,333",15,902,585450
43,Dragon Age: Origins,89.47%,"32,554",101,"7,089",17450
44,Sakuna: Of Rice and Ruin,89.46%,"32,540",69,"7,043",1356670
45,Killsquad,66.21%,"31,043",20,"2,784",910490
46,Dragon Cliff,86.89%,"28,656",429,"5,953",758190
47,Chronicon,92.20%,"27,594",70,"4,868",375480
48,Relic Hunters Legend,-,"26,357",0,29,633080
49,Ziggurat,83.39%,"25,869",7,809,308420
50,We Need To Go Deeper,83.86%,"25,709",77,879,307110
51,The Slormancer,77.07%,"25,558",71,"4,614",1104280
52,The Incredible Adventures of Van Helsing,81.06%,"24,432",30,"4,231",215530
53,Pagan: Absent Gods,51.38%,"24,313",1,"3,030",992640
54,Witch Hunt,84.41%,"22,657",6,130,661790
55,Dead Effect 2,70.56%,"22,442",2,264,394760
56,Fight The Dragon,75.73%,"20,619",1,754,250560
57,Cat Quest,92.02%,"20,422",31,"1,651",593280
58,Blightbound,66.91%,"20,410",29,"1,439",1263070
59,Hunter's Arena: Legends,59.33%,"20,162",74,"1,079",1061100
60,Dead Maze,71.84%,"19,106",150,"3,967",667890
61,The Incredible Adventures of Van Helsing: Final Cut,73.15%,"18,959",30,"1,322",400170
62,Black Desert (Retired),64.93%,"18,240",37,"14,584",836620
64,Dungeon Souls,72.32%,"17,221",3,327,383230
65,Eon Altar,82.16%,"16,746",1,152,382050
66,Monaco: What's Yours Is Mine,88.10%,"15,917",17,"41,750",113020
67,MU Legend,49.29%,"15,583",40,"6,531",874240
68,Wild Terra Online,60.02%,"15,384",17,316,500710
69,Stoneshard: Prologue,84.33%,"15,370",3,735,869760
70,Tales of Maj'Eyal,92.15%,"15,209",160,867,259680
71,Pixel Privateers,67.92%,"14,990",3,"1,854",342640
