,Name,Rating,Followers,Online,Peak,id
0,Deep Rock Galactic,95.39%,"1,346,099","4,537","36,224",548430
1,Dead Cells,95.35%,"285,472","1,318","13,802",588650
2,Risk of Rain 2,95.19%,"248,653","6,118","71,548",632360
3,The Binding of Isaac: Rebirth,96.57%,"222,230","15,684","70,701",250900
4,Hades,97.40%,"211,213","5,687","37,749",1145360
5,Enter the Gungeon,94.47%,"147,633","1,069","15,792",311690
6,EVERSPACE™,77.75%,"122,244",109,"1,448",396750
7,Noita,93.65%,"120,960","1,807","5,239",881100
8,Wizard of Legend,89.15%,"98,914",374,"6,487",445980
9,Lost Castle / 失落城堡,86.44%,"96,912",69,"4,701",434650
10,嗜血印 Bloody Spell,84.51%,"94,857",23,"4,256",992300
11,Streets of Rogue,93.71%,"88,576",209,"4,320",512900
12,Moonlighter,81.21%,"86,073",91,"6,229",606150
13,Children of Morta,89.27%,"79,260",127,"3,064",330020
14,Exanima,79.90%,"78,046",111,838,362490
15,Skul: The Hero Slayer,91.25%,"77,416",604,"18,970",1147560
16,Hand of Fate,87.68%,"75,554",11,"2,178",266510
17,Gunfire Reborn,92.02%,"74,275","2,584","35,263",1217060
18,Hand of Fate 2,82.74%,"62,198",44,"2,873",456670
19,Crawl,91.64%,"57,454",25,319,293780
20,The Flame in the Flood,74.02%,"54,478",12,"6,158",318600
21,Tribes of Midgard,74.50%,"53,858","10,134","30,930",858820
22,Curse of the Dead Gods,84.38%,"52,853",124,"3,004",1123770
23,Nuclear Throne,93.67%,"52,555",179,"1,213",242680
24,The Binding of Isaac,93.86%,"51,467",197,"12,575",113200
25,Hero Siege,75.23%,"50,275",407,"4,177",269210
26,NECROPOLIS: BRUTAL EDITION,64.20%,"48,577",4,"5,148",384490
27,Risk of Rain,91.72%,"48,438",92,"5,462",248820
28,Neon Abyss,85.38%,"48,313",315,"5,141",788100
29,Vagante,87.34%,"44,910",116,518,323220
30,Magicite,82.96%,"42,588",22,"1,985",268750
31,Heat Signature,91.32%,"39,955",61,"3,877",268130
32,Bad North: Jotunn Edition,87.94%,"39,750",53,"1,136",688420
33,Void Bastards,83.89%,"39,500",40,"2,886",857980
34,UnderMine,90.50%,"39,030",519,"3,245",656350
35,Moon Hunters,76.40%,"38,819",46,324,320040
36,Roguelands,77.90%,"38,525",20,"1,150",364420
37,Realm of the Mad God Exalt,83.13%,"38,390","2,303","10,051",200210
38,Death Road to Canada,90.11%,"37,612",65,491,252610
39,Sundered®: Eldritch Edition,80.07%,"35,378",23,708,535480
40,Heroes of Hammerwatch,86.56%,"30,956",449,"2,662",677120
41,One Step From Eden,90.76%,"30,293",82,"2,360",960690
42,Rogue Legacy 2,85.11%,"27,696",234,"4,547",1253920
43,Spelunky,89.95%,"27,438",170,"2,919",239350
44,BELOW,68.64%,"26,896",5,765,250680
