,Name,Rating,Followers,Online,Peak,id
0,Darkest Dungeon®,89.51%,"302,542","4,073","19,357",262060
1,Temtem,85.88%,"139,665",960,"39,572",745920
2,OCTOPATH TRAVELER™,83.84%,"135,832",247,"6,177",921570
3,Divinity: Original Sin - Enhanced Edition,88.33%,"128,891",689,"7,565",373420
4,For The King,86.88%,"120,832","1,155","9,625",527230
5,Stoneshard,77.05%,"111,500",226,"10,738",625960
6,Mutant Year Zero: Road to Eden,88.53%,"97,706",40,"4,067",760060
7,FINAL FANTASY X/X-2 HD Remaster,88.63%,"97,223",674,"13,263",359870
8,Into the Breach,91.71%,"88,493",297,"14,682",590380
9,Pit People®,90.88%,"83,576",43,"2,504",291860
10,Edge Of Eternity,76.53%,"83,271",96,736,269190
11,Atelier Ryza: Ever Darkness & the Secret Hideout,84.43%,"83,098",43,"4,616",1121560
12,Mordheim: City of the Damned,68.78%,"79,481",167,"2,715",276810
13,Wasteland 3,80.53%,"78,362",644,"24,555",719040
14,Persona 4 Golden,95.36%,"76,996","1,768","29,984",1113000
15,FINAL FANTASY IX,90.80%,"76,228",273,"8,229",377840
16,Battle Chasers: Nightwar,85.57%,"69,344",64,"5,375",451020
17,FINAL FANTASY® XIII,72.47%,"69,139",267,"8,320",292120
18,ATOM RPG: Post-apocalyptic indie game,86.08%,"67,228",149,"2,938",552620
19,Solasta: Crown of the Magister,87.93%,"63,680",721,"8,291",1096530
20,Empire of Sin,46.13%,"61,858",122,"9,229",604540
21,Battle Brothers,85.84%,"59,292","1,159","8,060",365360
22,Torment: Tides of Numenera,68.00%,"58,092",23,"7,430",272270
23,Griftlands,92.45%,"53,119",304,"7,693",601840
24,Hyperdimension Neptunia Re;Birth1,92.27%,"51,718",30,"2,281",282900
25,DRAGON QUEST® XI: Echoes of an Elusive Age™ - Digital Edition of Light,84.43%,"48,227",88,"11,793",742120
26,Yakuza: Like a Dragon,94.07%,"47,742",652,"9,535",1235140
27,The Banner Saga 2,86.14%,"47,302",46,"1,924",281640
28,"Warhammer 40,000: Gladius - Relics of War",78.11%,"47,113",429,"3,451",489630
29,The Legend of Heroes: Trails in the Sky,89.67%,"46,072",119,"2,014",251150
30,The Legend of Heroes: Trails of Cold Steel,91.80%,"44,234",138,"1,628",538680
31,Indivisible,71.21%,"41,847",33,"2,883",421170
32,Hard West,75.73%,"41,722",15,874,307670
33,"Warhammer 40,000: Mechanicus",89.45%,"41,092",144,"2,748",673880
34,Iratus: Lord of the Dead,84.04%,"40,743",215,"4,258",807120
35,Shadowrun: Hong Kong - Extended Edition,83.12%,"40,006",92,"7,260",346940
36,Path Of Wuxia,88.29%,"39,586",78,"15,597",1189630
37,Othercide,79.94%,"39,162",47,"1,696",798490
38,Stellar Tactics,80.16%,"39,032",9,130,465490
39,Encased: A Sci-Fi Post-Apocalyptic RPG,75.52%,"38,746",39,572,921800
40,WORLD OF FINAL FANTASY®,78.86%,"38,629",30,"1,295",552700
