,Name,Rating,Followers,Online,Peak,id
0,Deep Rock Galactic,95.39%,"1,346,099","4,754","36,224",548430
1,The Witcher® 3: Wild Hunt,97.05%,"786,023","13,621","103,329",292030
2,Sekiro™: Shadows Die Twice - GOTY Edition,93.56%,"460,471","2,402","125,315",814380
3,Frostpunk,89.70%,"331,686","5,832","29,361",323190
4,Undertale,95.23%,"307,354",829,"10,484",391540
5,Darkest Dungeon®,89.51%,"302,542","4,178","19,357",262060
6,Resident Evil 2,95.77%,"263,717",783,"74,227",883710
7,METAL GEAR SOLID V: THE PHANTOM PAIN,89.06%,"241,120","1,632","91,195",287700
8,Shadow of the Tomb Raider: Definitive Edition,82.13%,"234,624","1,157","38,268",750920
9,Grim Dawn,91.74%,"223,388","2,750","61,458",219990
10,The Binding of Isaac: Rebirth,96.57%,"222,230","16,490","70,701",250900
11,Phasmophobia,96.21%,"216,528","15,261","112,717",739630
12,Friday the 13th: The Game,77.50%,"207,391",906,"16,096",438740
13,DEATH STRANDING,91.89%,"202,696","1,171","32,515",1190460
14,DARK SOULS™ II: Scholar of the First Sin,85.01%,"185,308","2,720","12,106",335300
15,Hellblade: Senua's Sacrifice,89.88%,"183,286",110,"5,653",414340
16,We Happy Few,73.40%,"168,153",126,"3,498",320240
17,Outlast 2,88.52%,"165,571",180,"5,966",414700
18,INSIDE,94.26%,"161,351",63,"4,170",304430
19,Little Nightmares,92.73%,"152,199",621,"78,169",424840
20,A Plague Tale: Innocence,92.08%,"151,055",191,"4,058",752590
21,Vampyr,74.29%,"146,859",168,"16,120",427290
22,Vampire: The Masquerade® - Bloodlines™ 2,-,"144,041",0,10,532790
23,Batman™: Arkham Knight,79.91%,"142,276","1,078","27,406",208650
24,Doki Doki Literature Club!,95.52%,"132,697",955,"7,402",698780
25,DARK SOULS™: Prepare To Die™ Edition,90.10%,"130,104",393,"11,259",211420
26,Resident Evil Village,93.64%,"119,425","1,345","106,631",1196590
27,DARK SOULS™ II,87.50%,"117,175",291,"79,528",236430
28,Graveyard Keeper,83.43%,"103,836",830,"16,993",599140
29,Darksiders III,73.98%,"102,635",314,"7,730",606280
30,DARK SOULS™: REMASTERED,86.11%,"95,652","2,625","24,501",570940
31,Outlast,94.60%,"94,352",314,"11,827",238320
32,Little Nightmares II,92.88%,"93,366",164,"7,103",860510
33,The Evil Within 2,90.22%,"90,861",216,"9,918",601430
34,The Witcher 2: Assassins of Kings Enhanced Edition,88.87%,"89,250",715,"12,884",20920
35,What Remains of Edith Finch,93.22%,"87,406",20,329,501300
36,Dishonored,95.69%,"83,719","1,000","19,938",205100
37,Beholder,88.91%,"83,240",154,"2,774",475550
38,The Evil Within,82.48%,"83,110",201,"4,499",268050
39,Lords Of The Fallen™,59.89%,"79,861",43,"8,024",265300
40,SUNLESS SEA,81.18%,"79,476",66,"4,049",304650
41,Salt and Sanctuary,88.92%,"79,203",149,"2,430",283640
42,Darkwood,91.95%,"79,010",87,"1,051",274520
43,Enderal: Forgotten Stories,91.29%,"72,613",262,"5,983",933480
44,Call of Cthulhu®,75.86%,"71,477",48,"3,449",399810
45,Nioh 2 – The Complete Edition,83.54%,"70,527","1,542","41,325",1325200
46,Industries of Titan,68.75%,"68,229",64,"2,217",427940
47,Layers of Fear,87.70%,"67,945",64,"145,384",391720
48,ENDER LILIES: Quietus of the Knights,92.05%,"63,603",331,"6,332",1369630
49,Hood: Outlaws & Legends,53.58%,"62,280",58,"11,536",927350
50,EITR,-,"62,248",0,8,350050
51,METAL GEAR SOLID V: GROUND ZEROES,80.73%,"60,572",64,"5,810",311340
52,Attack on Titan / A.O.T. Wings of Freedom,81.82%,"58,234",12,"2,191",449800
53,Dishonored®: Death of the Outsider™,84.69%,"57,561",210,"6,086",614570
54,Dead Realm,62.21%,"57,201",0,"1,844",352460
55,Danganronpa V3: Killing Harmony,84.12%,"57,127",369,"4,691",567640
56,Detention,77.88%,"55,156",6,"2,335",555220
57,>observer_,77.76%,"54,860",12,953,514900
58,Agony,48.73%,"54,721",3,"2,845",487720
59,Pathologic 2,88.79%,"53,430",77,"1,422",505230
60,The Binding of Isaac,93.86%,"51,467",208,"12,575",113200
61,Ashen,68.90%,"51,380",40,674,649950
62,Zombie Panic! Source,82.51%,"50,691",53,"2,996",17500
64,Batman - The Telltale Series,79.74%,"46,279",63,"4,001",498240
65,Pacify,85.82%,"45,414",497,"3,173",967050
66,Max Payne 3,83.36%,"45,229",238,"9,594",204100
67,Danganronpa 2: Goodbye Despair,94.28%,"45,122",456,"1,869",413420
68,Visage,85.00%,"45,047",104,"1,178",594330
69,Five Nights at Freddy's,88.74%,"44,767",78,"1,316",319510
70,Counter-Strike: Condition Zero,88.88%,"44,447",416,"32,748",80
71,In Silence,78.25%,"43,785",106,"2,396",1361000
72,Thief,72.39%,"43,430",175,"18,352",239160
73,Five Nights at Freddy's 2,89.88%,"42,566",36,"1,725",332800
74,Bendy and the Ink Machine,85.74%,"42,518",63,"3,457",622650
75,Scorn,-,"42,253",0,1,698670
76,LIMBO,91.77%,"41,578",53,"27,466",48000
77,Metro 2033,90.99%,"41,090",126,"14,743",43110
78,Iratus: Lord of the Dead,84.04%,"40,743",215,"4,258",807120
79,Five Nights at Freddy's 4,89.90%,"40,095",15,"1,675",388090
80,Othercide,79.96%,"39,162",49,"1,696",798490
81,Spec Ops: The Line,91.20%,"39,059",72,"13,995",50300
82,The Wolf Among Us,95.46%,"38,739",76,"14,321",250320
83,The Medium,85.55%,"38,294",20,"2,765",1293160
84,Zero Escape: Zero Time Dilemma,83.19%,"37,729",24,"1,914",311240
85,Hatred,77.68%,"36,831",41,"3,085",341940
86,The Beginner's Guide,84.89%,"36,254",7,947,303210
87,Fran Bow,93.94%,"36,204",66,447,362680
88,Five Nights at Freddy's: Sister Location,88.39%,"36,067",20,"3,549",506610
89,Legend of Keepers: Career of a Dungeon Manager,80.89%,"35,662",74,"3,127",978520
90,港詭實錄ParanormalHK,87.19%,"35,376",20,"1,221",1178490
91,Hellpoint,73.41%,"35,316",68,"1,911",628670
92,Ultimate Custom Night,93.69%,"34,850",348,"11,320",871720
93,Kholat,66.51%,"34,720",20,"272,019",343710
94,Alan Wake,89.27%,"34,686",120,"6,652",108710
95,STAR WARS™ Republic Commando™,92.68%,"34,573",117,"1,267",6000
96,Beholder 2,85.29%,"34,071",65,"1,981",761620
97,Amnesia: The Dark Descent,92.61%,"33,680",80,"5,666",57300
98,LISA: The Painful,93.28%,"33,390",38,"1,158",335670
99,The Black Death,55.17%,"33,228",1,614,412450
