,Name,Rating,Followers,Online,Peak,id
0,Sekiro™: Shadows Die Twice - GOTY Edition,93.56%,"460,608","7,175","125,315",814380
1,Assassin's Creed® Origins,84.92%,"310,847","1,717","41,551",582160
2,Assassin's Creed® Odyssey,87.59%,"277,718","5,285","62,069",812140
3,HITMAN™ 2,89.37%,"231,883","2,808","361,001",863550
4,Dishonored 2,85.15%,"219,133","3,145","22,411",403640
5,Middle-earth™: Shadow of Mordor™,90.70%,"215,463",532,"48,668",241930
6,HITMAN™,80.89%,"195,298",304,"51,650",236870
7,Counter-Strike,96.24%,"180,389","10,591","319,586",10
8,Assassin's Creed® Unity,71.34%,"172,851",603,"12,180",289650
9,Assassin's Creed® Syndicate,77.21%,"170,209",413,"4,729",368500
10,Shadow Tactics: Blades of the Shogun,94.06%,"166,417",549,"5,037",418240
11,Assassin’s Creed® IV Black Flag™,87.95%,"120,289",750,"16,049",242050
12,Dishonored,95.69%,"83,749","1,391","19,938",205100
13,Styx: Master of Shadows,80.50%,"83,354",53,"1,639",242640
14,Aragami,87.83%,"83,268",63,"1,713",280160
15,Desperados III,93.87%,"71,673",321,"6,057",610370
16,Assassin’s Creed® Rogue,81.88%,"65,914",165,"2,371",311560
17,Assassin's Creed 2 Deluxe Edition,86.68%,"63,608",374,"3,617",33230
18,Styx: Shards of Darkness,79.54%,"61,111",28,"1,241",355790
19,Dishonored®: Death of the Outsider™,84.69%,"57,584",418,"6,086",614570
20,Hitman: Absolution™,89.39%,"55,616",223,"26,137",203140
21,Sniper Ghost Warrior Contracts,71.69%,"48,088",662,"3,923",973580
22,Thief,72.39%,"43,427",215,"18,352",239160
23,Assassin’s Creed® Brotherhood,87.14%,"42,639",269,"3,848",48190
24,Partisans 1941,82.16%,"41,676",99,"3,061",1227530
25,Assassin’s Creed® III,73.41%,"40,375",42,"15,007",208480
26,Assassin's Creed® Revelations,83.63%,"37,483",144,"3,105",201870
27,Sniper Ghost Warrior Contracts 2,79.48%,"32,018","1,209","7,055",1338770
28,Seven: Enhanced Edition,75.08%,"28,883",16,443,471010
29,Mark of the Ninja,94.43%,"26,501",10,"5,066",214560
30,Assassin's Creed™: Director's Cut Edition,81.75%,"26,341",79,"1,468",15100
31,Death Coming/死神来了,87.12%,"26,007",11,"1,034",705120
32,Assassin’s Creed® Chronicles: China,71.40%,"25,845",12,591,354380
34,SpyParty,79.06%,"21,462",8,307,329070
35,Assassin's Creed Freedom Cry,73.28%,"19,990",11,447,277590
36,Shadwen,72.94%,"19,025",3,121,425210
37,First Class Trouble,78.33%,"16,388",56,"1,271",953880
38,Mark of the Ninja: Remastered,92.53%,"15,886",67,687,860950
39,The Ship: Murder Party,83.25%,"15,275",0,"3,811",2400
40,Assassin’s Creed® Liberation HD,56.33%,"13,791",5,"1,174",260210
41,Hitman: Blood Money,91.28%,"11,226",66,"1,138",6860
42,RIO - Raised In Oblivion,64.33%,"10,758",58,410,1340160
43,Murderous Pursuits,62.27%,"10,371",2,"149,224",638070
45,Dishonored,95.00%,"9,739",546,"4,604",217980
46,Demeo,85.53%,"8,776",25,336,1484280
47,Mr. Shifty,83.75%,"8,704",1,349,489140
48,Assassin's Creed® III Remastered,52.10%,"8,460",182,"3,561",911400
49,Cruelty Squad,93.21%,"8,394",136,360,1388770
50,Hitman GO: Definitive Edition,81.74%,"7,589",8,183,427820
51,Hitman: Contracts,82.41%,"7,098",14,175,247430
52,Assassin’s Creed® Chronicles: India,63.27%,"6,884",5,140,359610
53,Armed with Wings: Rearmed,82.60%,"6,783",2,524,340580
55,Assassin’s Creed® Chronicles: Russia,58.83%,"5,909",3,55,359600
57,The Slater,70.02%,"5,239",2,44,881690
58,Hitman 2: Silent Assassin,81.24%,"5,231",21,530,6850
60,Intravenous,85.94%,"4,448",28,283,1486630
61,Olija,85.11%,"4,247",4,71,1297330
62,No More Heroes,68.46%,"4,095",10,463,1420290
64,Alekhine's Gun,60.78%,"3,889",1,735,406720
65,Quest of Dungeons,73.21%,"3,683",1,125,270050
66,Hitman: Codename 47,70.03%,"3,593",10,236,6900
67,Hanako: Honor & Blade,74.67%,"3,482",0,35,349510
69,No More Heroes 2: Desperate Struggle,63.34%,"3,096",3,64,1420300
70,Velvet Assassin,59.51%,"2,816",3,183,16720
71,Resolutiion,73.98%,"2,689",0,29,975150
72,Shadows on the Vatican Act II: Wrath,70.23%,"2,377",1,16,378630
74,Unknightly,77.71%,"2,091",0,10,726250
75,Ninja Avenger Dragon Blade,57.21%,"1,868",0,43,603790
76,The Executioner,66.77%,"1,830",0,176,739130
78,The Spy Who Shrunk Me,68.53%,"1,681",0,12,754850
80,Escape the Ayuwoki,71.73%,"1,323",8,83,1177660
82,HardPunch: Subverse,43.56%,"1,096",0,10,1434900
83,TRANSCEND,51.17%,937,0,5,760860
84,Evil Mansion,67.84%,744,11,314,1518190
85,Sex Quest,44.87%,731,0,8,1459410
86,Deca,79.65%,717,2,7,960030
87,Wetwork,45.52%,706,0,3,888810
88,Atlantica Europe,53.97%,649,122,193,1563940
89,Arc Apellago,81.69%,645,1,64,1454430
92,Adventure Escape Mysteries,77.87%,586,22,118,1141020
94,Jiangshi x Daoshi,82.14%,533,0,11,1338460
95,Tale of Ninja: Fall of the Miyoshi,68.75%,529,0,4,966470
97,Shadowlings,73.70%,502,0,25,883020
98,Space Trader: Merchant Marine,49.32%,451,0,67,11240
99,A Night In Berlin,78.38%,439,0,35,1338420
