,Name,Rating,Followers,Online,Peak,id
0,Monster Hunter: World,83.48%,"745,080","11,646","334,684",582010
1,NieR:Automata™,81.83%,"449,074",731,"23,908",524220
2,FINAL FANTASY XV WINDOWS EDITION,80.15%,"240,939",570,"29,498",637650
3,Dragon's Dogma: Dark Arisen,87.84%,"189,412",692,"27,368",367500
4,CODE VEIN,86.15%,"151,661",539,"33,895",678960
5,Sword Art Online: Fatal Bullet,77.83%,"145,791",111,"21,727",626690
6,Nioh: Complete Edition / 仁王 Complete Edition,79.08%,"144,514",372,"10,649",485510
7,Temtem,85.88%,"139,665",953,"39,572",745920
8,OCTOPATH TRAVELER™,83.84%,"135,832",240,"6,177",921570
9,Tales of Zestiria,80.50%,"132,519",85,"9,696",351970
10,Mirror,95.43%,"126,433",266,"7,565",644560
11,Ni no Kuni™ II: Revenant Kingdom,82.39%,"112,275",148,"10,805",589360
12,Tales of Berseria™,90.11%,"111,791",267,"8,085",429660
13,NieR Replicant™ ver.1.22474487139...,83.86%,"108,420",488,"28,684",1113560
14,South Park™: The Stick of Truth™,95.69%,"108,056",213,"34,811",213670
15,Sword Art Online: Hollow Realization Deluxe Edition,79.04%,"105,291",53,"3,254",607890
16,DRAGON BALL Z: KAKAROT,90.86%,"104,226","1,386","25,852",851850
17,FINAL FANTASY X/X-2 HD Remaster,88.63%,"97,223",673,"13,263",359870
18,FINAL FANTASY XIV Online,86.85%,"90,586","52,488","67,148",39210
19,SCARLET NEXUS,83.32%,"86,427",375,"14,516",775500
20,RPG Maker MV,88.46%,"86,315",831,"2,486",363890
21,Edge Of Eternity,76.53%,"83,271",93,736,269190
22,Atelier Ryza: Ever Darkness & the Secret Hideout,84.43%,"83,098",46,"4,616",1121560
23,Yakuza 0,92.61%,"77,091","1,190","8,985",638970
24,Persona 4 Golden,95.36%,"76,996","1,753","29,984",1113000
25,FINAL FANTASY IX,90.80%,"76,228",268,"8,229",377840
26,Valkyria Chronicles™,88.36%,"73,921",62,"5,039",294860
27,Okami HD,89.58%,"73,804",60,"2,136",587620
28,Tree of Savior (English Ver.),63.74%,"73,470","1,007","53,554",372000
29,GOD EATER 2 Rage Burst,75.74%,"73,068",25,"1,491",438490
30,CrossCode,91.84%,"71,321",154,"3,429",368340
31,Nioh 2 – The Complete Edition,83.54%,"70,527","1,551","41,325",1325200
32,Secrets of Grindea,88.49%,"70,309",41,435,269770
33,Battle Chasers: Nightwar,85.57%,"69,344",63,"5,375",451020
34,FINAL FANTASY® XIII,72.47%,"69,139",265,"8,320",292120
35,LIGHTNING RETURNS™: FINAL FANTASY® XIII,77.39%,"62,637",56,"2,503",345350
36,Phantasy Star Online 2 New Genesis,74.58%,"62,085","3,762","59,558",1056640
37,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,82.03%,"61,835",121,"3,878",278080
38,FINAL FANTASY XII THE ZODIAC AGE,86.44%,"61,476",284,"8,386",595520
39,SENRAN KAGURA ESTIVAL VERSUS,91.42%,"61,014",24,"1,088",502800
40,Fate/EXTELLA,88.91%,"55,901",9,"2,946",511680
41,Persona® 5 Strikers,89.92%,"55,774",194,"8,730",1382330
42,Monster Hunter Stories 2: Wings of Ruin,75.99%,"55,704","3,047","34,995",1277400
43,GOD EATER 3,79.43%,"55,682",63,"9,549",899440
44,Valkyria Chronicles 4 Complete Edition,84.94%,"54,319",101,"2,546",790820
45,One Piece Pirate Warriors 3,78.31%,"53,627",54,"4,274",331600
46,Hyperdimension Neptunia Re;Birth1,92.27%,"51,718",31,"2,281",282900
47,FINAL FANTASY VII,90.79%,"48,606",367,"6,424",39140
48,SENRAN KAGURA SHINOVI VERSUS,90.92%,"48,522",3,"1,048",411830
49,DRAGON QUEST® XI: Echoes of an Elusive Age™ - Digital Edition of Light,84.43%,"48,227",92,"11,793",742120
50,Azur Lane Crosswave,67.30%,"48,225",9,"10,413",1150080
