,Name,Rating,Followers,Online,Peak,id
0,Divinity: Original Sin 2 - Definitive Edition,94.75%,"455,425","7,454","93,701",435150
1,Baldur's Gate 3,86.61%,"353,419","2,171","73,980",1086940
2,Disco Elysium - The Final Cut,92.42%,"163,866","1,498","8,081",632470
3,Pillars of Eternity,85.98%,"158,922",661,"41,906",291650
4,Divinity: Original Sin - Enhanced Edition,88.33%,"128,891",616,"7,565",373420
5,STAR WARS™: The Old Republic™,88.79%,"118,513","8,598","34,210",1286830
6,Pillars of Eternity II: Deadfire,85.08%,"117,078",807,"22,724",560130
7,Tyranny,84.52%,"107,272",135,"15,792",362960
8,Pathfinder: Kingmaker - Enhanced Plus Edition,77.24%,"107,172","2,471","22,643",640820
9,SpellForce 3,72.41%,"102,877",114,"8,932",311290
10,Wasteland 2: Director's Cut,80.29%,"93,016",14,"18,856",240760
11,SCARLET NEXUS,83.32%,"86,427",369,"14,516",775500
12,Divinity: Original Sin (Classic),89.23%,"84,681",21,"22,040",230230
13,Wasteland 3,80.53%,"78,362",564,"24,555",719040
14,ATOM RPG: Post-apocalyptic indie game,86.08%,"67,228",139,"2,938",552620
15,Solasta: Crown of the Magister,87.93%,"63,680",640,"8,291",1096530
16,Battle Brothers,85.84%,"59,292","1,069","8,060",365360
17,Torment: Tides of Numenera,68.00%,"58,092",12,"7,430",272270
18,TaleSpire,89.71%,"53,433",260,"1,416",720620
19,Pathologic 2,88.79%,"53,430",64,"1,422",505230
20,Shadowrun: Hong Kong - Extended Edition,83.12%,"40,006",79,"7,260",346940
21,Stellar Tactics,80.16%,"39,032",8,130,465490
22,Encased: A Sci-Fi Post-Apocalyptic RPG,75.52%,"38,746",30,572,921800
23,Baldur's Gate: Enhanced Edition,88.35%,"38,445",730,"3,756",228280
24,Baldur's Gate II: Enhanced Edition,87.67%,"38,401",544,"2,644",257350
25,Shadowrun: Dragonfall - Director's Cut,86.72%,"36,060",68,"2,703",300550
26,Neverwinter Nights: Enhanced Edition,85.11%,"35,752",944,"2,410",704450
27,Tempest: Pirate Action RPG,68.42%,"35,647",12,"1,109",418180
28,Death Trash,90.99%,"35,307",331,"1,008",941460
29,UnderRail,84.28%,"35,297",207,"1,981",250520
30,Expeditions: Viking,81.83%,"34,128",148,"2,901",445190
31,The Age of Decadence,79.24%,"33,609",24,703,230070
32,Shadows: Awakening,73.92%,"33,333",15,902,585450
33,侠客风云传(Tale of Wuxia),75.97%,"32,595",58,963,377530
34,TROUBLESHOOTER: Abandoned Children,90.98%,"32,444",125,"1,012",470310
35,Tainted Grail: Conquest,86.68%,"31,549",251,"3,294",1199030
36,Cultist Simulator,76.80%,"30,315",137,"3,143",718670
37,Planescape: Torment: Enhanced Edition,90.69%,"30,167",102,955,466300
38,Icewind Dale: Enhanced Edition,85.31%,"29,779",151,856,321800
39,Divinity II: Developer's Cut,80.69%,"27,800",38,"1,237",219780
40,Tower of Time,81.85%,"26,566",35,686,617480
41,Colony Ship: A Post-Earth Role Playing Game,78.99%,"25,133",11,380,648410
