,Name,Rating,Followers,Online,Peak,id
0,Kynseed,84.56%,"46,270",33,433,758870
1,Ranch Simulator,80.67%,"35,892",866,"3,233",1119730
2,Ooblets,-,"27,784",0,2,593150
3,VEGA Conflict,57.79%,"27,092",646,"3,814",339600
4,Hokko Life,70.30%,"25,263",40,"1,020",824000
6,DORAEMON STORY OF SEASONS,80.34%,"20,640",116,"1,478",965230
7,Farm Manager 2018,69.30%,"19,126",124,"3,940",495560
8,Re:Legend,61.69%,"18,239",13,"2,589",823950
9,Farming Simulator 2013 Titanium Edition,88.44%,"14,406",56,"4,639",220260
10,It Lurks Below,82.91%,"13,123",7,875,697550
11,The Stillness of the Wind,69.76%,"9,686",3,99,828900
12,Pure Farming 2018,69.35%,"9,547",23,"1,890",534370
13,EARTHLOCK,70.15%,"8,239",6,142,761030
14,Swords 'n Magic and Stuff,86.61%,"7,974",28,547,810040
15,World's Dawn,76.66%,"7,316",6,265,432010
17,Twins of the Pasture,69.31%,"5,911",0,200,649580
18,Big Farm Story,70.18%,"5,450",184,433,1329510
19,Harvest Life,50.69%,"4,932",1,25,649790
21,Gleaner Heights,68.28%,"4,340",3,187,786580
22,Verdant Skies,77.98%,"3,716",2,59,730050
24,Farm for your Life,77.20%,"2,687",0,337,266390
25,Wild Season,38.81%,"2,678",0,52,328220
26,Cheeky Chooks,89.26%,"2,663",38,427,922460
27,Farm Expert 2017,46.23%,"2,531",6,234,424590
31,FreeHolder,73.76%,"2,112",1,14,463800
32,Farmer's Fairy Tale,48.29%,"1,944",2,32,821820
33,Aquaculture Land: Fish Farming Simulation,75.68%,"1,695",2,14,858630
34,Farming Simulator 2011,82.80%,"1,633",8,674,90200
36,Harvest Seasons,63.08%,"1,313",1,755,772070
37,Morningdew Farms: A Gay Farming Game,75.40%,"1,179",1,71,1069390
38,Farm Expert 2016,42.06%,"1,151",2,118,334750
40,Alpaca Stacka,92.59%,"1,057",44,111,1655140
41,BugOut,49.01%,"1,015",0,7,790700
42,Professional Farmer 2017,36.65%,984,1,66,433670
44,Fujii,83.01%,891,0,11,589040
46,Professional Farmer 2014,45.66%,803,1,794,258880
47,Farm Frenzy 4,74.44%,672,5,73,296220
50,True Mining Simulator,65.57%,486,1,12,755550
51,Farming World,40.97%,460,0,405,277500
52,Agricultural Simulator 2013 - Steam Edition,26.54%,448,0,112,236790
53,There Was A Dream,59.43%,379,0,4,1001950
54,Monster Girl Garden,53.27%,353,0,9,1198820
55,Survival Engine,66.14%,335,1,15,1507910
56,Forest Farm,62.10%,326,0,3,1403520
57,Agricultural Simulator: Historical Farming,29.03%,322,0,22,259890
58,Agricultural Simulator 2011: Extended Edition,51.36%,321,0,24,92900
59,Blacksmith,64.33%,318,0,57,787840
60,Farm Machines Championships 2014,41.60%,283,0,34,284290
61,Farming Giant,28.61%,283,0,117,259910
62,Elderine: Dreams to Destiny,53.32%,270,0,5,535350
63,Farm Life: Natures Adventure,45.70%,219,0,"1,428",511330
65,Inclement,74.41%,176,0,6,988650
66,Maszyny Rolnicze 2015,45.60%,169,1,238,326350
68,Little Farm,63.35%,144,0,13,15960
69,Farming Engine,53.98%,135,0,11,1601100
71,What We Pretend To Be,39.72%,83,0,2,1499430
72,Gooberries,70.57%,80,0,3,1081070
74,肉牛养殖计划,35.92%,68,0,3,1568900
75,Hippoboar Rancher ~かばいの牧場物語~,64.08%,63,0,6,1195090
77,MiniFarm 2020,19.46%,57,0,4,1434500
78,Look and Find - Curiosity,62.51%,32,0,3,1432310
79,Simple Farm,69.20%,31,0,2,1264900
80,The Kingdom of Gardenia,64.78%,29,0,1,1376820
81,Little Big Guy,50.00%,26,0,2,1623320
82,Farm & Puzzle,54.17%,24,0,2,1433980
85,Adventure Mosaics. Granny’s Farm,-,6,2,4,1597870
89,Big Farm Story - Asian Package,64.08%,-,-,-,1695660
90,Graveyard Keeper - Game Of Crone,63.96%,-,-,-,1430990
91,Farming Simulator 19 - Alpine Farming Expansion,54.14%,-,-,-,1347920
92,Farming Simulator 15 - Official Expansion (GOLD),72.29%,-,-,-,374851
93,Farming Simulator 2013 - Classics,81.30%,-,-,-,245220
