,Name,Rating,Followers,Online,Peak,id
0,The Witcher® 3: Wild Hunt,97.05%,"786,023","12,867","103,329",292030
1,DARK SOULS™ III,93.01%,"562,806","10,550","129,975",374320
2,Sekiro™: Shadows Die Twice - GOTY Edition,93.56%,"460,471","2,334","125,315",814380
3,Total War: WARHAMMER II,92.11%,"379,908","23,882","84,920",594570
4,Baldur's Gate 3,86.61%,"353,419","2,236","73,980",1086940
5,Total War: WARHAMMER,76.75%,"323,369",714,"113,019",364360
6,Darkest Dungeon®,89.51%,"302,542","4,050","19,357",262060
7,Middle-earth™: Shadow of War™,85.06%,"290,587","2,043","68,183",356190
8,Dead Cells,95.35%,"285,472","1,321","13,802",588650
9,Hollow Knight,95.74%,"267,383","6,434","11,992",367520
10,Grim Dawn,91.74%,"223,388","2,668","61,458",219990
11,Middle-earth™: Shadow of Mordor™,90.70%,"215,473",472,"48,668",241930
12,Warhammer: End Times - Vermintide,78.35%,"211,417",84,"24,700",235540
13,Warhammer: Vermintide 2,81.50%,"199,384","3,543","73,316",552500
14,Wolcen: Lords of Mayhem,55.62%,"192,095",829,"127,542",424370
15,Dragon's Dogma: Dark Arisen,87.84%,"189,412",686,"27,368",367500
16,DARK SOULS™ II: Scholar of the First Sin,85.01%,"185,308","2,664","12,106",335300
17,Hellblade: Senua's Sacrifice,89.88%,"183,286",106,"5,653",414340
18,Remnant: From the Ashes,83.26%,"169,449",647,"48,289",617290
19,INSIDE,94.26%,"161,351",56,"4,170",304430
20,Pillars of Eternity,85.98%,"158,922",708,"41,906",291650
21,ELEX,73.17%,"157,235",622,"22,969",411300
22,CODE VEIN,86.15%,"151,661",529,"33,895",678960
23,A Plague Tale: Innocence,92.08%,"151,055",174,"4,058",752590
24,Vampyr,74.29%,"146,859",160,"16,120",427290
25,Nioh: Complete Edition / 仁王 Complete Edition,79.08%,"144,514",373,"10,649",485510
26,Vampire: The Masquerade® - Bloodlines™ 2,-,"144,041",0,10,532790
