,Name,Rating,Followers,Online,Peak,id
0,Tabletop Simulator,94.38%,"171,957","5,051","37,198",286160
1,Verdun,83.99%,"171,638",195,"4,541",242860
2,Foxhole,80.39%,"133,390","2,930","5,709",505460
3,Naval Action,62.62%,"104,432",745,"5,222",311310
4,Holdfast: Nations At War,87.45%,"78,646",391,"2,833",589290
5,Steel Division: Normandy 44,71.84%,"70,236",102,"4,678",572410
6,Ultimate General: Civil War,86.29%,"59,813",650,"1,678",502520
7,Wargame: Red Dragon,86.94%,"58,442",734,"4,779",251060
8,Sins of a Solar Empire®: Rebellion,90.57%,"52,909",626,"93,109",204880
9,Steel Division 2,76.44%,"50,292",564,"2,260",919640
10,Call to Arms - Gates of Hell: Ostfront,75.73%,"48,556",511,"2,704",400750
11,Tannenberg,84.20%,"47,884",68,"1,177",633460
12,"Warhammer 40,000: Gladius - Relics of War",78.11%,"47,113",406,"3,451",489630
13,Conqueror's Blade,67.25%,"40,758","2,129","19,178",835570
14,TROUBLESHOOTER: Abandoned Children,90.98%,"32,444",133,"1,012",470310
16,Total War: ROME REMASTERED,67.88%,"29,783",861,"18,526",885970
17,Airships: Conquer the Skies,91.87%,"27,106",59,"1,030",342560
18,Three Kingdoms The Last Warlord,69.71%,"27,015",79,799,577230
19,Ashes of the Singularity: Escalation,74.00%,"26,800",53,"3,831",507490
21,Strategic Mind: The Pacific,74.17%,"22,688",13,151,991810
22,Ultimate Admiral: Age of Sail,76.69%,"21,947",114,926,1069650
23,World of Tanks,56.94%,"21,664","1,057","4,196",1407200
24,Blood of Steel,77.67%,"21,432",251,"2,203",567630
25,Creeper World 4,91.06%,"21,246",420,"3,828",848480
26,Ultimate General: Gettysburg,78.29%,"20,875",19,910,306660
27,WWII Online,46.12%,"20,484",19,458,251950
28,KARDS - The WWII Card Game,82.47%,"19,662",503,"2,918",544810
29,Panzer Corps 2,78.09%,"19,051",599,"3,480",1072040
30,"Warhammer 40,000: Sanctus Reach",81.36%,"18,995",70,735,502370
31,Wargame: Airland Battle,85.26%,"17,857",40,"4,439",222750
32,War on the Sea,72.66%,"17,539",241,856,1280780
33,Order of Battle: World War II,73.20%,"17,289",285,"2,171",312450
34,Fantasy General II,78.95%,"17,177",41,634,1025440
35,Warhammer Underworlds: Online,61.88%,"16,994",13,793,1022310
36,Hegemony III: Clash of the Ancients,73.79%,"16,577",7,251,308173
37,"Warhammer 40,000: Armageddon",76.47%,"16,408",20,587,312370
