,Name,Rating,Followers,Online,Peak,id
0,Euro Truck Simulator 2,96.64%,"659,530","18,948","61,081",227300
1,Cities: Skylines,91.95%,"579,631","11,064","60,386",255710
2,Frostpunk,89.70%,"331,686","5,462","29,361",323190
3,American Truck Simulator,94.81%,"315,375","6,033","19,153",270880
4,Planet Coaster,89.16%,"274,862","1,896","21,971",493340
5,Planet Zoo,88.07%,"239,930","3,031","38,630",703080
6,Jurassic World Evolution,84.09%,"235,089","1,152","60,296",648350
7,House Flipper,90.71%,"194,016","1,998","10,899",613100
8,Prison Architect,89.34%,"193,132","1,195","16,211",233450
9,Eco,80.20%,"183,837","1,269","6,964",382310
10,Sid Meier's Civilization® V,94.95%,"178,879","17,872","91,363",8930
11,Foundation,83.89%,"169,502",500,"4,088",690830
12,Europa Universalis IV,84.74%,"165,520","17,548","48,165",236850
13,Farming Simulator 19,91.78%,"142,342","17,294","59,466",787860
14,Banished,88.45%,"139,043","1,018","24,636",242920
15,Kingdoms and Castles,89.60%,"130,527",617,"4,856",569480
16,Dawn of Man,84.96%,"127,454",764,"23,864",858810
17,Farming Simulator 17,91.05%,"118,490",774,"32,313",447020
18,Avorion,88.80%,"113,920","1,433","4,533",445220
19,X4: Foundations,73.20%,"104,616","1,224","15,198",392160
20,Tropico 6,84.92%,"102,866",911,"15,294",492720
21,The Guild 3,57.79%,"102,584",77,"3,513",311260
22,Offworld Trading Company,74.49%,"99,030",62,"2,698",271240
23,Imperator: Rome,56.72%,"96,337",774,"41,945",859580
24,Endzone - A World Apart,76.01%,"88,186",162,"6,426",933820
25,Transport Fever,81.06%,"85,110",243,"12,615",446800
26,Workers & Resources: Soviet Republic,88.87%,"81,987",871,"3,891",784150
27,Farming Simulator 15,88.88%,"80,384",169,"18,711",313160
28,Anno 2205™,67.97%,"78,208",92,"7,446",375910
29,EVE Online,74.57%,"77,112","3,362","10,627",8500
30,Age of Wonders: Planetfall,77.82%,"76,367",481,"10,462",718850
31,Transport Fever 2,84.99%,"74,638","2,151","24,308",1066780
32,Rise of Industry,74.43%,"72,324",41,"1,388",671440
33,Anno 1800,80.13%,"71,818",263,"25,302",916440
34,Last Oasis,65.16%,"71,438","2,055","33,287",903950
35,Railway Empire,80.12%,"70,471",389,"5,446",503940
36,Football Manager 2019,84.19%,"63,148","2,777","75,982",872790
37,Albion Online,77.98%,"62,777","7,052","13,363",761890
38,Game Dev Tycoon,93.44%,"61,727",254,"7,761",239820
39,Judgment: Apocalypse Survival Simulation,78.31%,"61,515",38,"1,277",455980
40,Parkitect,91.11%,"60,388",267,"1,400",453090
41,Cooking Simulator,80.78%,"60,007",248,"3,500",641320
42,Windward,77.48%,"58,884",27,"3,510",326410
43,Kingdoms Reborn,86.39%,"57,038",755,"2,014",1307890
44,Dungeons 3,92.35%,"53,087",162,"3,289",493900
45,Factory Town,87.50%,"51,365",72,"2,648",860890
46,Project Hospital,84.27%,"50,125",449,"2,673",868360
47,Startup Company,79.16%,"49,338",97,"1,984",606800
48,Tropico 5,76.61%,"48,891",188,"13,483",245620
49,Gold Rush: The Game,70.18%,"47,991",349,"6,625",451340
50,Project AURA,64.47%,"47,701",5,120,305940
51,Turmoil,89.30%,"46,528",148,"5,055",361280
52,Automation - The Car Company Tycoon Game,88.99%,"44,679",351,"1,235",293760
53,Stronghold: Warlords,60.49%,"43,702",100,"4,434",907650
54,Becastled,80.16%,"43,457",85,"1,507",1330460
55,Imagine Earth,76.54%,"42,187",20,327,280720
56,Jalopy,74.87%,"40,892",37,666,446020
57,Victoria 3,-,"40,157",0,7,529340
58,Ostriv,88.23%,"39,801",121,"1,148",773790
59,SimAirport,76.11%,"39,424",88,"1,071",598330
60,Project Highrise,80.88%,"37,822",56,"2,515",423580
61,The Tenants,81.23%,"37,242",292,"4,583",1009560
62,Tank Mechanic Simulator,84.82%,"36,907",103,"5,022",407130
63,Grand Ages: Medieval,46.63%,"36,888",17,"4,274",310470
