,Name,Rating,Followers,Online,Peak,id
0,Source Filmmaker,91.33%,"106,628","1,258","3,975",1840
1,Oats Studios - Volume 1,93.83%,"68,734",0,853,633030
2,隐形守护者 The Invisible Guardian,84.45%,"52,413",25,"82,345",998940
3,Late Shift,84.47%,"30,845",21,395,584980
4,LEGO® Jurassic World,86.78%,"28,003",224,"3,498",352400
5,Dota 2 Player Profiles,86.64%,"18,777",0,93,411180
6,NEKOPARA OVA,87.57%,"17,566",1,470,758230
7,"Papers, Please - The Short Film",95.90%,"16,518",0,"1,105",804320
8,The Complex,74.70%,"11,888",3,382,1107790
9,Need for Speed™,69.15%,"10,520",244,"1,260",1262540
10,Contradiction - Spot The Liar!,91.36%,"9,189",4,70,373390
11,Bigscreen Beta,83.31%,"8,908",82,315,457550
12,She Sees Red - Interactive Movie,75.66%,"7,750",0,155,1081510
13,The Bunker,67.84%,"6,224",1,70,481110
14,Jurassic Park: The Game,64.61%,"4,929",4,371,201830
15,Over the Dream,89.41%,"4,474",0,"2,130",406210
16,Oats Studios - Volume 1 Assets,84.51%,"4,122",0,8,652150
17,Movavi Video Editor Plus 2020 - Video Editing Software,79.66%,"3,968",64,180,1182920
18,Agent Origins,86.45%,"3,784",0,20,534110
19,The Huntsman: Winter's Curse,68.46%,"3,074",0,110,446990
20,Ogrest,88.48%,"2,830",0,"2,551",365170
21,Filmmaker Tycoon,34.89%,"2,636",2,101,778010
22,Rainy Season,86.49%,"2,545",1,57,1094420
23,Portal 2 - The Final Hours,76.17%,"2,453",0,450,104600
24,Angry Video Game Nerd: The Movie,75.88%,"2,354",0,68,357380
25,XAOC,69.09%,"2,158",0,242,614860
26,Fast Action Hero,77.52%,"2,122",0,9,534000
27,Tvori,68.39%,"2,099",0,11,517170
28,Paradox: A Rusty Lake Film,90.97%,"2,002",0,154,909090
29,Indie Game: The Movie,88.02%,"1,938",3,"1,114",207080
30,Ghost in the Shell,76.56%,"1,790",0,121,589880
31,NEKOPARA OVA Extra,89.67%,"1,685",0,196,746650
32,CyberLink PowerDirector 15 Ultra,66.14%,"1,603",1,22,501630
33,Branching Paths,81.18%,"1,574",0,43,494680
34,Milanoir,62.19%,"1,571",0,16,642830
35,Mad Max: Fury Road,77.54%,"1,510",0,54,396120
36,Allumette,87.95%,"1,425",0,25,460850
37,Movavi Video Editor 15 Plus - Video Editing Software,77.87%,"1,387",34,101,969020
38,审判者,38.49%,"1,360",0,458,1591860
39,Beholder - Official Short Film,88.55%,"1,225",0,28,977770
41,CINEVEO - VR Cinema,59.41%,"1,180",0,8,364380
42,Conscious Existence - A Journey Within,83.12%,991,0,10,1093330
43,Far Cry 5: Inside Eden’s Gate,86.40%,972,0,17,868490
44,The Making of Horizon Zero Dawn,78.13%,962,0,36,804410
45,RWBY: Volume 1,65.01%,930,0,11,490090
46,The Great C,82.29%,924,0,14,841460
47,Motivational Growth,75.57%,911,0,13,359410
48,POSTAL The Movie,88.41%,879,1,87,697440
49,Movavi Video Editor Plus 2021 - Video Editing Software,75.10%,862,42,69,1418800
51,CyberLink ColorDirector 4,59.42%,793,0,2,435750
52,RWBY: Volume 3,69.36%,768,0,10,492510
53,JourneyQuest Season One,87.11%,739,0,46,433270
54,CyberLink PhotoDirector 8 Ultra,63.21%,731,0,8,501640
55,LEGO® Batman 'The Batmersive Experience',62.00%,712,0,16,630980
56,Epic Loon,78.99%,700,0,6,762190
57,PADAK,87.47%,700,0,47,468060
58,GRISAIA Phantom Trigger THE ANIMATION,70.84%,694,0,14,935420
59,The Rose and I,80.63%,678,0,9,396060
60,Dante's Inferno: An Animated Epic,78.75%,672,0,12,628540
61,"Movavi Video Suite 2021 Steam Edition -- Video Making Software - Video Editor, Screen Recorder and Video Converter",62.92%,668,16,43,1418970
62,Dead Space: Downfall,75.82%,662,0,26,664950
63,THE LAST -NARUTO THE MOVIE-,80.13%,641,0,34,439650
64,RWBY: Volume 4,70.57%,623,0,8,648820
65,The Alchemist's House,66.55%,621,0,30,1208520
66,K-On! The Movie,84.40%,566,4,13,518440
67,Zero Point,50.00%,566,0,20,268710
68,Ghost in the Shell 2.0,56.53%,561,0,24,589900
69,John Wick,84.13%,548,0,34,469660
70,RWBY: Volume 2,70.75%,544,0,8,492470
71,Sword Art Online: The Movie - Ordinal Scale,73.21%,534,0,47,895690
