,Name,Rating,Followers,Online,Peak,id
0,Dota 2,83.55%,"1,887,003","370,755","1,295,114",570
1,Cyberpunk 2077,75.05%,"1,177,161","7,983","1,054,388",1091500
2,Monster Hunter: World,83.48%,"745,080","11,879","334,684",582010
3,Mount & Blade II: Bannerlord,86.17%,"737,748","12,296","248,216",261550
4,DARK SOULS™ III,93.01%,"562,806","10,717","129,975",374320
5,Divinity: Original Sin 2 - Definitive Edition,94.75%,"455,425","8,167","93,701",435150
6,The Elder Scrolls V: Skyrim Special Edition,89.28%,"396,812","23,226","69,906",489830
7,The Elder Scrolls® Online,80.65%,"394,490","19,678","49,234",306130
8,7 Days to Die,86.21%,"385,713","18,255","47,025",251570
9,Far Cry® 5,78.14%,"374,607","8,590","92,445",552520
10,Baldur's Gate 3,86.61%,"353,419","2,224","73,980",1086940
11,The Elder Scrolls V: Skyrim,93.81%,"310,714","5,421","287,411",72850
12,XCOM® 2,83.18%,"285,411","5,424","133,022",268500
13,NARAKA: BLADEPOINT,67.75%,"249,815","20,763","70,731",1203220
14,Path of Exile,89.92%,"241,945","34,853","157,103",238960
15,Dungeon Defenders II,75.26%,"234,496",802,"18,785",236110
16,Apex Legends™,88.13%,"229,969","122,292","330,879",1172470
18,KurtzPel,62.65%,"214,588",345,"11,937",844870
19,BIOMUTANT,67.29%,"210,413",261,"55,048",597820
20,Wolcen: Lords of Mayhem,55.62%,"192,095",842,"127,542",424370
21,Dragon's Dogma: Dark Arisen,87.84%,"189,412",699,"27,368",367500
22,DARK SOULS™ II: Scholar of the First Sin,85.01%,"185,308","2,727","12,106",335300
23,Crusader Kings III,91.87%,"178,033","12,570","98,872",1158310
24,MORDHAU,81.35%,"171,629","1,875","60,204",629760
25,The Outer Worlds,83.86%,"168,639","1,178","20,349",578650
26,TEKKEN 7,81.66%,"166,853","3,633","18,966",389730
27,Disco Elysium - The Final Cut,92.42%,"163,866","1,668","8,081",632470
28,GreedFall,77.26%,"162,378",298,"16,345",606880
29,Pillars of Eternity,85.98%,"158,922",712,"41,906",291650
30,CODE VEIN,86.15%,"151,661",529,"33,895",678960
31,Craftopia,78.93%,"149,269",436,"27,246",1307550
32,Sword Art Online: Fatal Bullet,77.83%,"145,791",114,"21,727",626690
33,Black Desert,74.46%,"140,901","20,814","60,395",582660
34,Temtem,85.88%,"139,665",959,"39,572",745920
35,DRAGON BALL XENOVERSE 2,85.07%,"136,669",845,"19,416",454650
36,Fallout: New Vegas,95.09%,"135,706","7,046","51,038",22380
37,The Escapists 2,87.54%,"132,999",321,"11,202",641990
38,Divinity: Original Sin - Enhanced Edition,88.33%,"128,891",697,"7,565",373420
39,OUTRIDERS,62.36%,"122,671","1,482","125,143",680420
40,JUMP FORCE,71.10%,"118,753",320,"9,885",816020
41,STAR WARS™: The Old Republic™,88.79%,"118,513","9,159","34,210",1286830
42,BATTLETECH,80.31%,"118,307","2,446","35,767",637090
43,Pillars of Eternity II: Deadfire,85.08%,"117,078",874,"22,724",560130
44,Crusader Kings II,88.54%,"113,781","3,595","141,439",203770
45,Bless Online,38.43%,"111,351",2,"34,392",681660
46,Mortal Kombat 11,83.92%,"110,285","2,155","35,147",976310
47,Absolver,68.56%,"108,540",47,"18,921",473690
48,Tyranny,84.52%,"107,272",147,"15,792",362960
49,Pathfinder: Kingmaker - Enhanced Plus Edition,77.24%,"107,172","2,623","22,643",640820
50,Source Filmmaker,91.33%,"106,628","1,279","3,975",1840
51,Neverwinter,76.57%,"105,431","2,076","14,866",109600
52,Sword Art Online: Hollow Realization Deluxe Edition,79.04%,"105,291",49,"3,254",607890
53,SpellForce 3,72.41%,"102,877",140,"8,932",311290
54,The Sims™ 4,87.95%,"100,969","9,743","25,403",1222670
55,DRAGON BALL XENOVERSE,86.44%,"97,809",53,"22,850",323470
56,Bless Unleashed,51.88%,"96,298","25,597","76,342",1254120
57,DARK SOULS™: REMASTERED,86.11%,"95,652","2,624","24,501",570940
58,Torchlight II,91.67%,"93,820",347,"54,821",200710
59,Mass Effect™ Legendary Edition,89.46%,"92,897","6,156","59,817",1328670
60,NARUTO TO BORUTO: SHINOBI STRIKER,83.04%,"91,393","1,404","6,310",633230
61,The Sims™ 3,84.08%,"91,359","2,182","10,505",47890
62,FINAL FANTASY XIV Online,86.85%,"90,586","52,667","67,148",39210
63,Youtubers Life,74.79%,"90,009",94,"7,553",428690
64,SCARLET NEXUS,83.32%,"86,427",368,"14,516",775500
65,Saints Row IV,89.37%,"79,270",322,"42,270",206420
66,Wasteland 3,80.53%,"78,362",644,"24,555",719040
67,Exanima,79.90%,"78,046",104,838,362490
68,Age of Wonders: Planetfall,77.82%,"76,367",522,"10,462",718850
69,Geometry Dash,92.77%,"75,913","8,848","13,491",322170
70,The Technomancer,67.77%,"74,178",7,"2,366",338390
71,Fable Anniversary,81.50%,"73,457",166,"6,186",288470
72,GOD EATER 2 Rage Burst,75.74%,"73,068",22,"1,491",438490
73,AI＊Shoujo/AI＊少女,74.01%,"72,519",60,599,1250650
74,Lost Ark,91.03%,"72,264",0,"15,774",1599340
75,Last Epoch,84.68%,"71,981",981,"7,273",899770
76,Totally Accurate Battlegrounds,85.49%,"71,707","1,136","29,438",823130
78,The Lord of the Rings Online™,79.14%,"70,712",946,"3,965",212500
79,Nioh 2 – The Complete Edition,83.54%,"70,527","1,553","41,325",1325200
80,Secrets of Grindea,88.49%,"70,309",43,435,269770
81,The Ascent,75.74%,"69,539","3,146","14,013",979690
82,Gloria Victis: Medieval MMORPG,69.59%,"68,188",411,"1,481",327070
83,Saints Row: The Third,94.33%,"67,941",339,"34,371",55230
84,The Elder Scrolls IV: Oblivion® Game of the Year Edition,93.63%,"67,007","1,685","6,390",22330
85,SOULCALIBUR VI,79.34%,"64,911",475,"14,684",544750
86,Solasta: Crown of the Magister,87.93%,"63,680",719,"8,291",1096530
87,LIGHTNING RETURNS™: FINAL FANTASY® XIII,77.39%,"62,637",60,"2,503",345350
88,Farm Together,91.62%,"62,501",686,"3,671",673950
89,Phantasy Star Online 2 New Genesis,74.58%,"62,085","3,636","59,558",1056640
90,Phantom Doctrine,72.98%,"60,936",54,"2,658",559100
91,Sands of Salzaar,85.58%,"60,675",78,"21,047",1094520
92,Battle Brothers,85.84%,"59,292","1,158","8,060",365360
93,コイカツ！ / Koikatsu Party,89.76%,"58,935",192,367,1073440
94,GrandChase,55.07%,"58,440","12,550","79,883",985810
95,The Survivalists,68.56%,"58,084",79,"3,563",897450
96,APB Reloaded,63.15%,"56,954",282,"11,813",113400
97,Need for Speed™ Heat,80.81%,"56,558","2,171","9,603",1222680
98,Wildermyth,92.25%,"56,342","1,162","8,106",763890
99,Star Trek Online,76.87%,"56,129","1,417","7,910",9900
