,Name,Rating,Followers,Online,Peak,id
0,Enter the Gungeon,94.47%,"147,633","1,083","15,792",311690
1,HELLDIVERS™ Dive Harder Edition,89.61%,"115,384",174,"6,744",394510
2,The Ascent,75.74%,"69,539","2,885","14,013",979690
3,RUINER,87.70%,"69,233",16,918,464060
4,Darksiders Genesis,82.54%,"57,934",383,"6,433",710920
5,Nuclear Throne,93.67%,"52,555",176,"1,213",242680
6,Bastion,93.77%,"45,859",43,"4,186",107100
7,Hatred,77.68%,"36,831",32,"3,085",341940
8,永远消失的幻想乡 ～ The Disappearing of Gensokyo,82.40%,"35,894",4,934,776490
9,Killsquad,66.21%,"31,043",20,"2,784",910490
10,Nex Machina,84.21%,"23,903",2,326,404540
11,Nine Parchments,74.91%,"23,371",22,594,471550
12,SYNTHETIK: Legion Rising,91.90%,"22,109",552,"3,458",528230
13,Relic Hunters Zero: Remix,91.00%,"18,816",5,"3,777",382490
15,BDSM: Big Drunk Satanic Massacre,85.03%,"15,791",1,78,669950
16,X-Morph: Defense,87.88%,"15,685",21,918,408410
17,Brigador: Up-Armored Edition,91.61%,"15,645",40,616,274500
18,Juicy Realm,85.14%,"14,243",4,"1,944",732370
19,Dragonia,81.93%,"13,130",3,"1,118",635730
20,LARA CROFT AND THE TEMPLE OF OSIRIS™,64.18%,"12,958",14,"3,438",289690
21,Halo: Spartan Assault,77.55%,"12,142",3,680,277430
22,VERSUS SQUAD,75.09%,"12,067",4,500,471330
23,Redeemer: Enhanced Edition,81.56%,"11,654",5,802,447290
24,God's Trigger,71.67%,"11,108",4,178,488730
25,Livelock,76.02%,"10,981",1,229,251230
26,CRYPTARK,80.20%,"10,783",1,108,344740
27,Full Mojo Rampage,80.38%,"10,643",1,465,225280
28,NeuroVoider,73.71%,"10,508",2,205,400450
29,Rogue Stormers,66.86%,"10,118",1,533,299480
30,Assault Android Cactus+,89.50%,"9,735",3,238,250110
31,The Hong Kong Massacre,73.03%,"9,691",1,263,741510
33,Lara Croft and the Guardian of Light,87.83%,"8,878",16,877,35130
34,West of Dead,73.41%,"8,502",2,224,1016790
35,Geometry Wars™ 3: Dimensions Evolved,85.15%,"8,436",6,397,310790
36,Beat Hazard,91.76%,"8,370",2,"4,123",49600
37,Beat Hazard 2,83.45%,"8,148",12,439,618740
38,Yet Another Zombie Defense HD,79.69%,"8,124",1,257,674750
40,Secret Ponchos,68.58%,"7,636",0,"1,365",265750
41,Tesla vs Lovecraft,85.15%,"7,559",5,241,636100
42,Tower 57,62.32%,"7,472",2,171,530950
43,Atomicrops,88.49%,"7,086",96,563,757320
44,Lovecraft's Untold Stories,75.64%,"6,997",22,123,871420
45,Blazing Beaks,82.67%,"6,698",26,321,585710
46,Nation Red,84.66%,"6,431",2,"6,850",39800
47,Solstice Chronicles: MIA,70.15%,"6,096",0,101,528160
49,POSTAL Redux,87.04%,"5,888",10,628,401680
50,Halo: Spartan Strike,77.20%,"5,883",6,117,324570
51,Project Amalthea: Battlegrounds,62.61%,"5,723",0,61,715810
52,"RIVE: Wreck, Hack, Die, Retry!",80.86%,"5,205",0,258,278100
53,Shakedown: Hawaii,83.04%,"5,122",5,68,598730
54,Crimsonland,87.85%,"5,103",22,479,262830
55,Overture,74.39%,"5,085",0,"1,546",343100
56,Neon Chrome,87.26%,"4,942",1,313,428750
57,Leap of Fate,82.98%,"4,905",1,155,363420
58,ROUNDS,90.85%,"4,826",262,619,1557740
59,ZAP Master,50.90%,"4,732",0,5,679860
60,Veterans Online - Open Beta,61.46%,"4,533",0,202,492840
61,Nelo,68.57%,"4,465",0,17,537000
62,Kill to Collect,65.60%,"4,386",0,66,241760
63,Hyper Jam,85.25%,"4,293",6,139,556050
64,It came from space and ate our brains,77.32%,"4,267",0,190,342620
65,ANNIE:Last Hope,86.56%,"4,249",0,76,1174390
66,Monolith,93.03%,"4,109",12,133,603960
67,BATTLECREW™ Space Pirates,52.87%,"4,000",0,153,411480
68,POSTAL,81.94%,"3,976",9,"412,063",232770
