,Name,Rating,Followers,Online,Peak,id
0,Battlerite,83.09%,"526,206",340,"45,145",504370
1,Among Us,92.14%,"273,036","10,230","447,476",945360
2,Minion Masters,90.06%,"265,476",842,"10,329",489520
3,Prison Architect,89.34%,"193,132","1,306","16,211",233450
4,Wolcen: Lords of Mayhem,55.62%,"192,095",853,"127,542",424370
5,Don't Starve,95.30%,"165,845","1,164","16,796",219740
6,Enter the Gungeon,94.47%,"147,633","1,092","15,792",311690
7,Temtem,85.88%,"139,665",952,"39,572",745920
8,Foxhole,80.39%,"133,390","3,056","5,709",505460
9,HELLDIVERS™ Dive Harder Edition,89.61%,"115,384",198,"6,744",394510
10,The Escapists,87.80%,"108,395",57,"3,354",298630
11,Hyper Light Drifter,91.37%,"105,909",44,"4,954",257850
12,Tropico 6,84.92%,"102,866",937,"15,294",492720
13,RUNNING WITH RIFLES,85.64%,"92,471",127,"14,149",270150
14,Project Winter,82.04%,"90,175",192,"38,794",774861
15,Alien Swarm,92.47%,"86,518",71,"60,467",630
16,Moonlighter,81.21%,"86,073",92,"6,229",606150
17,SUNLESS SEA,81.18%,"79,476",66,"4,049",304650
18,Darkwood,91.95%,"79,010",87,"1,051",274520
19,Hotline Miami 2: Wrong Number,91.21%,"74,917",261,"18,950",274170
20,Crypt of the NecroDancer,93.79%,"74,562",140,"2,282",247080
21,Last Epoch,84.68%,"71,981",968,"7,273",899770
22,Secrets of Grindea,88.49%,"70,309",42,435,269770
23,RUINER,87.70%,"69,233",26,918,464060
24,Unheard,94.44%,"64,204",50,"7,754",942970
25,Solasta: Crown of the Magister,87.93%,"63,680",727,"8,291",1096530
26,Titan Quest Anniversary Edition,89.37%,"61,234",802,"11,043",475150
27,Gauntlet™ Slayer Edition,78.33%,"60,099",63,"12,730",258970
28,The Survivalists,68.56%,"58,084",87,"3,563",897450
29,Darksiders Genesis,82.54%,"57,934",455,"6,433",710920
30,Satellite Reign,69.13%,"55,047",20,"7,251",268870
31,Eternal Return,81.98%,"54,527","2,287","52,853",1049590
32,Medieval Kingdom Wars,75.38%,"54,339",7,549,499660
33,Door Kickers,91.89%,"52,964",35,"2,041",248610
34,Nuclear Throne,93.67%,"52,555",176,"1,213",242680
35,The Binding of Isaac,93.86%,"51,467",208,"12,575",113200
36,Hero Siege,75.23%,"50,275",481,"4,177",269210
37,Mini Metro,93.84%,"50,113",350,"2,104",287980
38,Call to Arms - Gates of Hell: Ostfront,75.73%,"48,556",583,"2,704",400750
39,Victor Vran ARPG,83.87%,"48,282",20,"2,485",345180
40,ISLANDERS,92.48%,"46,625",164,"1,783",1046030
42,Stronghold: Warlords,60.49%,"43,702",123,"4,434",907650
43,Furi,88.16%,"43,371",47,640,423230
44,Imagine Earth,76.54%,"42,187",22,327,280720
45,Hotline Miami,95.69%,"40,291",131,"6,878",219150
46,SD GUNDAM G GENERATION CROSS RAYS,83.59%,"40,192",234,"10,415",728530
47,Heat Signature,91.32%,"39,955",58,"3,877",268130
48,Ostriv,88.23%,"39,801",127,"1,148",773790
49,Dorfromantik,93.69%,"39,479",659,"7,101",1455840
50,Crashlands,83.93%,"39,125",22,"1,761",391730
51,UnderMine,90.50%,"39,030",576,"3,245",656350
52,Reassembly,90.16%,"38,187",49,"1,010",329130
53,Titan Souls,76.42%,"37,566",65,"4,404",297130
54,Warhammer: Chaosbane,53.50%,"37,532",61,"4,603",774241
55,Party Hard,85.75%,"36,228",35,840,356570
56,DYSMANTLE,89.21%,"35,076",54,"1,457",846770
57,Baba Is You,95.52%,"34,960",274,"1,533",736260
58,Epistory - Typing Chronicles,91.69%,"34,878",9,400,398850
59,Dungeons 2,78.59%,"33,086",45,"11,705",262280
60,Pathway,72.52%,"32,347",9,"1,952",546430
61,Door Kickers 2: Task Force North,93.08%,"32,312",296,784,1239080
63,Killsquad,66.21%,"31,043",26,"2,784",910490
64,Heroes of Hammerwatch,86.56%,"30,956",474,"2,662",677120
65,Super Animal Royale,92.58%,"29,258",824,"6,547",843380
66,Survivalist,77.44%,"28,930",6,592,340050
67,Sunless Skies: Sovereign Edition,82.15%,"28,919",76,"2,344",596970
68,Seven: Enhanced Edition,75.08%,"28,883",3,443,471010
69,Battlerite Royale,71.50%,"28,724",46,"9,441",879160
70,Wayward,81.08%,"28,182",35,140,379210
71,BELOW,68.64%,"26,896",3,765,250680
72,Dreamscaper,87.31%,"26,298",501,"1,129",1040420
73,First Feudal,72.51%,"25,879",21,135,733460
74,Endless Sky,88.76%,"25,779",97,"3,035",404410
75,The Slormancer,77.07%,"25,558",80,"4,614",1104280
76,Before We Leave,75.38%,"25,230",61,"2,313",1073910
77,Another Brick in The Mall,80.37%,"25,147",34,631,521150
78,Darksburg,66.25%,"25,008",20,"1,287",939100
79,The Swords of Ditto: Mormo's Curse,60.39%,"24,955",5,"1,893",619780
80,Pagan: Absent Gods,51.38%,"24,313",1,"3,030",992640
81,Nex Machina,84.21%,"23,903",6,326,404540
83,Nine Parchments,74.91%,"23,371",31,594,471550
84,Party Hard 2,78.49%,"22,987",14,540,572430
85,Academia : School Simulator,79.99%,"22,962",34,406,672630
87,The Red Solstice,70.43%,"22,226",4,"82,980",265590
88,Rustler,74.06%,"22,222",3,225,844260
89,SYNTHETIK: Legion Rising,91.90%,"22,109",563,"3,458",528230
90,Crown Trick,84.06%,"21,836",33,"6,594",1000010
91,Mini Motorways,91.72%,"21,443","3,967","9,914",1127500
92,Creeper World 4,91.06%,"21,246",412,"3,828",848480
94,Cartel Tycoon,74.91%,"20,363",109,"1,599",1220140
95,Frozen State,62.71%,"20,260",0,120,270270
96,Subterrain,74.96%,"20,209",5,567,340490
97,Grand Theft Auto 2,84.90%,"19,798",0,73,12180
98,KARDS - The WWII Card Game,82.47%,"19,662",565,"2,918",544810
99,Hammerwatch,87.00%,"19,516",20,"3,253",239070
