,Name,Rating,Followers,Online,Peak,id
0,EVERSPACE™,77.75%,"122,244",93,"1,448",396750
1,PULSAR: Lost Colony,88.22%,"103,708",148,"1,205",252870
2,EVERSPACE™ 2,87.32%,"81,519",275,"3,072",1128920
3,河洛群俠傳 (Ho Tu Lo Shu ： The Books of Dragon),77.50%,"33,732",91,"1,877",952860
4,The Pirate: Caribbean Hunt,78.62%,"25,423",48,"1,968",512470
5,Hired Ops,62.22%,"22,846",133,"1,835",374280
6,Aquanox Deep Descent,49.42%,"21,927",1,"1,248",254370
8,Evochron Legacy SE,76.02%,"14,603",2,198,398170
9,Overload,89.40%,"13,661",11,276,448850
10,VTOL VR,92.91%,"11,920",88,217,667970
11,DRONE The Game,78.49%,"10,621",1,551,987020
12,Strike Vector EX,80.76%,"10,074",0,132,476360
13,Strike Vector,65.65%,"9,068",0,686,246700
14,Mirage,65.20%,"8,641",3,29,1245780
15,The Orville - Interactive Fan Experience,85.36%,"7,236",3,61,1096200
16,Detached,60.06%,"6,740",1,32,436230
17,Sublevel Zero Redux,82.70%,"6,714",0,144,327880
19,War Tech Fighters,73.89%,"6,167",2,82,630030
20,Gorilla Tag,93.50%,"5,225",225,534,1533390
21,Spice&Wolf VR2,89.04%,"4,823",0,34,1348700
22,Wanted Raccoon,74.91%,"4,818",0,135,1320100
23,Overload Playable Teaser 3.0,88.18%,"4,315",0,74,450220
24,Polynomial 2 - Universe of the Music,76.56%,"4,169",0,8,379420
25,Deep Space Battle Simulator,81.86%,"3,852",0,35,1055610
26,Shattered Horizon,79.91%,"3,220",0,"1,141",18110
27,Into the Void,59.51%,"3,201",1,96,420270
28,Laid-Back Camp - Virtual - Lake Motosu,70.92%,"3,169",1,82,1514360
29,End Space,65.25%,"2,978",0,13,753900
30,Panoptic,87.02%,"2,765",4,25,541930
31,Disputed Space,61.03%,"2,729",0,5,637410
32,Live the Life,61.11%,"2,716",3,79,1373220
33,Trapped Guys,70.48%,"2,518",0,21,1402000
34,Descent,88.56%,"2,454",5,56,273570
35,First Person Tennis - The Real Tennis Simulator VR,82.09%,"2,389",0,15,454140
36,Descent 2,82.61%,"2,068",2,14,273580
37,Sea Dogs,67.81%,"2,017",1,13,764670
38,NeonXSZ,72.86%,"1,741",0,53,296010
39,Angry Birds VR: Isle of Pigs,82.91%,"1,700",2,49,1001140
40,Forsaken Remastered,79.96%,"1,699",0,36,668980
42,Laid-Back Camp - Virtual - Fumoto Campsite,79.14%,"1,587",0,18,1514370
43,ASTROKILL,62.71%,"1,509",0,8,376880
44,Lugaru HD,73.63%,"1,415",0,12,25010
45,Crisis VRigade 2,77.45%,"1,384",2,21,1066180
46,ALTDEUS: Beyond Chronos,86.38%,"1,267",2,43,1502080
47,Holodance,79.79%,"1,253",0,18,422860
48,Ayahuasca,76.68%,"1,235",0,11,1212940
49,Evasion,66.34%,"1,180",1,16,683000
50,Ghost Stories 2,71.87%,"1,164",0,6,1423270
51,Walkabout Mini Golf VR,89.54%,"1,160",26,114,1408230
52,Geocore,59.40%,"1,105",0,"1,577",355190
53,Disassembly VR,58.13%,"1,096",0,20,973700
54,Bloody Raid,69.58%,"1,087",1,45,1529110
55,Space Mercs,68.94%,"1,040",0,11,1088600
58,RUCKBALL,63.49%,994,0,40,645230
61,The Great C,82.29%,924,0,14,841460
62,Sea Dogs: City of Abandoned Ships,70.84%,916,7,32,937940
63,Somewhere on Zibylon,60.74%,903,0,42,631920
64,Kromaia,69.76%,880,0,68,285980
65,All-In-One Sports VR,67.13%,868,5,30,1514840
66,Hypergate,77.67%,862,1,5,809530
67,Pixelpunk XL,66.60%,860,0,5,803850
68,Descent 3,64.46%,848,0,10,273590
69,Maskmaker,83.41%,817,4,24,1337530
70,SYNTHSPACE,73.27%,809,0,12,1355640
71,AquaNox 2: Revelation,69.39%,775,0,38,39640
72,Thick Air,47.41%,708,0,5,525350
73,Destructive Physics - Destruction Simulator,76.36%,683,1,9,1024460
74,The Island,54.84%,677,7,10,1377590
75,Naturallandscape - GuilinLandscape (自然景观系列-桂林山水),47.22%,672,0,2,788720
76,AquaNox,67.90%,651,0,27,39630
77,Clash of Chefs VR,71.95%,648,2,20,960040
78,Detached: Non-VR Edition,67.20%,641,0,5,848410
79,Miner Wars 2081,37.05%,627,0,291,223430
80,Driver4VR,65.38%,617,7,17,1366950
81,Citor3 Hallucinations VR Adult XXX Game,60.90%,612,0,8,1548600
82,Retrovirus,68.88%,593,0,517,227800
83,Gloomy Eyes,78.24%,532,0,5,1111620
84,Eye of the Temple,-,531,0,1,589940
85,AI Drone Simulator,85.56%,527,5,64,1608560
86,The Farmthis Gallery,54.48%,508,1,8,1541420
87,Meditation VR,65.69%,499,2,11,1301850
88,FUCK OR DIE,42.82%,490,0,5,1424840
89,Terminal Velocity,76.03%,486,0,7,358370
90,Thrust & Shoot : Flight School,67.93%,475,0,3,663100
91,PAPER FIRE ROOKIE (Formerly Paperville Panic),66.24%,458,0,6,698790
92,DeepStates [VR],82.22%,457,0,6,1619350
93,Noda,76.25%,443,1,7,578060
94,MOON BASE,56.49%,439,0,18,1506410
95,Solar Warden,-,435,0,4,690800
96,心境 VR / Mind VR Exploration,75.46%,425,0,5,1383450
97,Sex Simulator,68.81%,424,1,7,1111810
98,Interregnum Chronicles: Signal,51.71%,417,0,17,1640710
99,Cook-Out,82.10%,417,6,42,1523720
