,Name,Rating,Followers,Online,Peak,id
0,NieR:Automata™,81.83%,"449,074",729,"23,908",524220
1,Undertale,95.23%,"307,354",817,"10,484",391540
2,Cuphead,94.74%,"255,988",868,"19,026",268910
3,Risk of Rain 2,95.19%,"248,653","6,203","71,548",632360
4,Enter the Gungeon,94.47%,"147,633","1,067","15,792",311690
5,NieR Replicant™ ver.1.22474487139...,83.86%,"108,420",487,"28,684",1113560
6,Nuclear Throne,93.67%,"52,555",178,"1,213",242680
7,The Binding of Isaac,93.86%,"51,467",202,"12,575",113200
8,Rabi-Ribi,94.29%,"50,546",28,693,400910
9,Hero Siege,75.23%,"50,275",422,"4,177",269210
10,Neon Abyss,85.38%,"48,313",316,"5,141",788100
11,Touhou Luna Nights,94.90%,"45,566",28,"1,368",851100
12,Furi,88.16%,"43,371",43,640,423230
13,Realm of the Mad God Exalt,83.13%,"38,390","2,232","10,051",200210
14,Reassembly,90.16%,"38,187",47,"1,010",329130
15,永远消失的幻想乡 ～ The Disappearing of Gensokyo,82.40%,"35,894",5,934,776490
16,Killsquad,66.21%,"31,043",19,"2,784",910490
17,Heroes of Hammerwatch,86.56%,"30,956",457,"2,662",677120
18,One Step From Eden,90.76%,"30,293",76,"2,360",960690
19,Relic Hunters Legend,-,"26,357",0,29,633080
20,Just Shapes & Beats,95.12%,"24,535",193,966,531510
21,Nex Machina,84.21%,"23,903",7,326,404540
22,Gensokyo Night Festival,86.08%,"23,090",3,"1,333",1122050
23,Dungreed,88.79%,"23,042",170,"3,332",753420
24,Touhou Tenkuushou ~ Hidden Star in Four Seasons.,94.82%,"22,749",4,649,745880
25,SYNTHETIK: Legion Rising,91.90%,"22,109",559,"3,458",528230
26,ScourgeBringer,87.06%,"20,567",15,380,1037020
27,Never Split the Party,73.85%,"18,371",36,782,711810
28,Devil Daggers,92.27%,"17,817",29,358,422970
29,Dungeon Souls,72.32%,"17,221",2,327,383230
30,Full Metal Furies,87.66%,"17,011",20,587,416600
31,東方憑依華　～ Antinomy of Common Flowers.,86.02%,"16,260",3,"1,463",716710
32,FORCED SHOWDOWN,79.88%,"16,162",0,427,265000
33,Dungeon Munchies,93.90%,"15,618",2,447,799640
34,DEEP SPACE WAIFU,93.30%,"15,617",3,268,639790
35,MOTHERGUNSHIP,75.37%,"14,991",17,611,574090
36,Ikaruga,90.40%,"13,861",4,335,253750
37,TheDawn,89.72%,"13,638",5,221,1475380
38,Wings of Vi,77.28%,"13,208",2,279,318530
39,Dragonia,81.93%,"13,130",3,"1,118",635730
40,Touhou Big Big Battle,78.26%,"12,915",7,954,878380
41,Nova Drift,94.24%,"11,749",194,963,858210
42,CRYPTARK,80.20%,"10,783",1,108,344740
43,Survived By,60.21%,"10,710",0,"3,454",606140
44,Full Mojo Rampage,80.38%,"10,643",1,465,225280
45,Touhou: Scarlet Curiosity | 東方紅輝心,87.58%,"10,610",2,164,845880
46,NeuroVoider,73.71%,"10,508",2,205,400450
47,Astebreed: Definitive Edition,84.42%,"10,142",1,133,283680
48,The Bug Butcher,85.55%,"10,119",0,139,350740
49,Assault Android Cactus+,89.50%,"9,735",5,238,250110
51,Pistol Whip,89.04%,"9,319",111,213,1079800
52,Outland,78.51%,"9,248",2,"16,166",305050
53,Steambirds Alliance,72.68%,"9,183",0,"1,460",386010
54,Exit the Gungeon,76.62%,"9,160",15,923,1209490
55,The Last Federation,71.33%,"8,748",2,650,273070
56,Everhood,92.08%,"8,711",101,819,1229380
57,Super Time Force Ultra,84.71%,"8,575",0,476,250700
58,Geometry Wars™ 3: Dimensions Evolved,85.15%,"8,436",5,397,310790
59,Beat Hazard,91.76%,"8,370",3,"4,123",49600
60,LIBERATED,73.27%,"8,244",1,55,875310
61,Beat Hazard 2,83.45%,"8,148",11,439,618740
62,LUFTRAUSERS,87.76%,"7,821",8,605,233150
63,Princess Remedy in a World of Hurt,93.29%,"7,199",1,177,407900
65,Atomicrops,88.49%,"7,086",90,563,757320
66,Mushihimesama,91.19%,"6,971",4,357,377860
67,DARIUSBURST Chronicle Saviours,79.90%,"6,920",4,498,377870
68,Blazing Beaks,82.67%,"6,698",32,321,585710
69,Kelipot,81.19%,"6,476",3,442,1090440
70,Steredenn,82.66%,"6,389",3,242,347160
71,Zula Türkiye,41.86%,"6,328",147,"3,041",714210
72,BossConstructor,71.63%,"6,170",0,118,330100
73,Deathstate: Abyssal Edition,78.70%,"6,072",0,144,402120
74,Touhou Blooming Chaos 2,91.24%,"5,990",23,530,1260810
75,Unlucky Seven,50.00%,"5,958",0,39,579120
76,Hentai Girl Division,78.72%,"5,934",1,371,1113680
77,DoDonPachi Resurrection,89.23%,"5,933",3,328,464450
78,ASTRO: The Beginning,40.40%,"5,906",0,2,1082200
79,Bit Blaster XL,93.42%,"5,823",3,269,433950
80,Sky Force Reloaded,88.40%,"5,614",31,330,667600
81,Struggle Offensive,63.79%,"5,609",0,22,1403280
82,東方幕華祭 TouHou Makuka Sai ~ Fantastic Danmaku Festival,91.41%,"5,500",2,87,882710
83,Deathsmiles,89.70%,"5,425",1,191,314180
84,Nemesis: Race Against The Pandemic,43.47%,"5,351",0,3,1497180
85,Magicmaker,84.55%,"5,313",0,332,319250
86,Touhou Kikeijuu ~ Wily Beast and Weakest Creature.,91.24%,"5,238",6,387,1079160
87,"RIVE: Wreck, Hack, Die, Retry!",80.86%,"5,205",1,258,278100
88,Overture,74.39%,"5,085",1,"1,546",343100
89,"Warhammer 40,000: Dakka Squadron - Flyboyz Edition",75.74%,"5,029",0,107,1253190
90,Tower of Guns,77.17%,"5,004",2,364,266110
91,StarBreak,74.63%,"4,989",35,810,420790
92,COCKHEAD,64.19%,"4,926",1,281,1172050
93,Guardians of the Ashes,72.34%,"4,878",0,180,1195020
94,"Get To Work, Succubus-Chan!",74.11%,"4,752",0,33,1104340
95,ZAP Master,50.90%,"4,732",0,5,679860
96,Bot Vice,89.09%,"4,692",0,47,491040
97,Deep Space Waifu: FANTASY,90.34%,"4,685",0,373,859680
98,Sky Force Anniversary,87.63%,"4,593",6,223,355050
99,Drunken Robot Pornography,79.16%,"4,564",0,86,209060
