,Name,Rating,Followers,Online,Peak,id
0,PUBG: BATTLEGROUNDS,54.52%,"2,847,944","100,802","3,257,248",578080
1,ARK: Survival Evolved,79.77%,"1,249,512","47,181","157,400",346110
2,Rust,85.93%,"856,565","107,134","245,243",252490
3,Mount & Blade II: Bannerlord,86.17%,"737,748","13,048","248,216",261550
4,Wallpaper Engine,96.92%,"672,048","30,635","66,512",431960
5,The Forest,93.84%,"625,035","6,252","64,879",242760
6,Killing Floor 2,86.81%,"617,961","2,650","69,987",232090
7,Subnautica,94.91%,"546,416","2,438","51,156",264710
8,Battlerite,83.09%,"526,206",383,"45,145",504370
9,Z1 Battle Royale,55.26%,"517,234",95,"151,239",433850
10,Squad,86.61%,"497,710","5,637","15,338",393380
11,DayZ,67.69%,"477,791","26,198","45,878",221100
12,The Long Dark,89.86%,"460,431","1,323","14,433",305620
13,Raft,91.48%,"452,909","5,857","42,288",648800
14,Ring of Elysium,73.97%,"424,290",877,"63,435",755790
15,7 Days to Die,86.21%,"385,713","19,143","47,025",251570
16,Just Survive,58.66%,"362,602",1,"40,335",295110
17,Valheim,94.77%,"361,047","22,161","502,387",892970
18,Baldur's Gate 3,86.61%,"353,419","2,279","73,980",1086940
19,Paladins®,85.03%,"331,872","10,440","60,743",444090
20,Stranded Deep,75.03%,"331,496",544,"6,036",313120
21,Oxygen Not Included,94.72%,"330,996","7,776","27,486",457140
22,Northgard,86.40%,"301,336","2,265","15,592",466560
23,Space Engineers,87.12%,"301,241","7,905","23,888",244850
24,SCUM,72.18%,"294,185","10,338","68,322",513710
25,Scrap Mechanic,90.83%,"289,374","2,814","46,643",387990
26,Heroes & Generals,67.21%,"287,451","1,744","21,026",227940
27,Dead Cells,95.35%,"285,472","1,482","13,802",588650
28,Black Squad,75.99%,"260,757","1,199","15,939",550650
29,They Are Billions,83.54%,"255,231","1,987","22,395",644930
30,BeamNG.drive,94.90%,"250,756","7,110","13,572",284160
31,Risk of Rain 2,95.19%,"248,653","6,116","71,548",632360
32,Satisfactory,95.42%,"245,421","8,300","32,831",526870
33,Empyrion - Galactic Survival,79.42%,"245,220","2,938","8,829",383120
34,Hurtworld,75.07%,"243,334",287,"13,333",393420
35,GTFO,86.64%,"236,110",514,"5,247",493520
36,Black Mesa,94.09%,"236,029",870,"7,158",362890
37,Slime Rancher,96.08%,"221,645","1,849","6,452",433340
38,Osiris: New Dawn,59.94%,"217,665",143,"4,773",402710
39,Phasmophobia,96.21%,"216,528","16,124","112,717",739630
40,Subnautica: Below Zero,89.94%,"216,187","1,704","42,115",848450
41,KurtzPel,62.65%,"214,588",389,"11,937",844870
42,Plague Inc: Evolved,92.56%,"210,944",425,"17,889",246620
43,Miscreated,66.36%,"206,747",207,"5,159",299740
44,Kenshi,92.95%,"204,091","2,974","10,579",233860
45,Hell Let Loose,81.18%,"196,146","7,042","14,190",686810
46,Wolcen: Lords of Mayhem,55.62%,"192,095",899,"127,542",424370
47,Grounded,84.80%,"186,347","2,212","32,012",962130
48,The Universim,79.80%,"185,851",99,"2,825",352720
49,Project Zomboid,88.24%,"185,227","5,709","7,191",108600
50,Eco,80.20%,"183,837","1,424","6,964",382310
51,Dyson Sphere Program,95.90%,"182,895","5,149","59,815",1366540
52,Subverse,80.55%,"174,461",56,"25,318",1034140
53,鬼谷八荒,86.35%,"170,182","1,420","184,171",1468810
54,Foundation,83.89%,"169,502",554,"4,088",690830
55,Medieval Dynasty,89.44%,"169,428","2,151","18,738",1129580
56,Portal Knights,81.02%,"168,215",197,"6,545",374040
57,We Happy Few,73.40%,"168,153",124,"3,498",320240
58,ATLAS,46.77%,"166,019","1,275","58,939",834910
59,Robocraft,71.96%,"160,068",319,"26,725",301520
60,The Wild Eight,69.82%,"159,714",296,"1,707",526160
61,Universe Sandbox,93.16%,"153,252",332,646,230290
62,Dark and Light,54.24%,"151,382",239,"14,089",529180
63,Craftopia,78.93%,"149,269",435,"27,246",1307550
64,The Isle,81.26%,"148,944","4,494","11,973",376210
65,太吾绘卷 The Scroll Of Taiwu,80.33%,"146,037",294,"72,533",838350
66,Temtem,85.88%,"139,665",980,"39,572",745920
67,LEGO® Worlds,75.78%,"139,002",322,"4,911",332310
68,RWBY: Grimm Eclipse,79.97%,"136,592",5,"3,298",418340
69,VRChat,89.47%,"135,546","16,415","27,732",438100
70,Beat Saber,94.42%,"135,326","1,420","4,472",620980
71,World War 3,60.72%,"135,083",36,"11,108",674020
72,Foxhole,80.39%,"133,390","3,117","5,709",505460
73,Bright Memory,89.92%,"130,715",13,"1,907",955050
74,Stonehearth,74.58%,"130,698",194,"1,851",253250
75,Blackwake,81.10%,"129,831",109,"6,159",420290
