,Name,Rating,Followers,Online,Peak,id
0,Counter-Strike: Global Offensive,87.73%,"2,944,662","409,872","1,308,963",730
1,Dota 2,83.55%,"1,887,003","340,119","1,295,114",570
2,Battlerite,83.09%,"526,206",318,"45,145",504370
3,Counter-Strike: Source,94.77%,"435,159","3,151","100,056",240
4,SMITE®,79.66%,"230,829","16,857","31,169",386360
5,Counter-Strike,96.24%,"180,360","8,560","319,586",10
6,TEKKEN 7,81.66%,"166,853","3,497","18,966",389730
7,DRAGON BALL FighterZ,88.11%,"166,488","3,464","44,303",678950
8,Artifact,46.90%,"152,783",18,"60,646",583950
9,Brawlhalla,83.87%,"139,643","21,862","34,816",291550
10,Street Fighter V,61.72%,"105,435","2,109","14,783",310950
11,Aim Lab,93.64%,"79,055","4,558","10,381",714010
12,Assetto Corsa Competizione,87.72%,"68,542","1,493","6,926",805550
13,Quake Champions,71.30%,"59,232",648,"17,476",611500
14,EA SPORTS™ FIFA 21,73.38%,"55,258","20,924","44,388",1313860
15,NBA 2K19,39.68%,"47,316",224,"29,202",841370
16,NBA 2K21,40.74%,"39,607","6,253","31,826",1225330
17,Onward,72.12%,"38,099",102,423,496240
18,Splitgate (Beta),88.93%,"35,502","48,722","67,724",677620
19,BlazBlue Centralfiction,89.33%,"32,701",150,"1,031",586140
20,Aim Hero,83.38%,"31,085",23,524,518030
21,Due Process,80.02%,"30,473",76,"1,608",753650
22,eFootball PES 2021 SEASON UPDATE,72.16%,"29,159","10,970","20,674",1259970
23,GUILTY GEAR Xrd -REVELATOR-,90.13%,"28,911",154,"1,614",520440
24,iRacing,83.00%,"28,497",75,612,266410
25,Quake Live™,83.63%,"28,369",352,"6,154",282440
26,Freestyle 2: Street Basketball,71.78%,"27,569",289,"10,356",339610
27,BlazBlue: Chronophantasma Extend,87.49%,"26,047",16,"1,107",388750
28,Free to Play,92.36%,"25,356",0,"53,002",245550
29,Lethal League,90.89%,"25,130",4,"1,929",261180
30,Ultra Street Fighter® IV,86.76%,"23,936",185,"5,547",45760
31,GUILTY GEAR Xrd -SIGN-,87.24%,"23,073",3,"1,971",376300
32,F1® 2021,81.56%,"22,704","6,787","24,513",1134570
33,Easy™ eSports,78.64%,"20,295",21,"1,724",282660
34,BlazBlue: Cross Tag Battle,76.96%,"19,897",220,"2,990",702890
35,Lethal League Blaze,93.00%,"19,830",74,"2,673",553310
36,Heavy Metal Machines,72.07%,"18,919",12,442,331360
37,Eximius: Seize the Frontline,70.62%,"17,363",1,318,505740
38,Melty Blood Actress Again Current Code,87.65%,"17,247",47,"2,068",411370
39,BREAK ARTS II,71.18%,"16,115",3,464,547360
40,THE DAY Online,57.00%,"15,290",0,420,795580
41,Quantum League,72.55%,"14,125",1,547,651150
42,ESEA,71.22%,"13,903",441,"1,563",479130
43,UNDER NIGHT IN-BIRTH Exe:Late[cl-r],90.03%,"13,647",154,"1,377",801630
44,TrackMania² Stadium,85.67%,"13,562",131,"3,597",232910
45,Prime World,56.66%,"13,459",5,"2,912",235340
46,WRC 8 FIA World Rally Championship,69.44%,"12,065",26,498,1004750
47,Teamfight Manager,82.58%,"11,495",79,"8,092",1372810
48,Quake III Arena,91.07%,"11,466",28,113,2200
50,DRONE The Game,78.49%,"10,621",1,551,987020
51,Nidhogg 2,77.37%,"10,553",7,327,535520
52,Supraball,75.50%,"10,535",1,"3,329",321400
53,UNDER NIGHT IN-BIRTH Exe:Late,86.12%,"10,482",3,621,452510
54,Dropzone,66.85%,"9,841",0,"1,357",572520
55,GUILTY GEAR XX ACCENT CORE PLUS R,92.56%,"9,255",179,"2,383",348550
56,Unreal Tournament 2004: Editor's Choice Edition,93.18%,"9,215",74,504,13230
57,电竞俱乐部/ESports Club,54.29%,"8,763",6,891,656200
58,Torque Drift,64.50%,"8,459",267,"1,264",1029550
59,Aimtastic,90.14%,"8,403",13,230,757240
60,Clash: Mutants Vs Pirates,60.98%,"8,245",0,44,822710
62,Heroes Evolved,53.52%,"8,127",0,309,534820
63,KILL la KILL -IF,68.25%,"7,918",4,181,922500
64,Muffled Warfare - Echolocation Shooter,76.05%,"7,540",0,23,545180
65,Krunker,76.39%,"7,503",524,"2,255",1408720
