,Name,Rating,Followers,Online,Peak,id
0,ARK: Survival Evolved,79.77%,"1,249,710","62,402","157,400",346110
1,Total War: WARHAMMER II,92.12%,"379,953","27,305","84,920",594570
2,Jurassic World Evolution,84.09%,"235,095","1,425","60,296",648350
3,Horizon Zero Dawn™ Complete Edition,81.46%,"195,684","3,464","56,557",1151640
4,The Isle,81.27%,"149,049","4,422","11,973",376210
5,PixARK,69.37%,"95,935",711,"14,144",593600
6,ARK: Survival Of The Fittest,61.56%,"68,782",28,"3,929",407530
7,theHunter: Primal,56.26%,"54,763",8,"1,138",322920
8,Kung Fury,95.76%,"41,750",0,417,374570
9,Curious Expedition,87.62%,"39,664",58,"1,038",358130
10,Second Extinction™,71.95%,"37,213",59,"2,056",1024380
12,Primal Carnage,75.08%,"35,824",0,"2,631",215470
13,Primal Carnage: Extinction,78.36%,"33,993",119,874,321360
14,ORION: Prelude,73.90%,"33,363",8,"7,944",104900
15,LEGO® Jurassic World,86.79%,"28,002",270,"3,498",352400
16,Parkasaurus,90.55%,"26,621",40,953,591460
17,CardLife: Creative Survival,60.89%,"21,904",14,444,920690
18,Saurian,61.52%,"21,774",9,609,587450
19,Guardians of Orion (Phase 1),54.10%,"20,888",0,691,407840
20,ARK Park,50.00%,"20,329",2,79,529910
21,Beasts of Bermuda,73.88%,"18,115","1,580","3,051",719890
23,Dino D-Day,81.80%,"15,738",3,"4,585",70000
24,Turok,89.95%,"15,669",10,357,405820
25,Curious Expedition 2,83.67%,"15,128",157,"3,043",1040230
26,WAR PARTY,68.02%,"12,615",0,164,777770
27,The Deadly Tower of Monsters,83.82%,"11,401",2,140,353700
28,Turok 2: Seeds of Evil,88.43%,"10,065",16,894,405830
29,Birthdays the Beginning,58.88%,"10,050",9,643,525700
31,Cell to Singularity - Evolution Never Ends,86.43%,"9,280",717,"2,237",977400
32,Super Time Force Ultra,84.71%,"8,576",1,476,250700
33,Mechanic Miner,63.13%,"8,168",0,168,745010
34,Tomb Raider: Anniversary,80.13%,"7,189",72,461,8000
35,Time Machine VR,60.42%,"6,987",0,17,356180
36,Carnivores: Dinosaur Hunter Reborn,69.31%,"6,827",2,130,293520
37,Beast Battle Simulator,81.00%,"5,988",19,147,671620
39,Hazard Ops,62.08%,"5,643",0,"1,578",319150
40,Tomb Raider I,81.21%,"5,306",36,208,224960
41,Hidden Through Time,89.03%,"5,295",20,229,524910
42,Reptiles: In Hunt,50.00%,"5,120",3,25,897380
43,Mesozoica,27.81%,"5,056",1,261,719590
44,Jurassic Park: The Game,64.61%,"4,929",2,371,201830
45,Tyto Ecology,71.59%,"4,430",1,143,453750
46,Island 359™,72.70%,"4,335",0,47,476700
47,Collision Course,71.63%,"4,266",1,20,555400
48,Dinosaur Fossil Hunter: Prologue,75.65%,"4,012",3,243,1339460
49,Dinosaur Hunt,64.79%,"3,876",1,652,401190
50,Robinson: The Journey,52.39%,"3,861",1,34,579820
51,Dinosis Survival,51.77%,"3,775",0,32,613270
52,JumpJet Rex,82.04%,"3,291",0,66,329460
53,The Archotek Project,55.10%,"3,193",0,"1,581",608990
54,Animal Revolt Battle Simulator,92.04%,"3,084",617,756,1215390
55,Double Kick Heroes,77.61%,"3,079",0,41,589670
56,My Singing Monsters,89.40%,"2,922",421,"1,103",1419170
57,DinoSystem,80.51%,"2,856",2,19,373750
58,The Beasts Of 9500,61.01%,"2,795",0,418,1215180
59,Dino Run DX,87.17%,"2,528",1,"1,070",248330
60,Island Saver,91.74%,"2,364",53,755,1210250
62,M.A.R.S.,57.70%,"2,323",43,"3,741",314430
64,Dinosaurs Prehistoric Survivors,62.53%,"1,974",1,9,768540
65,Beacon,77.02%,"1,948",0,18,856610
67,Dinocide,52.27%,"1,855",0,204,423900
68,Evolution Board Game,78.37%,"1,838",7,123,469800
70,There Was A Caveman,66.26%,"1,682",1,48,407290
71,NOKBAK,68.25%,"1,279",0,86,655550
74,Dinosaurs A Prehistoric Adventure,44.67%,"1,155",0,61,751590
75,Fossil Hunters,76.64%,"1,073",0,20,690150
78,Primal Reign,64.83%,"1,017",0,74,636580
80,Oakwood,76.50%,865,0,9,890970
82,Fossilfuel,64.07%,813,1,8,1597040
83,Time Carnage VR,70.88%,810,0,9,554280
84,Wildlife Park Gold Reloaded,33.02%,765,1,10,664120
85,Pangea Survival,60.71%,755,1,23,1204700
86,Zniw Adventure,87.91%,753,0,29,904750
87,Tropicalia,81.00%,725,0,14,1375760
88,"In Case of Emergency, Release Raptor",65.23%,712,0,14,471770
89,DIY MY LADY,64.02%,690,2,8,1563850
90,Iggy's Egg Adventure,80.17%,676,1,49,366040
91,Dino Nest,81.77%,660,3,45,1373930
92,Wildlife Park 2 - Dino World,59.12%,626,1,46,307930
93,Caveman Craig,70.83%,605,0,101,363240
94,Wildlife Park - Wild Creatures,60.55%,596,0,8,337970
95,Prehistoric Hunt,62.90%,550,2,8,752900
96,Dragon VR,66.65%,530,0,19,1486660
99,Gigapocalypse,79.46%,501,0,16,1543240
