,Name,Rating,Followers,Online,Peak,id
0,War Thunder,78.91%,"337,875","33,973","63,406",236390
1,Rising Storm 2: Vietnam,84.30%,"142,082",872,"24,518",418460
2,Workers & Resources: Soviet Republic,88.88%,"81,995","1,304","3,891",784150
3,Phantom Doctrine,72.99%,"60,930",80,"2,658",559100
4,METAL GEAR SOLID V: GROUND ZEROES,80.72%,"60,568",77,"5,810",311340
5,Call of Duty®: Black Ops,88.38%,"58,556",460,"63,343",42700
6,Wargame: Red Dragon,86.93%,"58,455","1,057","4,779",251060
7,Mr. Prepper,80.00%,"57,631",231,"6,911",761830
8,Cold Waters,82.58%,"56,828",175,865,541210
9,Xenonauts,84.83%,"29,613",79,"1,619",223830
10,Cartel Tycoon,74.92%,"20,373",104,"1,599",1220140
11,Wargame: Airland Battle,85.26%,"17,861",47,"4,439",222750
12,Mr. Prepper: Prologue,81.54%,"17,570",28,"1,089",1340530
13,Radio Commander,73.90%,"16,189",3,660,871530
14,Command: Modern Air / Naval Operations WOTY,79.51%,"15,732",15,194,321410
15,Tropico 4,89.13%,"15,361",153,"10,892",57690
17,The Bureau: XCOM Declassified,68.60%,"13,301",15,"7,412",65930
18,First Strike: Classic,81.56%,"10,901",7,159,587000
19,Jazzpunk: Director's Cut,89.14%,"10,608",3,546,250260
20,Stellar Monarch,72.61%,"10,474",6,50,446000
21,Toy Soldiers: Complete,73.14%,"10,015",5,212,262120
22,ARMA: Cold War Assault,75.78%,"9,851",51,"3,017",65790
23,Twilight Struggle,83.25%,"9,592",104,672,406290
24,ICBM,86.86%,"9,590",39,700,1178220
25,Wargame: European Escalation,75.03%,"9,154",20,"3,588",58610
26,Supreme Ruler Ultimate,72.86%,"8,302",95,302,314980
28,Buzz Aldrin's Space Program Manager,73.98%,"7,473",1,461,308270
29,VEGAS Pro 14 Edit Steam Edition,79.61%,"7,220",128,278,528200
31,I Expect You To Die,89.87%,"7,163",13,228,587430
32,Darkest Hour: A Hearts of Iron Game,85.17%,"7,008",120,502,73170
33,Armored Warfare,66.26%,"6,331",290,767,443110
34,All Walls Must Fall - A Tech-Noir Tactics Game,70.32%,"6,316",0,42,628290
35,S.W.I.N.E. HD Remaster,87.65%,"5,961",17,364,944010
36,DEFCON,83.13%,"5,901",21,"3,474",1520
37,Crisis in the Kremlin,80.17%,"5,468",11,"3,095",599750
38,Men of War: Assault Squad 2 - Cold War,26.56%,"4,981",4,488,1135240
41,Steel Armor: Blaze of War,76.94%,"4,315",3,30,286280
42,Men of War: Vietnam,61.85%,"4,096",8,456,63940
43,Armored Brigade,83.54%,"4,070",8,87,1089840
44,Alekhine's Gun,60.78%,"3,889",3,735,406720
45,Tropico 3,84.38%,"3,880",9,"5,784",23490
46,BORIS THE ROCKET,86.02%,"3,848",1,40,1329080
47,Vietnam ‘65,77.07%,"3,699",7,127,336080
49,Precipice,76.57%,"3,308",0,61,951670
50,The Operational Art of War IV,74.89%,"3,303",30,65,792660
51,"Calm Down, Stalin",83.95%,"3,158",2,89,502940
52,Flashpoint Campaigns: Red Storm Player's Edition,81.55%,"3,073",2,92,330720
53,Wild Animal Racing,88.68%,"3,067",4,21,389510
54,Möbius Front '83,69.61%,"2,865",2,250,971160
55,China: Mao's legacy,86.29%,"2,824",58,"2,199",950740
57,Adolescent Santa Claus,80.17%,"2,782",0,24,628730
58,Red Matter,86.92%,"2,674",1,32,966680
59,Interkosmos,81.68%,"2,670",1,183,579110
60,Arms Race - TCWE,64.17%,"2,567",0,7,583590
61,Lock 'n Load Tactical Digital: Core Game,82.75%,"2,446",6,101,1149940
62,Irony Curtain: From Matryoshka with Love,82.12%,"2,401",0,63,866190
63,Super 3-D Noah's Ark,83.53%,"2,373",0,140,371180
64,Freedom Fighters,89.75%,"2,212",5,157,1347780
65,Ostalgie: The Berlin Wall,86.34%,"1,971",7,"2,548",774091
66,Orwell's Animal Farm,71.91%,"1,922",0,30,1398100
68,Frozen Free Fall: Snowball Fight,58.21%,"1,874",4,867,357480
69,Rayman Raving Rabbids™,76.97%,"1,869",5,30,15080
70,Tunguska: The Visitation,71.30%,"1,866",5,23,1601970
71,War of Beach,53.61%,"1,757",0,428,398840
72,Affliction,54.65%,"1,744",0,22,617590
73,The Price of Freedom,86.01%,"1,695",0,178,561080
74,The Spy Who Shrunk Me,68.53%,"1,681",0,12,754850
76,Command: Northern Inferno,69.36%,"1,638",0,32,397180
77,Men of Valor,66.28%,"1,634",4,47,411330
79,Bad Rats Show,77.16%,"1,565",1,249,393200
80,Disney•Pixar Cars,81.93%,"1,521",13,46,331160
81,Terminal Conflict,67.25%,"1,499",0,10,745970
82,Pat & Mat,77.78%,"1,493",0,25,65710
83,Save Jesus,86.04%,"1,392",2,890,509220
85,Codename: Panzers - Cold War,61.33%,"1,299",5,102,9850
86,Soda Drinker Pro,86.86%,"1,274",1,21,347720
87,Rogue Warrior,64.89%,"1,129",3,37,22310
88,Kosmokrats,81.18%,"1,054",0,19,1204410
89,Liquidators,88.24%,"1,049",0,20,1382200
90,Beyond Enemy Lines,44.95%,996,0,7,523610
91,When I Was Young,75.10%,934,2,15,1059230
92,Shadow Council: The Puppeteers,48.56%,859,0,7,867610
93,Teddy Floppy Ear - Mountain Adventure,82.91%,837,4,617,340300
94,Death Trader: Cold War,46.34%,807,0,10,933700
95,The Cold War Era,59.68%,807,0,9,504280
96,Sakuya Izayoi Gives You Advice And Dabs,93.10%,804,11,164,1232180
97,Cuban Missile Crisis,70.21%,768,7,25,356270
98,Object N,78.40%,766,1,50,1508030
