,Name,Rating,Followers,Online,Peak,id
0,Deus Ex: Mankind Divided,72.84%,"146,523",494,"52,485",337000
1,Assassin's Creed 2 Deluxe Edition,86.68%,"63,608",371,"3,617",33230
2,Secret World Legends,66.24%,"48,173",97,"3,731",215280
3,The Council,81.91%,"47,123",29,784,287630
4,Assassin’s Creed® Brotherhood,87.14%,"42,639",262,"3,848",48190
5,Assassin’s Creed® III,73.41%,"40,375",43,"15,007",208480
6,Assassin's Creed® Revelations,83.63%,"37,483",143,"3,105",201870
7,Assassin's Creed™: Director's Cut Edition,81.75%,"26,341",81,"1,468",15100
8,Mr. Prepper: Prologue,81.54%,"17,570",28,"1,089",1340530
9,Assassin’s Creed® Liberation HD,56.33%,"13,791",5,"1,174",260210
11,The Black Watchmen,84.30%,"10,921",0,206,349220
12,Deus Ex: Game of the Year Edition,92.16%,"10,029",65,"1,102",6910
13,Secret Government,61.74%,"9,794",2,128,946990
14,Beyond Good and Evil™,84.36%,"9,671",8,274,15130
15,Contradiction - Spot The Liar!,91.36%,"9,189",4,70,373390
17,Unforeseen Incidents,83.65%,"8,614",3,88,501790
18,LIBERATED,73.27%,"8,244",2,55,875310
19,Fetish Locator Week One - Extended Edition,84.73%,"7,664",30,331,1360980
20,Deus Ex: Revision,84.82%,"7,108",51,694,397550
21,XIII,18.50%,"7,069",4,566,1154790
22,Else Heart.Break(),64.92%,"6,748",5,162,400110
23,Hello Neighbor 2 Alpha 1.5,82.78%,"6,421",56,"1,091",1364960
24,Gaia Beyond,70.13%,"6,048",0,181,788630
25,Throne of Lies®: Medieval Politics,75.78%,"5,539",26,"1,381",595280
26,During Before And After COVID-19,55.69%,"5,104",0,2,1509630
27,Underhero,84.09%,"4,853",5,114,573320
28,Broken Sword 5 - the Serpent's Curse,84.57%,"4,780",14,"1,101",262940
29,Disjunction,76.80%,"3,768",1,35,979310
30,Cyber Ops,51.01%,"3,201",0,48,863460
31,OFF GRID : Stealth Hacking,-,"3,159",0,3,526720
33,NUTS,82.51%,"2,763",0,67,768450
34,Murder by Numbers,83.04%,"2,545",9,319,1140290
35,Cognition: An Erica Reed Thriller,78.47%,"2,516",1,362,242780
36,Adam's Venture: Origins,62.72%,"2,462",0,29,400360
40,Ricochet,78.72%,"2,141",4,95,60
41,Deus Ex: Invisible War,57.05%,"2,121",7,60,6920
42,The Solitaire Conspiracy,86.13%,"2,080",0,189,1424980
43,Puzzle Agent,84.37%,"2,041",1,228,31270
44,I Am Your President: Prologue,73.91%,"2,010",6,217,1201330
46,Star Merc,61.78%,"1,785",0,"5,944",485830
47,Discolored,75.03%,"1,754",1,30,933860
49,Steel Sword Story,67.12%,"1,545",0,11,978190
50,Broken Sword 2 - the Smoking Mirror: Remastered,83.63%,"1,541",10,68,33600
51,Booth: A Dystopian Adventure,84.59%,"1,515",2,53,761350
52,CUCKOLD SIMULATOR: Life as a Beta Male Cuck,88.43%,"1,488",9,70,1141550
54,Puzzle Agent 2,81.46%,"1,367",3,100,94590
55,Billionaire Lovers,90.85%,"1,360",77,"1,352",1578860
57,The Protagonist: EX-1,69.91%,"1,273",2,7,1162570
59,Waiting For The Raven,70.42%,"1,218",0,46,1380010
60,Beneath a Steel Sky,82.96%,"1,082",1,44,1368340
61,Broken Sword 4 - the Angel of Death,46.56%,"1,005",5,31,316160
62,Intelligence Trader,38.24%,979,0,9,885100
64,Hello Neighbor 2 Alpha 1,75.23%,872,20,143,1373880
65,Shadows Behind the Throne 2,74.03%,870,1,10,1511830
66,Tortured Hearts - Or How I Saved The Universe. Again.,68.75%,835,2,9,1508260
67,Adam's Venture Chronicles,65.17%,821,0,325,362410
68,Broken Sword 3 - the Sleeping Dragon,55.13%,791,3,36,33610
69,Terrordrome - Reign of the Legends,72.60%,780,0,19,1291170
70,Alt-Frequencies,78.50%,760,0,11,1035050
72,hallucination - 幻觉,79.83%,749,2,23,1167700
75,Gordian Rooms: A curious heritage - A Victorian Escape Room Puzzle Adventure!,84.43%,665,5,32,1285080
78,Karaski: What Goes Up...,76.18%,624,0,61,424640
79,DEADWAR: OLD LIES,-,621,0,1,728450
80,Ossuary,76.45%,607,0,9,363500
81,Riddle of the Sphinx™ The Awakening (Enhanced Edition),81.78%,582,1,18,1521870
82,The Dark Side of the Moon,69.50%,577,0,23,1525770
85,The Wild Case,76.00%,533,0,15,1178230
89,Tested on Humans: Escape Room,83.26%,514,3,69,1483780
90,Therais Book,64.83%,487,0,16,1548240
91,GET OUT!,86.26%,484,1,45,1548320
92,DIVINATION,77.52%,467,1,5,1180250
93,Witch Sword,62.89%,451,0,3,776600
94,Unearthed: Trail of Ibn Battuta - Episode 1 - Gold Edition,52.75%,444,0,53,263680
95,Midnight Scenes: The Highway (Special Edition),78.71%,438,0,4,1279700
96,Gordian Rooms: A curious heritage Prologue,80.38%,426,1,18,1386790
97,Wonhon: The Beginning,72.01%,415,0,19,1604350
98,Beast Agenda 2030,74.53%,406,0,2,903780
99,Phantasma VR,73.93%,396,0,5,608870
