,Name,Rating,Followers,Online,Peak,id
0,Brawlhalla,83.87%,"139,643","23,535","34,816",291550
1,Noita,93.65%,"120,960","1,782","5,239",881100
2,Ultimate Chicken Horse,94.12%,"90,370",365,"2,744",386940
3,Celeste,95.82%,"78,187",661,"2,252",504230
4,Katana ZERO,96.28%,"74,326",130,"1,575",460950
5,Neon Abyss,85.38%,"48,313",313,"5,141",788100
6,Momodora: Reverie Under The Moonlight,91.08%,"47,643",32,693,428550
7,Trine 2: Complete Story,93.39%,"38,339",74,"3,755",35720
8,The Messenger,91.42%,"25,720",43,679,764790
9,We Need To Go Deeper,83.86%,"25,709",68,879,307110
10,Super Meat Boy,92.86%,"23,876",55,"5,153",40800
11,Gensokyo Night Festival,86.08%,"23,090",3,"1,333",1122050
12,20XX,89.06%,"22,494",22,712,322110
13,Spelunky 2,90.63%,"21,843",640,"9,702",418530
14,Bishojo Mangekyo Kotowari to Meikyu no Shojo,90.78%,"21,511",20,810,1310990
15,Timespinner,82.35%,"17,372",8,395,368620
16,Caveblazers,84.39%,"16,326",89,723,452060
17,Braid,91.21%,"15,902",18,947,26800
18,Fallen girl - Black rose and the fire of desire,71.68%,"15,730",11,368,1546010
19,Unruly Heroes,73.62%,"15,189",5,188,780350
20,Downwell,93.58%,"15,173",26,405,360740
21,Fury Unleashed,87.08%,"15,044",22,305,465200
22,PewDiePie: Legend of the Brofist,85.02%,"14,863",1,376,390520
23,MapleStory,68.09%,"14,575","2,304","4,918",216150
24,The Pedestrian,93.21%,"14,261",4,170,466630
25,Capcom Arcade Stadium,36.88%,"14,040",12,642,1515950
26,Wuppo: Definitive Edition,91.00%,"11,907",15,"2,273",400630
27,Super Neptunia RPG,77.09%,"11,862",1,707,1016960
28,Ghosts 'n Goblins Resurrection,80.34%,"11,296",9,257,1375400
29,N++ (NPLUSPLUS),90.35%,"10,240",39,522,230270
30,Flinthook,71.84%,"9,645",1,459,401710
31,Midnight Castle Succubus DX,88.35%,"9,622",6,236,1299320
32,30XX,86.74%,"9,494",35,768,1029210
34,Exit the Gungeon,76.62%,"9,160",16,923,1209490
36,Shift Happens,82.10%,"8,854",7,79,359840
37,Super Time Force Ultra,84.71%,"8,575",0,476,250700
38,Cyber Shadow,77.94%,"8,501",5,490,861250
39,Lakeview Cabin Collection,88.60%,"8,336",3,980,361990
40,Boring Man - Online Tactical Stickman Combat,84.64%,"8,192",22,"1,032",346120
42,Touhou Mystia's Izakaya,92.93%,"7,848",15,664,1584090
44,Unto The End,64.99%,"7,428",1,107,600080
45,Narita Boy,77.99%,"7,415",4,225,1069530
46,La-Mulana,77.53%,"7,320",15,794,230700
47,La-Mulana 2,81.61%,"7,196",15,"1,191",835430
48,Catmaze,78.17%,"7,167",2,42,620220
49,VVVVVV,93.17%,"7,157",17,"2,174",70300
50,Bloody Trapland,80.02%,"7,149",12,591,257750
54,Blade Assault,80.74%,"6,710",110,490,1367300
55,Songs for a Hero - Definitive Edition,91.28%,"6,701",28,616,389170
56,Shantae and the Seven Sirens,85.26%,"6,539",21,795,1191630
57,In a search of a new home,56.25%,"6,194",0,2,1284510
58,Zball II,41.03%,"6,172",0,4,1405720
59,Battletoads,68.60%,"6,089",6,768,1244950
60,Mighty Goose,78.62%,"5,518",7,283,1299360
61,They Bleed Pixels,81.04%,"5,455",0,570,211260
62,Succubus Affection,87.07%,"5,448",11,287,1328890
63,One Hand Clapping,74.64%,"5,376",1,115,893720
64,Even the Ocean,78.84%,"5,152",1,19,265470
67,Hylics 2,91.67%,"4,882",4,186,1286710
68,Tallowmere,85.74%,"4,872",0,567,340520
69,Underhero,84.09%,"4,854",3,114,573320
70,ROUNDS,90.85%,"4,826",298,619,1557740
71,Eagle Island Twist,73.18%,"4,625",0,46,681110
72,Kaze and the Wild Masks,90.32%,"4,547",6,135,829280
73,Soldat 2,80.88%,"4,545",0,156,474220
74,Sword and Fairy,92.50%,"4,535",24,"1,729",1546570
75,My boss is weird,54.31%,"4,374",3,498,1506600
77,Olija,85.11%,"4,248",4,71,1297330
78,Killer Queen Black,86.00%,"4,096",2,258,663670
79,Another World – 20th Anniversary Edition,79.50%,"4,075",1,226,233550
80,Robo Terror,31.85%,"4,071",0,3,1353860
81,TOKOYO: The Tower of Perpetuity,84.40%,"4,065",4,169,1393420
82,Rosenkreuzstilette,74.13%,"3,966",2,29,564150
83,Panzer Paladin,69.94%,"3,943",8,106,975510
85,Degrees of Separation,82.61%,"3,879",6,97,809880
87,EZ2ON REBOOT : R,72.08%,"3,776",27,"2,768",1477590
88,Cursed Castilla (Maldita Castilla EX),80.35%,"3,762",2,264,534290
89,Word Game: Episode 0,93.93%,"3,749",7,412,1507970
90,Stilt Fella,85.69%,"3,737",0,307,1133590
91,大衍江湖 - Evolution Of JiangHu,65.52%,"3,694",8,324,1502040
92,The Shadow of Yidhra,88.57%,"3,665",4,140,1576240
94,BURGER MAN,57.17%,"3,601",0,3,1610630
95,Alex Kidd in Miracle World DX,79.55%,"3,543",4,174,1333470
96,I Wanna Maker,91.65%,"3,438",53,514,1114940
97,The Purring Quest,80.29%,"3,405",0,90,409100
98,DDraceNetwork,91.13%,"3,366",838,"1,924",412220
99,Beach Restaurant,47.19%,"3,358",0,5,769440
