,Name,Rating,Followers,Online,Peak,id
0,Halo: The Master Chief Collection,91.63%,"450,548","8,674","161,024",976730
1,Red Dead Redemption 2,85.24%,"411,084","13,262","55,271",1174180
3,Half-Life: Alyx,96.82%,"207,624",548,"42,858",546560
4,Horizon Zero Dawn™ Complete Edition,81.45%,"195,641","2,810","56,557",1151640
6,Ori and the Will of the Wisps,94.75%,"142,463",416,"34,807",1057090
7,Banished,88.45%,"139,043","1,018","24,636",242920
8,BioShock Infinite,93.88%,"124,652",515,"65,332",8870
9,GRIS,94.79%,"113,596",63,959,683320
10,FaceRig,80.11%,"113,112",909,"3,554",274920
11,The Sims™ 4,87.95%,"100,969","9,480","25,403",1222670
12,Bless Unleashed,51.88%,"96,298","24,369","76,342",1254120
13,Detroit: Become Human,88.93%,"95,020",517,"7,218",1222140
14,Transistor,92.51%,"91,429",43,"6,727",237930
15,Microsoft Flight Simulator,73.74%,"89,692","5,709","61,829",1250410
16,Watch_Dogs™,71.22%,"87,857",88,"47,887",243470
17,Outer Wilds,92.63%,"87,697",491,"4,463",753640
18,X-Plane 11,89.09%,"87,233","1,234","4,210",269950
20,ABZU,90.74%,"83,796",10,"1,329",384190
21,Children of Morta,89.27%,"79,260",132,"3,064",330020
22,The Vanishing of Ethan Carter,86.13%,"75,926",4,"1,443",258520
23,Muse Dash,90.71%,"67,153",456,"6,087",774171
25,Just Cause 2,89.27%,"56,288",199,"7,547",8190
26,SpaceEngine,92.69%,"49,448",71,596,314650
27,Child of Light,90.22%,"49,305",11,"2,696",256290
28,Eastshade,86.09%,"49,125",31,440,715560
29,Haven,88.54%,"47,346",20,593,983970
30,Journey,92.38%,"46,976",43,"1,757",638230
31,ISLANDERS,92.48%,"46,625",144,"1,783",1046030
32,LOST EMBER,86.17%,"46,330",13,590,563840
33,Shelter 2,81.42%,"45,623",9,607,275100
34,Brothers - A Tale of Two Sons,92.84%,"45,048",12,"2,019",225080
36,Trine 2: Complete Story,93.39%,"38,339",56,"3,755",35720
37,Remember Me,81.36%,"37,212",15,"3,117",228300
38,I Am Bread,75.62%,"36,868",8,453,327890
39,Trine 4: The Nightmare Prince,88.11%,"36,149",97,"1,744",690640
40,Epistory - Typing Chronicles,91.69%,"34,878",8,400,398850
41,Gorogoa,94.28%,"34,581",2,813,557600
42,ArcheAge,51.97%,"33,728",90,"6,509",304030
43,Beyond: Two Souls,87.48%,"32,720",95,"1,346",960990
44,Everybody's Gone to the Rapture,68.62%,"26,633",1,191,417880
45,Meadow,86.41%,"26,254",15,"15,036",486310
46,WARTILE,74.88%,"26,184",0,332,404200
47,Scythe: Digital Edition,85.89%,"25,909",111,"1,237",718560
48,Submerged,73.10%,"25,799",5,521,301860
49,The Messenger,91.42%,"25,720",47,679,764790
50,Free to Play,92.36%,"25,356",0,"53,002",245550
51,Dust: An Elysian Tail,93.29%,"25,177",20,"2,669",236090
52,Rayman® Legends,88.23%,"23,999",32,"1,266",242550
53,TOGETHER BnB,46.71%,"23,745",5,846,1239020
54,Tell Me Why,81.98%,"23,299",132,"2,784",1180660
55,Seasons after Fall,78.05%,"23,135",2,304,366320
56,Sakura Spirit,76.62%,"22,933",2,537,313740
59,Kentucky Route Zero: PC Edition,78.17%,"22,688",11,431,231200
60,Descenders,91.13%,"22,467",348,"1,563",681280
61,The Room,95.21%,"21,847",56,540,288160
62,Last Day of June,83.80%,"21,466",4,362,635320
63,Mini Motorways,91.72%,"21,443","3,686","9,914",1127500
64,FEZ,89.94%,"20,684",27,"2,571",224760
65,Trine Enchanted Edition,93.10%,"19,548",56,"2,659",35700
66,Dream,56.11%,"18,998",0,224,229580
68,Refunct,93.18%,"17,549",0,480,406150
69,The Forgotten City,91.79%,"17,268",162,577,874260
70,AMID EVIL,92.51%,"16,887",35,352,673130
71,Equilinox,88.75%,"16,820",19,588,853550
72,Black Skylands,78.62%,"16,794",42,883,1143810
73,SteamVR,87.81%,"16,731",0,815,250820
74,Moving Out,73.94%,"16,315",30,652,996770
75,Braid,91.21%,"15,902",11,947,26800
76,DEEMO -Reborn-,84.10%,"15,782",6,"1,403",1282210
78,Terraforming Mars,74.19%,"15,322",507,"1,667",800270
80,Gedonia,84.00%,"14,803",12,121,1114220
81,Shop Titans,76.83%,"14,768","4,855","7,983",1258080
82,"I Love You, Colonel Sanders! A Finger Lickin’ Good Dating Simulator",89.66%,"14,638",21,"4,372",1121910
83,Draugen,73.02%,"14,042",2,240,770390
84,Necrobarista,81.76%,"13,993",1,290,725270
85,Mountain,86.25%,"13,482",125,"1,667",313340
86,Ember,72.77%,"13,306",4,399,339580
87,Layers of Fear 2,70.85%,"13,011",5,739,1029890
88,A Short Hike,95.95%,"12,449",26,200,1055540
89,Starcom: Nexus,87.49%,"12,139",6,554,863590
90,Spirit of the North,85.77%,"12,059",11,319,1213700
91,Sayonara Wild Hearts,93.71%,"10,959",11,180,1122720
92,Ys IX: Monstrum Nox,88.84%,"10,752",121,"1,365",1351630
93,SUPERHOT: MIND CONTROL DELETE,83.23%,"10,634",54,"3,746",690040
94,Nihilumbra,85.54%,"10,491",0,"2,740",252670
95,realMyst: Masterpiece Edition,83.19%,"10,403",14,292,244430
96,In Other Waters,84.99%,"10,249",3,166,890720
98,Dear Esther,73.78%,"9,751",0,"1,184",203810
99,The Stillness of the Wind,69.76%,"9,685",3,99,828900
