,Name,Rating,Followers,Online,Peak,id
0,Hacknet,91.21%,"69,430",430,"127,640",365450
1,Starbase,68.55%,"54,830","5,454","9,969",454120
2,Stormworks: Build and Rescue,89.88%,"51,077","1,606","5,746",573090
3,Nimbatus - The Space Drone Constructor,79.58%,"45,612",45,"1,349",383840
4,Baba Is You,95.51%,"34,971",275,"1,533",736260
5,Screeps: World,85.54%,"30,829",78,359,464350
6,SHENZHEN I/O,91.46%,"30,540",47,"1,170",504210
7,while True: learn(),88.95%,"30,482",13,844,619150
8,Opus Magnum,93.84%,"29,665",61,901,558990
9,Duskers,85.38%,"27,819",11,411,254320
10,Infinifactory,90.40%,"27,418",17,471,300570
11,RPG Maker VX Ace,90.83%,"24,022",169,"4,196",220700
12,Human Resource Machine,90.13%,"21,349",31,778,375820
13,TIS-100,92.61%,"21,036",26,493,370360
14,Autonauts,86.37%,"20,043",162,"3,598",979120
15,The Magic Circle,87.35%,"15,495",2,270,323380
16,CodeSpells,43.49%,"15,003",0,75,324190
17,Mad Games Tycoon 2,88.11%,"14,285",177,"2,182",1342330
18,7 Billion Humans,88.50%,"13,017",78,715,792100
19,Godot Engine,92.03%,"12,902",50,91,404790
20,EXAPUNKS,90.07%,"12,691",12,764,716490
21,AppGameKit Classic: Easy Game Development,79.36%,"11,925",10,"1,007",325180
22,Main Assembly,83.77%,"10,674",23,295,1078920
23,GLADIABOTS - AI Combat Arena,85.96%,"10,585",10,284,871930
24,Quadrilateral Cowboy,85.83%,"9,480",1,311,240440
25,hackmud,72.83%,"8,057",13,436,469920
26,SpaceChem,88.65%,"8,005",16,"1,962",92800
27,Planetoid Pioneers,62.89%,"7,804",0,236,300260
28,Stone Story RPG,84.84%,"6,864",14,739,603390
29,Mechanica,82.90%,"6,811",4,129,1226990
30,Else Heart.Break(),64.92%,"6,748",5,162,400110
31,Uplink,87.01%,"6,249",8,538,1510
32,Automachef,68.53%,"6,153",9,511,984800
33,Grey Hack,83.17%,"5,477",22,73,605230
34,LogicBots,74.99%,"5,346",2,56,290020
35,Levelhead,88.76%,"4,781",27,367,792710
36,Drunken Wrestlers 2,87.37%,"4,610",64,573,667530
37,City Game Studio: a tycoon about game dev,83.97%,"4,605",23,126,726840
38,Glitchspace,69.12%,"4,605",0,26,290060
39,Learning Factory,76.10%,"4,460",5,70,1150090
40,Discord Bot Maker,85.49%,"4,408",164,397,682130
41,SRPG Studio,76.27%,"4,169",26,67,857320
42,Mainlining,73.80%,"4,110",0,53,454950
43,Modbox,80.87%,"4,099",1,30,414120
44,hack_me,60.08%,"3,982",0,"1,589",526740
45,Hack 'n' Slash,53.71%,"3,695",0,373,246070
46,MOLEK-SYNTEZ,84.14%,"3,557",4,260,1168880
47,异常 | Exception,92.52%,"3,210",1,317,621000
48,MHRD,83.81%,"3,178",4,52,576030
49,OFF GRID : Stealth Hacking,-,"3,159",0,3,526720
50,Silicon Zeroes,82.91%,"2,656",1,97,684270
51,Mu Complex,76.00%,"2,503",0,60,383690
52,Comet 64,71.19%,"2,359",0,81,1397290
53,Hardware Engineering,53.87%,"2,179",0,76,525610
54,"Learn Game Development, Unity Code Monkey",77.65%,"2,117",2,65,1294220
55,Cyber Warrior,-,"1,901",0,1,726980
56,Adventure Land - The Code MMORPG,78.94%,"1,792",21,53,777150
57,Pixel FX Designer,72.47%,"1,747",2,11,939360
59,Memorrha,59.59%,"1,576",0,37,954080
60,Prime Mover,80.83%,"1,514",0,44,693700
61,Crypto Mining Simulator,65.66%,"1,496",7,237,1596310
62,One Dreamer: Prologue,89.65%,"1,457",1,45,1274140
63,Neon Noodles - Cyberpunk Kitchen Automation,79.58%,"1,428",0,8,990900
64,I hate this game,88.12%,"1,426",3,84,976010
65,Algotica Iterations,53.39%,"1,322",0,257,593330
66,Algo Bot,76.28%,"1,304",0,"1,143",286300
67,Cadence,-,"1,263",0,3,362800
68,Robo Instructus,76.18%,"1,223",2,46,1032170
69,Rogue Bit,81.05%,"1,169",0,8,949790
70,The Endless Mission,67.93%,"1,115",0,26,827880
72,God is a Cube: Programming Robot Cubes,62.00%,"1,092",0,7,845590
73,BASIC8,68.31%,"1,074",0,5,767240
75,ZACH-LIKE,86.84%,959,0,58,1098840
77,Open Sorcery,89.77%,937,0,359,585180
78,GTGD S1: More Than a Gamer,71.46%,928,0,25,269570
79,Clip maker,62.21%,898,2,6,1536420
80,Discord Rich Me! (Custom Rich Presence),65.47%,889,6,18,1252400
81,Virt-U-Mate,63.75%,850,0,6,1485240
82,Nimbatus - Drone Creator,82.21%,801,5,41,1243130
83,Prelogate,81.56%,753,0,53,332830
84,Super Markup Man,74.93%,745,1,37,502210
85,Copy Editor: A RegEx Puzzle,59.37%,727,0,16,1489660
86,The Ghost Train | 幽霊列車,73.02%,712,9,139,1349960
87,MOENTO - Modular Environment Toolkit,73.89%,705,0,9,1548870
88,Open Sorcery: Sea++,75.86%,670,0,14,737050
89,DevLife,70.76%,655,0,15,1351360
91,Generic Space Shooter,65.29%,639,0,5,366010
92,The Caregiver | 終焉介護,74.64%,638,4,99,1503670
93,Space Travel Idle,69.77%,638,237,561,1407860
94,[the Sequence],81.75%,637,1,124,454320
95,Squally,65.01%,623,0,6,770200
96,Zen Trails,86.48%,605,0,32,1418570
97,CyberRebeat -The Fifth Domain of Warfare-,71.52%,592,0,6,825320
98,Seven: Reboot,-,557,0,1,654200
