,Name,Rating,Followers,Online,Peak,id
0,Battlerite,83.09%,"526,206",321,"45,145",504370
2,Quake Champions,71.30%,"59,232",702,"17,476",611500
3,Serious Sam 4,81.04%,"58,639",90,"8,522",257420
4,TOXIKK™,74.58%,"51,160",404,"1,646",324810
5,DUSK,95.32%,"35,966",135,551,519860
6,Splitgate (Beta),88.93%,"35,502","49,519","67,724",677620
7,Primal Carnage: Extinction,78.35%,"33,991",125,874,321360
8,Loadout,85.19%,"33,957",0,"29,424",208090
10,Murder Miners,82.95%,"28,433",7,"1,769",274900
11,Quake Live™,83.63%,"28,369",413,"6,154",282440
12,Ziggurat,83.39%,"25,869",10,809,308420
13,Unreal Tournament 3 Black,86.37%,"25,630",36,"1,514",13210
14,Robot Roller-Derby Disco Dodgeball,88.88%,"24,880",7,373,270450
15,ULTRAKILL,96.48%,"22,470",798,"2,065",1229490
16,Prodeus,92.74%,"22,267",19,547,964800
17,PlanetSide Arena,45.16%,"22,087",0,"1,506",987350
18,World of Tanks,56.94%,"21,664","1,074","4,196",1407200
19,MADNESS: Project Nexus,-,"17,922",0,66,488860
20,Devil Daggers,92.27%,"17,817",24,358,422970
21,Galactic Junk League,66.60%,"17,167",0,"2,089",562590
22,AMID EVIL,92.51%,"16,887",35,352,673130
23,Shotgun Farmers,90.82%,"16,103",57,486,604240
25,WRATH: Aeon of Ruin,83.78%,"14,576",10,275,1000410
26,Shark Attack Deathmatch 2,73.22%,"14,476",0,76,330580
27,Quantum League,72.55%,"14,125",3,547,651150
28,Gas Guzzlers Extreme,83.27%,"12,563",4,355,243800
29,Worms Rumble,68.48%,"11,833",14,767,1186040
30,Nova Drift,94.24%,"11,749",209,963,858210
31,Redeemer: Enhanced Edition,81.56%,"11,654",5,802,447290
32,Quake III Arena,91.07%,"11,466",30,113,2200
33,Screencheat,87.70%,"11,266",2,223,301970
34,GOAT OF DUTY,83.17%,"10,952",8,"3,018",555000
35,DRONE The Game,78.49%,"10,621",0,551,987020
36,Quake IV,82.87%,"10,419",29,255,2210
37,Reflex Arena,80.93%,"10,199",1,240,328070
38,Strike Vector EX,80.76%,"10,074",0,132,476360
39,Teeworlds,85.54%,"9,361",48,956,380840
40,Skyfront VR,68.18%,"9,216",8,81,640800
41,Unreal Tournament 2004: Editor's Choice Edition,93.18%,"9,215",75,504,13230
42,Strike Vector,65.65%,"9,068",0,686,246700
43,Unreal Tournament: Game of the Year Edition,92.80%,"8,888",43,147,13240
44,Hellbound,68.52%,"8,882",8,127,753590
45,Yet Another Zombie Defense HD,79.69%,"8,124",0,257,674750
46,Half-Life 2: Deathmatch,87.44%,"7,945",183,"2,702",320
47,Tesla vs Lovecraft,85.15%,"7,559",6,241,636100
48,Muffled Warfare - Echolocation Shooter,76.05%,"7,540",0,23,545180
49,Unearned Bounty,64.08%,"7,243",0,142,377260
50,QUAKE II,88.41%,"6,956",33,131,2320
51,Orbital Gear,79.53%,"6,789",0,"2,034",298520
52,Soul Saber 2,58.55%,"6,644",0,41,581230
53,The Ultimatest Battle,74.17%,"6,567",0,313,669580
54,Zula Türkiye,41.86%,"6,328",135,"3,041",714210
55,Midair,54.81%,"6,003",0,766,439370
56,STRIDE + Multiplayer Pass,82.44%,"5,968",16,142,1292040
57,Rocket Arena,60.12%,"5,698",5,"1,136",1233550
59,Ratz Instagib,84.54%,"5,428",19,"2,102",338170
60,Rise of the Triad,65.33%,"5,371",6,"2,035",217140
61,Diesel Guns,70.26%,"5,016",0,12,355400
63,PWND,67.97%,"4,758",0,600,553660
64,Ziggurat 2,87.67%,"4,694",31,194,1159560
65,Serious Sam Fusion 2017 (beta),89.49%,"4,593",35,508,564310
66,Drunken Robot Pornography,79.16%,"4,564",0,86,209060
67,Veterans Online - Open Beta,61.46%,"4,533",0,202,492840
68,What The Box?,75.08%,"4,525",0,161,527340
69,The Last of Waifus,78.83%,"4,434",0,46,1359650
70,Monday Night Combat,74.58%,"4,312",9,"7,981",63200
71,Sky Noon,78.21%,"4,177",0,126,569530
72,Monolith,93.03%,"4,109",16,133,603960
73,ShootMania Storm,81.04%,"3,935",10,646,229870
74,Games of Glory,55.39%,"3,901",0,180,342150
75,CosmicBreak Universal,57.81%,"3,887",53,"2,642",1140620
76,Quantum League - Free Open Beta,67.90%,"3,877",0,535,1227800
77,BOSSGARD,57.40%,"3,809",0,180,865980
78,Boomerang X,86.00%,"3,732",21,85,1170060
79,TinShift,76.65%,"3,685",0,35,1288430
80,Alien Shooter 2 - The Legend,50.71%,"3,663",12,218,1007400
81,Zula Global,66.04%,"3,552",610,781,747610
82,Viscerafest,85.07%,"3,523",4,146,1406780
84,Vengeance,75.79%,"3,205",0,"8,732",384960
85,Wickland,52.51%,"3,143",0,290,321260
86,A Fistful of Gun,62.30%,"3,142",0,216,229810
87,Zero G Arena,84.45%,"3,139",0,133,467820
88,Sabotaj,61.33%,"3,085",108,898,1436900
89,Fortress Forever,84.88%,"3,039",2,630,253530
90,3D Aim Trainer,76.90%,"3,014",112,366,1600530
91,Jetman Go,73.43%,"3,003",0,13,665120
92,Alien Shooter,89.52%,"2,996",4,"1,029",33100
94,Beyond Flesh and Blood,57.21%,"2,880",0,6,391550
96,Warfork,84.64%,"2,801",15,363,671610
97,SMASH LEGENDS,62.49%,"2,739",223,"1,526",1352080
98,The Misfits,53.69%,"2,711",0,166,614940
99,CRIMSON METAL Classic 1999,52.43%,"2,678",0,123,606960
