,Name,Rating,Followers,Online,Peak,id
0,Grand Theft Auto V,82.79%,"2,336,535","89,115","364,548",271590
1,Dead by Daylight,81.53%,"1,298,168","54,522","105,093",381210
2,Cyberpunk 2077,75.05%,"1,177,161","7,948","1,054,388",1091500
3,The Witcher® 3: Wild Hunt,97.05%,"786,023","13,277","103,329",292030
4,Wallpaper Engine,96.92%,"672,048","29,545","66,512",431960
5,Red Dead Redemption 2,85.24%,"411,084","13,730","55,271",1174180
6,Watch_Dogs® 2,81.33%,"296,713",291,"18,138",447040
7,Sniper Elite 4,88.14%,"208,208",974,"15,101",312660
8,Friday the 13th: The Game,77.50%,"207,391",870,"16,096",438740
9,DOOM Eternal,89.24%,"206,899","4,003","104,891",782330
10,Far Cry® Primal,81.41%,"203,247",237,"14,783",371660
11,Hell Let Loose,81.18%,"196,146","6,385","14,190",686810
12,Firewatch,86.64%,"192,787",53,"17,568",383870
13,Mafia III: Definitive Edition,54.85%,"184,243",483,"47,822",360430
14,Subverse,80.55%,"174,461",53,"25,318",1034140
15,We Happy Few,73.40%,"168,153",117,"3,498",320240
16,Outlast 2,88.52%,"165,571",179,"5,966",414700
17,GreedFall,77.26%,"162,378",298,"16,345",606880
18,Batman™: Arkham Knight,79.91%,"142,276","1,084","27,406",208650
19,DEAD OR ALIVE Xtreme Venus Vacation,80.53%,"139,994",960,"10,381",958260
20,Mortal Kombat X,80.39%,"131,055",326,"15,743",307780
21,Mirror,95.43%,"126,433",250,"7,565",644560
22,DESOLATE,67.27%,"123,359",49,"1,832",671510
23,Assassin’s Creed® IV Black Flag™,87.95%,"120,276",522,"16,049",242050
24,Tales of Berseria™,90.11%,"111,791",269,"8,085",429660
25,Mortal Kombat 11,83.92%,"110,285","2,157","35,147",976310
26,South Park™: The Stick of Truth™,95.69%,"108,056",218,"34,811",213670
27,Sword Art Online: Hollow Realization Deluxe Edition,79.04%,"105,291",49,"3,254",607890
28,Bayonetta,89.65%,"102,934",88,"4,194",460790
29,South Park™: The Fractured But Whole™,78.54%,"100,505",227,"21,609",488790
30,House Party,86.30%,"97,572",241,"1,074",611790
31,嗜血印 Bloody Spell,84.51%,"94,857",32,"4,256",992300
32,Mafia: Definitive Edition,85.51%,"91,551",341,"36,679",1030840
33,The Witcher 2: Assassins of Kings Enhanced Edition,88.87%,"89,250",699,"12,884",20920
34,Sleeping Dogs: Definitive Edition,90.22%,"88,415",503,"4,035",307690
35,Grand Theft Auto: San Andreas,89.97%,"88,386","1,662","3,387",12120
36,She Will Punish Them,90.23%,"86,348",512,"15,711",1213740
37,Thronebreaker: The Witcher Tales,89.02%,"85,931",116,"3,371",973760
38,NEKOPARA Vol. 1,93.39%,"83,447",71,487,333600
39,Chinese Parents,89.77%,"82,457",102,"32,593",736190
40,Game of Thrones - A Telltale Games Series,74.51%,"81,296",10,"6,771",330840
41,Freeman: Guerrilla Warfare,75.92%,"78,842",55,"2,127",773951
42,Metro 2033 Redux,85.90%,"78,457",281,"5,139",286690
43,Yakuza 0,92.61%,"77,091","1,193","8,985",638970
45,The Technomancer,67.77%,"74,178",7,"2,366",338390
46,Tom Clancy’s Splinter Cell Blacklist,81.99%,"73,430",90,"6,146",235600
47,GOD EATER 2 Rage Burst,75.74%,"73,068",22,"1,491",438490
48,AI＊Shoujo/AI＊少女,74.01%,"72,519",60,599,1250650
49,CARRION,91.65%,"71,454",83,"6,347",953490
50,Gears 5,65.98%,"67,398",360,"10,196",1097840
51,Cloudpunk,87.11%,"66,010",43,932,746850
52,Wolfenstein: The Old Blood,86.57%,"65,250",219,"3,064",350080
53,DEAD OR ALIVE 5 Last Round: Core Fighters,64.88%,"65,158",22,"2,827",311730
54,VR Kanojo / VRカノジョ,74.47%,"64,162",6,66,751440
55,Helltaker,96.53%,"64,080",147,"6,509",1289310
56,Dota Underlords,81.83%,"63,813","2,537","202,334",1046930
57,Everlasting Summer,93.96%,"63,263",853,"1,823",331470
58,Saints Row: Gat out of Hell,73.09%,"62,624",29,"5,827",301910
59,SENRAN KAGURA ESTIVAL VERSUS,91.42%,"61,014",21,"1,088",502800
60,War of Rights,82.61%,"60,786",144,"1,327",424030
61,The Witcher: Enhanced Edition Director's Cut,87.63%,"59,198",673,"12,685",20900
62,コイカツ！ / Koikatsu Party,89.76%,"58,935",192,367,1073440
63,This Is the Police,80.74%,"58,291",62,"3,093",443810
64,Fate/EXTELLA,88.91%,"55,901",8,"2,946",511680
65,Monster Girl Island: Prologue,93.74%,"51,807",61,"1,538",943700
67,The Walking Dead,95.14%,"50,997",153,"12,114",207610
68,DEAD OR ALIVE 6,70.91%,"50,452",43,"2,107",838380
69,HuniePop,94.23%,"49,398",184,"3,018",339800
70,Catherine Classic,85.00%,"48,849",48,"1,265",893180
71,SENRAN KAGURA SHINOVI VERSUS,90.92%,"48,522",4,"1,048",411830
72,Azur Lane Crosswave,67.30%,"48,225",8,"10,413",1150080
73,Battlefield 1 ™,83.28%,"48,063","4,667","43,322",1238840
74,League of Maidens®,53.19%,"47,584",142,"6,706",557180
75,Sherlock Holmes: Crimes and Punishments,87.77%,"46,931",74,889,241260
77,Tricolour Lovestory,89.11%,"46,062",27,"2,733",668630
78,911 Operator,86.49%,"45,743",85,"1,955",503560
79,The Walking Dead: The Final Season,91.57%,"45,337",68,"4,120",866800
80,Danganronpa 2: Goodbye Despair,94.28%,"45,122",456,"1,869",413420
81,AKIBA'S TRIP: Undead ＆ Undressed,83.75%,"44,805",10,507,333980
82,Dream Daddy: A Dad Dating Simulator,87.84%,"44,137",26,"14,471",654880
83,Resident Evil 7 Teaser: Beginning Hour,85.21%,"43,577",10,"3,910",530620
84,SoulWorker - Anime Action MMO,78.02%,"43,516",5,"11,017",630100
85,Notes of Soul,77.17%,"43,473",49,"2,968",991780
87,The Walking Dead: Season Two,93.82%,"41,397",66,"18,627",261030
88,Breeders of the Nephelym: Alpha,88.20%,"41,261",213,"2,702",1161770
89,Paint the Town Red,91.86%,"40,424",420,"1,230",337320
90,L.A. Noire,83.71%,"40,033",238,"5,115",110800
91,POSTAL 2,94.11%,"39,294",340,"4,636",223470
92,Haydee,82.63%,"39,275",7,381,530890
93,Spec Ops: The Line,91.20%,"39,059",71,"13,995",50300
94,The Wolf Among Us,95.46%,"38,739",71,"14,321",250320
95,The Medium,85.55%,"38,294",19,"2,765",1293160
96,Do Not Feed the Monkeys,90.01%,"37,732",49,"1,888",658850
97,Zero Escape: Zero Time Dilemma,83.19%,"37,729",26,"1,914",311240
98,Lust from Beyond,79.30%,"37,564",31,"1,310",1035120
99,Hatred,77.68%,"36,831",39,"3,085",341940
