,Name,Rating,Followers,Online,Peak,id
0,Phasmophobia,96.21%,"216,528","13,609","112,717",739630
1,Disco Elysium - The Final Cut,92.42%,"163,866","1,554","8,081",632470
2,Batman™: Arkham Knight,79.91%,"142,276","1,034","27,406",208650
3,Persona 4 Golden,95.36%,"76,996","1,743","29,984",1113000
4,The Vanishing of Ethan Carter,86.13%,"75,926",4,"1,443",258520
5,Call of Cthulhu®,75.86%,"71,477",47,"3,449",399810
6,Hacknet,91.21%,"69,426",414,"127,640",365450
7,Danganronpa: Trigger Happy Havoc,94.32%,"65,531",327,"3,392",413410
8,Unheard,94.44%,"64,204",50,"7,754",942970
9,Return of the Obra Dinn,94.20%,"61,275",74,"1,256",653530
10,Sherlock Holmes: The Devil's Daughter,77.30%,"59,836",101,"2,968",350640
11,This Is the Police,80.74%,"58,291",51,"3,093",443810
12,Danganronpa V3: Killing Harmony,84.12%,"57,127",358,"4,691",567640
13,>observer_,77.76%,"54,860",11,953,514900
14,Batman™: Arkham Origins,85.56%,"53,530",387,"25,017",209000
15,Pathologic 2,88.79%,"53,430",77,"1,422",505230
16,The Council,81.91%,"47,121",19,784,287630
17,Sherlock Holmes: Crimes and Punishments,87.77%,"46,931",71,889,241260
18,Batman - The Telltale Series,79.74%,"46,279",47,"4,001",498240
19,Batman: Arkham City - Game of the Year Edition,93.83%,"45,900",476,"6,871",200260
20,Danganronpa 2: Goodbye Despair,94.28%,"45,122",459,"1,869",413420
21,Phoenix Wright: Ace Attorney Trilogy,94.79%,"45,052",391,"3,611",787480
22,Kona,80.10%,"44,603",3,349,365160
23,Orwell: Keeping an Eye On You,88.92%,"40,090",29,"154,375",491950
24,L.A. Noire,83.71%,"40,033",233,"5,115",110800
25,The Wolf Among Us,95.46%,"38,739",62,"14,321",250320
26,Murdered: Soul Suspect,83.08%,"32,905",37,"1,645",233290
27,This Is the Police 2,72.97%,"30,212",36,"3,451",785740
28,Batman: Arkham Asylum Game of the Year Edition,94.26%,"29,460",261,"6,739",35140
29,The Sinking City,54.68%,"28,930",17,298,750130
30,Digimon Story Cyber Sleuth: Complete Edition,88.73%,"26,915",351,"2,404",1042550
31,Batman: The Enemy Within - The Telltale Series,87.26%,"26,430",54,"2,029",675260
32,Danganronpa Another Episode: Ultra Despair Girls,85.56%,"25,526",57,487,555950
33,Thimbleweed Park™,89.96%,"25,517",8,"2,733",569860
34,Her Story,87.00%,"25,505",7,663,368370
35,Beat Cop,80.12%,"25,407",12,526,461950
36,AI: The Somnium Files,88.70%,"22,477",38,998,948740
37,Backbone,58.40%,"22,464",2,739,865610
38,GET EVEN,73.88%,"22,325",3,163,299950
39,D4: Dark Dreams Don’t Die -Season One-,77.58%,"22,191",0,268,358090
40,Cyber Manhunt,91.07%,"22,046",58,"2,807",1216710
41,SpyParty,79.04%,"21,460",20,307,329070
42,Heavy Rain,80.15%,"18,874",42,747,960910
43,The Sexy Brutale,89.46%,"18,866",10,348,552590
44,Blacksad: Under the Skin,81.03%,"18,849",24,264,1003890
45,Fahrenheit: Indigo Prophecy Remastered,78.01%,"18,725",16,417,312840
46,Ghost Hunters Corp,70.83%,"17,936",734,"3,791",1618540
47,PRICE,91.10%,"17,756",0,660,465520
48,Telling Lies,65.56%,"16,354",3,687,762830
49,The Silent Age,90.20%,"16,105",1,458,352520
50,Backbone: Prologue,93.82%,"16,036",0,565,992310
51,DEEMO -Reborn-,84.10%,"15,782",6,"1,403",1282210
52,Zero Escape: The Nonary Games,90.92%,"15,770",102,960,477740
