,Name,Rating,Followers,Online,Peak,id
0,PAYDAY 2,87.79%,"7,547,808","32,145","247,709",218620
1,World of Guns: Gun Disassembly,81.48%,"153,967",148,"1,597",262410
2,World War 3,60.72%,"135,122",9,"11,108",674020
3,Noita,93.66%,"120,994","1,930","5,239",881100
4,From the Depths,87.42%,"66,623",370,"1,700",268650
5,Sniper Ghost Warrior Contracts,71.69%,"48,088",637,"3,923",973580
6,M.A.S.S. Builder,86.18%,"47,323",102,481,956680
7,Brick Rigs,90.35%,"47,128",608,"1,963",552100
8,GROUND BRANCH,86.08%,"42,759",130,620,16900
9,Blacklight: Retribution,73.91%,"38,146",0,"12,131",209870
11,Line of Sight,58.11%,"34,644",44,"4,120",436520
12,Loadout,85.19%,"33,957",0,"29,424",208090
13,Sniper Ghost Warrior Contracts 2,79.48%,"32,018","1,174","7,055",1338770
14,Killsquad,66.22%,"31,044",28,"2,784",910490
15,BRINK,60.84%,"30,380",14,"16,824",22350
16,Zero Caliber VR,78.91%,"21,595",55,475,877200
17,"Hot Dogs, Horseshoes & Hand Grenades",94.07%,"21,538",363,874,450540
18,RESONANCE OF FATE™/END OF ETERNITY™ 4K/HD EDITION,78.22%,"21,399",21,826,645730
19,Tom Clancy's Ghost Recon: Future Soldier™,65.16%,"19,273",19,"2,667",212630
20,BRAIN / OUT,80.65%,"18,645",141,"2,032",578310
21,Ironsight,71.54%,"16,784",656,"4,669",783770
22,Blockstorm,78.06%,"16,436",1,"1,411",263060
23,BREAK ARTS II,71.18%,"16,116",12,464,547360
24,MOTHERGUNSHIP,75.37%,"14,990",9,611,574090
26,Worms Rumble,68.50%,"11,830",15,767,1186040
27,Into the Radius VR,82.89%,"11,756",41,192,1012790
28,Walking Zombie 2,85.24%,"9,974",270,964,965200
30,Predator: Hunting Grounds,73.37%,"9,193",60,337,1556200
31,BattleBit Remastered,-,"8,681",0,141,671860
33,Contractors,78.42%,"7,862",8,181,963930
35,Siege of Centauri,62.51%,"7,410",0,204,524010
36,Atomicrops,88.50%,"7,089",89,563,757320
37,Zula Türkiye,41.83%,"6,327",321,"3,041",714210
38,World War Z: Aftermath,-,"6,299",0,13,699130
39,5089: The Action RPG,77.59%,"5,493",0,71,414510
40,Skynet Rising : Portal to the Past,42.74%,"5,447",0,5,516250
41,"Get To Work, Succubus-Chan!",74.11%,"4,759",2,33,1104340
43,Hunting Simulator 2,59.76%,"4,689",10,383,1135910
44,Gun Club VR,76.59%,"4,633",7,39,691320
46,Time Warpers,81.75%,"4,438",42,280,676500
47,It came from space and ate our brains,77.32%,"4,267",0,190,342620
48,Rogue Heist,36.33%,"3,245",0,380,891430
49,Sabotaj,61.33%,"3,088",171,898,1436900
50,NavalArt,82.65%,"3,001",59,97,842780
51,异变战区 E.E.R.I.E,76.88%,"2,574",3,156,1631640
52,Anima : The Reign of Darkness,72.50%,"2,554",84,276,1629200
53,Ghostbusters: The Video Game Remastered,84.00%,"2,543",9,58,1449280
54,Project Xandata,-,"2,540",0,95,674690
55,VAIL VR,-,"2,533",0,2,801550
56,Anew: The Distant Light,41.03%,"2,109",1,7,905530
57,Weapons Genius,44.20%,"2,041",0,"5,994",385400
58,Revita,85.32%,"1,979",6,77,1175460
59,Airstrife: Assault of the Aviators,74.53%,"1,900",0,119,1419130
64,UpGun,80.40%,"1,556",144,219,1575870
65,Trashed,65.53%,"1,545",1,26,1268360
66,EVERSLAUGHT,75.66%,"1,539",7,36,1530750
68,Project RIP,64.25%,"1,480",0,22,1131400
70,Operation Warcade VR,87.97%,"1,432",0,15,639270
71,Sector Six,85.20%,"1,427",0,77,465020
72,RESEQUENCED,62.24%,"1,399",0,10,845490
73,Deadswitch 3,70.01%,"1,222",88,235,1131080
75,Bloody Raid,69.58%,"1,092",1,45,1529110
76,War Identity,53.60%,"1,080",0,32,1391690
77,Trident's Wake,47.47%,"1,068",0,12,704880
78,Containment Initiative,82.36%,890,0,19,527700
80,room13,70.88%,848,0,157,314590
82,Stellar Interface,77.47%,791,0,63,517330
83,Zombie Killing Simulator,56.53%,757,0,7,872350
84,Blasters of the Universe,81.28%,749,0,24,490490
85,Regenesis Arcade Lite,61.29%,735,0,12,642000
86,Dungeon Core,78.21%,725,1,14,1351900
88,Destructive Physics - Destruction Simulator,76.36%,684,1,9,1024460
89,KillStreak.tv,78.45%,671,0,88,1053060
90,Null Vector,88.17%,635,0,142,608110
93,Redmatch 2,80.70%,541,132,210,1280770
94,Flipside Genesis,-,537,0,2,953380
95,Aggressor,58.14%,518,1,13,1619790
96,Rest In Pieces,63.46%,518,0,6,1172060
97,BlackShot: Mercenary Warfare,38.01%,511,41,97,895970
99,Adapt or Perish,75.82%,492,0,9,870730
