,Name,Rating,Followers,Online,Peak,id
0,Tom Clancy's Rainbow Six® Siege,87.10%,"1,132,788","47,172","201,053",359550
1,Fallout 4,78.77%,"846,011","20,107","472,962",377160
2,Wallpaper Engine,96.92%,"672,048","30,635","66,512",431960
3,Euro Truck Simulator 2,96.64%,"659,530","25,121","61,081",227300
4,Rocket League®,88.30%,"618,648","64,189","147,632",252950
5,Fall Guys: Ultimate Knockout,82.27%,"615,530","11,877","172,213",1097150
6,Stardew Valley,96.93%,"583,057","32,104","94,879",413150
7,Cities: Skylines,91.95%,"579,631","12,362","60,386",255710
8,Unturned,90.52%,"508,491","17,717","63,462",304930
9,Human: Fall Flat,93.25%,"488,573","1,526","127,517",477160
10,CS:GO Player Profiles,88.80%,"355,600",5,193,413850
11,Factorio,97.37%,"331,424","12,526","34,700",427520
12,American Truck Simulator,94.81%,"315,375","6,012","19,153",270880
13,Totally Accurate Battle Simulator,96.25%,"296,159","2,186","13,674",508440
15,Planet Coaster,89.16%,"274,862","2,071","21,971",493340
16,Among Us,92.14%,"273,036","10,961","447,476",945360
17,Hearts of Iron IV,90.59%,"272,158","31,447","46,806",394360
18,Evolve Stage 2,67.03%,"263,159",14,"51,127",273350
19,Life is Strange - Episode 1,95.03%,"255,042",387,"18,260",319630
20,Planet Zoo,88.07%,"239,930","3,715","38,630",703080
21,Jurassic World Evolution,84.09%,"235,089","1,289","60,296",648350
22,Gang Beasts,75.42%,"232,178",485,"3,062",285900
23,SMITE®,79.66%,"230,829","16,952","31,169",386360
24,Slime Rancher,96.08%,"221,645","1,849","6,452",433340
25,Plague Inc: Evolved,92.56%,"210,944",425,"17,889",246620
26,House Flipper,90.71%,"194,016","2,172","10,899",613100
27,Prison Architect,89.34%,"193,132","1,385","16,211",233450
28,Firewatch,86.64%,"192,787",62,"17,568",383870
29,Two Point Hospital,89.15%,"185,945","1,244","34,009",535930
30,The Universim,79.80%,"185,851",99,"2,825",352720
31,Slay the Spire,96.40%,"178,205","7,398","33,086",646570
32,Getting Over It with Bennett Foddy,81.08%,"177,602",416,"5,054",240720
33,My Time At Portia,91.04%,"176,513","1,097","13,299",666140
34,Subverse,80.55%,"174,461",56,"25,318",1034140
35,Tabletop Simulator,94.38%,"171,957","5,841","37,198",286160
36,Portal Knights,81.02%,"168,215",197,"6,545",374040
38,PC Building Simulator,92.46%,"156,187",558,"3,884",621060
39,World of Guns: Gun Disassembly,81.48%,"153,966",114,"1,597",262410
40,Universe Sandbox,93.16%,"153,252",332,646,230290
41,Artifact,46.90%,"152,783",22,"60,646",583950
42,Castle Crashers®,94.63%,"146,567",555,"16,013",204360
43,太吾绘卷 The Scroll Of Taiwu,80.33%,"146,037",294,"72,533",838350
44,DEAD OR ALIVE Xtreme Venus Vacation,80.53%,"139,994",982,"10,381",958260
45,Brawlhalla,83.87%,"139,643","23,874","34,816",291550
46,LEGO® Worlds,75.78%,"139,002",322,"4,911",332310
47,SUPERHOT,87.82%,"137,038",59,"5,584",322500
48,DRAGON BALL XENOVERSE 2,85.07%,"136,669",855,"19,416",454650
49,BattleBlock Theater®,95.55%,"136,292",208,"14,781",238460
50,Secret Neighbor: Hello Neighbor Multiplayer,85.24%,"136,247",329,"5,174",859570
51,OCTOPATH TRAVELER™,83.84%,"135,832",256,"6,177",921570
52,VRChat,89.47%,"135,546","16,415","27,732",438100
53,Beat Saber,94.42%,"135,326","1,420","4,472",620980
54,Stick Fight: The Game,91.92%,"133,731",999,"5,147",674940
55,Doki Doki Literature Club!,95.52%,"132,697",929,"7,402",698780
56,Overcooked! 2,88.62%,"132,171","1,216","11,213",728880
57,Blackwake,81.10%,"129,831",109,"6,159",420290
58,Dawn of Man,84.96%,"127,454",845,"23,864",858810
59,Mirror,95.43%,"126,433",292,"7,565",644560
60,Steep™,79.99%,"125,268",106,"2,113",460920
61,UNO,71.84%,"121,038",529,"5,639",470220
62,Creativerse,79.24%,"120,715",275,"10,929",280790
63,JUMP FORCE,71.10%,"118,753",316,"9,885",816020
64,"Warhammer 40,000: Dawn of War III",46.94%,"117,822",124,"25,676",285190
65,Trove,79.74%,"117,499","2,044","58,949",304050
66,The Witness,83.29%,"115,785",163,"6,185",210970
67,GRIS,94.79%,"113,596",63,959,683320
68,Forager,90.06%,"110,743",442,"13,438",751780
69,Pummel Party,88.19%,"106,280","1,578","17,021",880940
