,Name,Rating,Followers,Online,Peak,id
0,Disco Elysium - The Final Cut,92.42%,"163,866","1,503","8,081",632470
1,Mafia: Definitive Edition,85.51%,"91,551",289,"36,679",1030840
2,Katana ZERO,96.28%,"74,326",128,"1,575",460950
3,Empire of Sin,46.13%,"61,858",118,"9,229",604540
4,Return of the Obra Dinn,94.20%,"61,275",70,"1,256",653530
5,This Is the Police,80.74%,"58,291",48,"3,093",443810
6,Skullgirls 2nd Encore,91.97%,"54,613",426,"4,016",245170
7,Batman - The Telltale Series,79.74%,"46,279",56,"4,001",498240
8,Max Payne 3,83.36%,"45,229",224,"9,594",204100
9,L.A. Noire,83.71%,"40,033",230,"5,115",110800
10,Grim Fandango Remastered,87.39%,"38,865",15,"1,500",316790
11,The Wolf Among Us,95.46%,"38,739",67,"14,321",250320
12,Murdered: Soul Suspect,83.08%,"32,905",36,"1,645",233290
13,This Is the Police 2,72.97%,"30,212",33,"3,451",785740
14,Backbone,58.40%,"22,464",3,739,865610
15,Gunpoint,94.63%,"20,375",6,"2,647",206190
16,Blacksad: Under the Skin,81.03%,"18,849",21,264,1003890
17,Fahrenheit: Indigo Prophecy Remastered,78.01%,"18,725",18,417,312840
18,Deadlight,77.41%,"16,430",6,"1,678",211400
19,Backbone: Prologue,93.82%,"16,036",3,565,992310
20,Contrast,87.45%,"15,618",0,518,224460
21,The Bureau: XCOM Declassified,68.60%,"13,302",16,"7,412",65930
22,Tales of the Neon Sea,81.50%,"13,219",5,691,828740
23,Dollhouse,54.53%,"13,111",0,45,280850
24,Blues and Bullets,61.47%,"12,758",0,118,378660
26,Primordia,92.87%,"11,663",2,178,227000
27,Gibbous - A Cthulhu Adventure,86.24%,"11,390",9,297,914020
28,City of Gangsters,64.70%,"10,697",382,"1,184",1386780
29,Neo Cab,80.95%,"10,149",8,157,794540
30,Night Call,68.19%,"9,704",2,125,680380
31,Mafia II: Definitive Edition,66.97%,"9,657",212,"6,162",1030830
32,Max Payne 2: The Fall of Max Payne,91.21%,"9,038",40,189,12150
33,Max Payne,87.22%,"8,906",56,727,12140
34,Genesis Noir,78.11%,"8,817",2,85,735290
