,Name,Rating,Followers,Online,Peak,id
0,Microsoft Flight Simulator,73.74%,"89,692","5,916","61,829",1250410
1,Hacknet,91.21%,"69,426",414,"127,640",365450
2,Trailmakers,88.44%,"48,654",470,"2,132",585420
3,Baba Is You,95.52%,"34,960",271,"1,533",736260
4,Screeps: World,85.52%,"30,828",65,359,464350
5,SHENZHEN I/O,91.46%,"30,539",41,"1,170",504210
6,while True: learn(),88.95%,"30,483",13,844,619150
7,Opus Magnum,93.86%,"29,664",61,901,558990
8,Infinifactory,90.40%,"27,420",16,471,300570
9,Human Resource Machine,90.12%,"21,347",14,778,375820
10,TIS-100,92.61%,"21,035",17,493,370360
11,Mars Horizon,81.35%,"17,085",412,"2,525",765810
12,The Pedestrian,93.21%,"14,261",4,170,466630
13,7 Billion Humans,88.57%,"13,017",81,715,792100
14,EXAPUNKS,90.06%,"12,693",9,764,716490
15,The Gardens Between,89.26%,"10,972",1,138,600990
16,Peekaboo,76.39%,"10,684",5,"1,499",1048100
17,Main Assembly,83.77%,"10,671",31,295,1078920
18,GLADIABOTS - AI Combat Arena,85.96%,"10,586",4,284,871930
20,LYNE,92.90%,"8,552",8,239,266010
21,The Bridge,84.90%,"8,411",4,"1,015",204240
22,The Dream Machine: Chapter 1 & 2,84.46%,"8,378",9,864,94300
23,SpaceChem,88.62%,"8,004",20,"1,962",92800
24,Hook,93.89%,"7,608",1,261,367580
25,Killer: Infected One of Us,50.20%,"7,094",1,240,1453840
26,Cave Quest,82.44%,"7,034",0,9,1213570
27,Stone Story RPG,84.70%,"6,865",14,739,603390
28,Mechanica,82.90%,"6,808",3,129,1226990
29,Lightmatter,87.35%,"6,437",5,396,994140
30,Suicide Guy Deluxe Edition,81.50%,"6,159",1,20,1583740
31,Clue/Cluedo: The Classic Mystery Game,82.35%,"5,719",75,355,794800
32,The Tiny Bang Story,84.81%,"5,501",16,"164,840",96000
33,LogicBots,74.99%,"5,346",0,56,290020
34,klocki,93.33%,"5,213",1,438,499440
36,Escape Room - Der kranke Kollege,86.91%,"4,945",233,401,1301720
37,Trader Life Simulator,79.55%,"4,811",50,787,1415660
38,Europa Universalis III Complete,79.81%,"4,548",75,"1,315",25800
39,Learning Factory,76.62%,"4,454",4,70,1150090
40,Tailwind,73.20%,"4,089",0,5,674800
41,Blockicker,68.75%,"3,898",0,5,1337080
42,BORIS THE ROCKET,86.02%,"3,844",0,40,1329080
43,Nemezis: Mysterious Journey III,60.06%,"3,618",4,72,986350
44,OnlyFuck - RuRu's Adventures,62.53%,"3,605",3,204,1569590
45,Beach Restaurant,47.19%,"3,358",0,5,769440
46,Filament,86.57%,"3,306",16,279,1137350
47,Hexcells,93.04%,"3,271",6,384,265890
48,World Puzzle,33.02%,"2,994",0,2,1352000
49,Infinitode 2 - Infinite Tower Defense,81.86%,"2,870",117,"1,022",937310
50,The Light Remake,84.37%,"2,859",2,58,1077520
51,Felix The Reaper,69.82%,"2,772",1,115,919410
52,Haven Moon,73.55%,"2,735",2,86,493720
53,Evan's Remains,86.55%,"2,700",1,66,1110050
54,Hello Neighbor: Hide and Seek,77.85%,"2,685",0,37,960420
55,Let's Go Nuts!,74.63%,"2,634",0,6,848230
56,Brain Break,75.93%,"2,615",0,15,1459360
58,Murder by Numbers,83.02%,"2,544",13,319,1140290
59,Relicta,68.47%,"2,508",9,75,941570
60,Comet 64,71.19%,"2,359",4,81,1397290
61,迷雾之夏-The Vigilant Villa,76.72%,"2,316",4,479,1254900
62,Alchemist Simulator,71.01%,"2,298",2,92,1105040
63,Hexcells Infinite,92.98%,"2,262",158,304,304410
64,Paper Beast,88.80%,"2,139",0,36,1232570
65,Lucky day,55.69%,"2,097",0,2,1686900
68,Toodee and Topdee,86.78%,"2,036",15,72,1303950
69,Revhead,78.77%,"2,032",7,74,589760
70,Cyber Warrior,-,"1,900",0,1,726980
71,Last Room,63.60%,"1,858",13,180,1334010
72,Fantastic Contraption,72.64%,"1,851",0,91,386690
73,Pictopix,90.10%,"1,810",60,209,568320
74,Happy Puzzle,81.37%,"1,790",0,114,1548820
75,Munin,78.23%,"1,759",2,155,281750
76,Quantum Protocol,84.64%,"1,721",8,94,1328530
77,Lockdown Lewd UP! ❤️ New Hope Edition,74.61%,"1,684",0,23,1353900
78,Marble World,85.64%,"1,679",25,124,1491340
79,Terminal squad: Sentinel,62.05%,"1,626",1,3,1118050
80,Mad Experiments: Escape Room,76.51%,"1,608",5,58,1201550
82,Memorrha,59.59%,"1,576",0,37,954080
83,Doors,61.01%,"1,541",0,134,395350
84,Sokobond,85.94%,"1,537",1,81,290260
85,Wordle,80.28%,"1,509",9,193,1334000
86,Little Big Adventure 2,90.03%,"1,491",5,29,398000
87,Hive,80.94%,"1,468",3,801,251210
89,One Dreamer: Prologue,89.65%,"1,456",0,45,1274140
90,Catyph: The Kunci Experiment,65.51%,"1,452",0,8,396870
91,Hunger in Paradise,55.69%,"1,449",1,2,1642350
92,uFactory,70.44%,"1,435",1,15,923710
93,Neon Noodles - Cyberpunk Kitchen Automation,79.58%,"1,428",0,8,990900
94,I hate this game,88.19%,"1,426",4,84,976010
95,Shift Quantum - A Cyber Noir Puzzle Platformer,81.42%,"1,418",0,99,700520
96,vrkshop,76.81%,"1,412",2,20,1344530
97,Billionaire Lovers,90.81%,"1,344",7,"1,352",1578860
98,Deleveled,75.66%,"1,317",1,150,1045580
99,BitVault,81.66%,"1,312",0,4,1245810
