,Name,Rating,Followers,Online,Peak,id
0,Stellaris,86.01%,"407,760","14,798","68,602",281990
1,Hearts of Iron IV,90.59%,"272,238","36,323","46,806",394360
2,Sid Meier's Civilization® V,94.95%,"178,884","19,321","91,363",8930
3,Europa Universalis IV,84.74%,"165,747","22,702","48,165",236850
4,Crusader Kings II,88.54%,"113,794","3,480","141,439",203770
5,Tropico 6,84.92%,"102,892","1,315","15,294",492720
6,Medieval Kingdom Wars,75.35%,"54,342",13,549,499660
7,Age of History II,83.18%,"42,903","1,130","2,206",603850
8,Rebel Inc: Escalation,79.48%,"42,333",82,"1,034",1088790
9,Imagine Earth,76.62%,"42,179",24,327,280720
10,Victoria 3,-,"40,276",0,7,529340
11,Total War: ROME REMASTERED,67.88%,"29,800",925,"18,526",885970
12,Victoria II,89.62%,"28,355","1,076","3,419",42960
13,Renowned Explorers: International Society,88.36%,"27,898",11,915,296970
14,ENDLESS™ Space - Definitive Edition,78.40%,"27,613",92,"31,089",208140
16,HighFleet,83.08%,"18,087",796,"1,709",1434950
18,Democracy 4,81.47%,"13,967",53,699,1410710
19,The Battle of Polytopia,90.93%,"12,307",118,966,874390
20,Pax Nova,58.43%,"12,005",0,201,804850
22,Call of War: World War 2,63.14%,"11,366",294,773,672680
23,First Strike: Classic,81.56%,"10,901",4,159,587000
24,Stellar Monarch,72.61%,"10,474",6,50,446000
25,Star Dynasties,66.93%,"10,229",3,292,1194590
26,Realpolitiks,61.34%,"10,213",12,"1,148",553260
28,Interstellaria,55.68%,"8,464",0,952,280360
29,The Shrouded Isle,68.33%,"8,365",12,226,501320
30,Sid Meier's Civilization® III Complete,85.89%,"7,883","1,247","4,600",3910
31,Computer Tycoon,78.39%,"6,811",2,74,686680
32,Six Ages: Ride Like the Wind,76.80%,"6,706",4,175,881420
33,Base One,47.67%,"6,627",19,464,1471040
34,Sovereignty: Crown of Kings,48.68%,"5,944",1,219,312430
35,DEFCON,83.13%,"5,901",17,"3,474",1520
36,Rogue State Revolution,76.81%,"5,880",15,295,1145340
38,Star Sonata 2,67.68%,"5,496",13,170,304690
39,Crisis in the Kremlin,80.17%,"5,468",11,"3,095",599750
41,Marble Age,79.37%,"5,307",2,259,346810
42,Strategy & Tactics: Dark Ages,58.88%,"5,262",1,907,508300
43,Outscape,74.06%,"4,798",0,260,552600
44,The Life and Suffering of Sir Brante — Chapter 1&2,92.70%,"4,524",9,246,1460090
45,CONFLICT OF NATIONS: WORLD WAR 3,68.22%,"3,972",321,577,784950
46,Supremacy 1914: World War 1,67.85%,"3,824",161,551,979920
47,Sins of a Solar Empire: Trinity®,72.35%,"3,824",18,957,201290
48,Galactic Civilizations® II: Ultimate Edition,72.46%,"3,452",26,"3,946",202200
49,Precipice,76.57%,"3,308",0,61,951670
50,Illyriad - Grand Strategy MMO,62.82%,"3,169",7,164,559310
51,Halcyon 6: Starbase Commander (LIGHTSPEED EDITION),75.55%,"3,142",18,420,651660
53,Power & Revolution 2020 Edition,63.78%,"2,856",111,296,1379930
54,China: Mao's legacy,86.29%,"2,824",59,"2,199",950740
55,PRINCIPIA: Master of Science,67.93%,"2,640",3,170,491470
56,Arms Race - TCWE,64.17%,"2,567",0,7,583590
58,Lux Delux,73.02%,"2,252",18,259,341950
59,Lawgivers,78.55%,"2,235",3,43,683940
60,NationWar2:Chronicle,77.29%,"2,143",21,53,1005460
62,Ostalgie: The Berlin Wall,86.34%,"1,971",8,"2,548",774091
64,The Last Sovereign,88.64%,"1,755",24,72,951830
65,Tales of a Spymaster,57.73%,"1,595",0,9,530110
66,XO,81.68%,"1,572",0,29,399720
73,Palais de Reine,77.66%,"1,043",1,36,1023700
74,Intelligence Trader,38.24%,979,0,9,885100
75,KingSim,81.43%,950,12,32,1146170
76,4th Generation Warfare,54.67%,920,0,32,1204230
77,Galactic Civilizations® I: Ultimate Edition,47.34%,898,2,191,214150
78,Pro Wrestling Sim,83.57%,871,16,55,1157700
79,Shadows Behind the Throne 2,74.03%,870,1,10,1511830
80,Divided Reigns,78.76%,859,2,30,1139160
81,Age of Viking Conquest,58.79%,819,1,15,792930
82,The Cold War Era,59.68%,807,0,9,504280
84,Lux Alliance,68.41%,762,5,21,595660
85,Anthropomachy,56.45%,738,0,17,1018270
86,Reiner Knizia Yellow & Yangtze,78.90%,730,4,18,965610
87,Rules of The Mafia: Trade & Blood,18.52%,620,0,22,996830
88,Girls' civilization 2,54.33%,593,1,10,1354690
90,Balanced Politics Simulator,33.02%,503,0,6,1016710
91,Space Trader: Merchant Marine,49.32%,451,0,67,11240
92,Rising Constellation,73.19%,443,2,24,1393660
93,Taxer Inc,60.55%,437,0,15,1300610
94,Conquest of the New World,80.36%,431,8,24,674190
96,Epic City Builder 4,63.89%,409,1,3,1503580
98,NationWar:Annals,60.52%,395,9,77,1494960
99,Eormor: Shattered Lands,55.14%,365,0,3,1098640
