,Name,Rating,Followers,Online,Peak,id
0,The Witcher® 3: Wild Hunt,97.05%,"786,023","13,621","103,329",292030
1,Baldur's Gate 3,86.61%,"353,419","2,229","73,980",1086940
2,Kingdom Come: Deliverance,80.72%,"348,750","2,227","96,069",379430
3,This War of Mine,93.16%,"344,261",653,"9,503",282070
4,Frostpunk,89.70%,"331,686","5,832","29,361",323190
6,Undertale,95.23%,"307,354",829,"10,484",391540
7,Assassin's Creed® Odyssey,87.59%,"277,672","2,903","62,069",812140
8,Life is Strange - Episode 1,95.03%,"255,042",363,"18,260",319630
9,Dying Light 2 Stay Human,-,"222,355",0,34,534380
10,Insurgency: Sandstorm,83.26%,"211,997","2,305","14,606",581320
11,Crusader Kings III,91.87%,"178,033","12,655","98,872",1158310
12,Foundation,83.89%,"169,502",528,"4,088",690830
13,The Outer Worlds,83.86%,"168,639","1,176","20,349",578650
14,Disco Elysium - The Final Cut,92.42%,"163,866","1,692","8,081",632470
15,GreedFall,77.26%,"162,378",313,"16,345",606880
16,ELEX,73.17%,"157,235",674,"22,969",411300
17,Vampyr,74.29%,"146,859",168,"16,120",427290
18,Vampire: The Masquerade® - Bloodlines™ 2,-,"144,041",0,10,532790
19,OCTOPATH TRAVELER™,83.84%,"135,832",245,"6,177",921570
20,Dawn of Man,84.96%,"127,454",806,"23,864",858810
21,STAR WARS™: The Old Republic™,88.79%,"118,513","9,226","34,210",1286830
22,Life is Strange: Before the Storm,91.72%,"117,404",108,"16,209",554620
23,Pillars of Eternity II: Deadfire,85.08%,"117,078",884,"22,724",560130
24,Tyranny,84.52%,"107,272",149,"15,792",362960
25,Pathfinder: Kingmaker - Enhanced Plus Edition,77.24%,"107,172","2,649","22,643",640820
26,Quantum Break,83.74%,"105,279",57,"2,719",474960
27,Tropico 6,84.92%,"102,866",927,"15,294",492720
28,House Party,86.30%,"97,572",236,"1,074",611790
29,Imperator: Rome,56.72%,"96,337",790,"41,945",859580
30,Detroit: Become Human,88.93%,"95,020",556,"7,218",1222140
31,Mass Effect™ Legendary Edition,89.46%,"92,897","6,226","59,817",1328670
33,The Witcher 2: Assassins of Kings Enhanced Edition,88.87%,"89,250",715,"12,884",20920
34,Thronebreaker: The Witcher Tales,89.02%,"85,931",117,"3,371",973760
35,VA-11 Hall-A: Cyberpunk Bartender Action,95.47%,"84,842",71,"1,574",447530
36,Poly Bridge,89.25%,"84,383",105,"4,134",367450
37,Beholder,88.91%,"83,240",154,"2,774",475550
38,Tales from the Borderlands,92.88%,"83,190",18,"8,690",330830
39,Minecraft: Story Mode - A Telltale Games Series,74.05%,"83,042",13,"6,423",376870
40,STEINS;GATE,94.62%,"82,691",61,"1,238",412830
41,Workers & Resources: Soviet Republic,88.87%,"81,987",991,"3,891",784150
42,Game of Thrones - A Telltale Games Series,74.51%,"81,296",7,"6,771",330840
43,Wasteland 3,80.53%,"78,362",651,"24,555",719040
44,Ancestors: The Humankind Odyssey,73.95%,"77,967",147,"3,334",536270
45,Life is Strange 2,82.88%,"74,964",261,"468,717",532210
46,The Technomancer,67.77%,"74,178",5,"2,366",338390
47,Fable Anniversary,81.50%,"73,457",166,"6,186",288470
48,Anno 1800,80.13%,"71,818",291,"25,302",916440
49,Call of Cthulhu®,75.86%,"71,477",48,"3,449",399810
50,Dreamfall Chapters,80.26%,"69,538",16,"1,711",237850
51,Hacknet,91.21%,"69,426",419,"127,640",365450
52,The Stanley Parable,90.46%,"64,685",54,"4,818",221910
53,Pyre,87.74%,"63,813",29,"4,013",462770
54,Solasta: Crown of the Magister,87.93%,"63,680",721,"8,291",1096530
55,The Walking Dead: A New Frontier,77.84%,"63,656",49,"8,278",536220
