,Name,Rating,Followers,Online,Peak,id
0,Gang Beasts,75.42%,"232,178",478,"3,062",285900
1,TEKKEN 7,81.66%,"166,853","3,450","18,966",389730
2,DEAD OR ALIVE 5 Last Round: Core Fighters,64.88%,"65,158",22,"2,827",311730
3,SOULCALIBUR VI,79.34%,"64,911",400,"14,684",544750
4,SENRAN KAGURA ESTIVAL VERSUS,91.42%,"61,014",22,"1,088",502800
5,GrandChase,55.07%,"58,440","13,636","79,883",985810
6,DEAD OR ALIVE 6,70.91%,"50,452",61,"2,107",838380
7,Heroes of the Three Kingdoms 8,54.64%,"46,390",161,"25,160",875210
8,THE KING OF FIGHTERS XIV STEAM EDITION,80.00%,"41,780",28,"1,197",571260
9,Hellish Quart,90.25%,"38,104",22,755,1000360
10,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,87.60%,"34,016",68,"4,713",234670
11,Clone Drone in the Danger Zone,94.21%,"22,821",584,"1,944",597170
12,GORN,91.34%,"21,793",41,479,578620
13,Toribash,86.53%,"18,544",106,"2,724",248570
15,Saint Seiya: Soldiers' Soul,88.61%,"16,845",16,499,348710
16,Mitsurugi Kamui Hikae,78.09%,"11,839",4,188,263620
17,Garbage: Hobo Prophecy,73.17%,"10,534",4,888,1494440
18,Fight Angel Special Edition,74.83%,"10,424",6,130,1041840
19,Galaxy on Fire 2™ Full HD,72.43%,"10,212",4,605,212010
20,Florensia,63.53%,"10,050",23,385,384030
21,King of Crabs,76.98%,"9,465",132,"1,876",1273710
22,MY HERO ONE'S JUSTICE 2,85.61%,"9,444",46,784,1058450
24,ELDERBORN,82.88%,"8,576",36,391,727850
25,Override: Mech City Brawl,74.46%,"8,350",1,159,709440
26,Fight Crab,85.54%,"7,137",1,263,1213750
27,Magical Battle Festa,61.44%,"6,556",0,117,292480
28,Nemesis: Race Against The Pandemic,43.47%,"5,351",0,3,1497180
29,Onee Chanbara ORIGIN,66.32%,"4,940",2,234,1232460
32,The Thrill of the Fight - VR Boxing,91.56%,"4,041",20,59,494150
33,武林志2 (Wushu Chronicles 2),47.37%,"3,919",46,386,1465890
34,CosmicBreak Universal,57.81%,"3,887",52,"2,642",1140620
35,Boomerang Fu,89.36%,"3,832",37,171,965680
36,Shuyan Saga™,79.72%,"3,675",0,25,594680
37,Boreal Blade,64.01%,"3,599",0,110,598780
38,Fight of Animals,87.66%,"3,508",1,109,1160330
39,Hanako: Honor & Blade,74.67%,"3,482",0,35,349510
40,Cake Bash,80.88%,"3,315",1,49,971690
41,Valgrave: Immortal Plains,79.21%,"3,031",0,168,1076500
42,SMASH LEGENDS,62.49%,"2,739",240,"1,526",1352080
43,TOUHOU SKY ARENA MATSURI CLIMAX,82.42%,"2,728",1,51,1086860
45,Override 2: Super Mech League,62.71%,"2,245",0,62,1329790
46,LASTFIGHT,71.62%,"2,091",0,32,443450
47,Project Morpheus: Prologue,78.32%,"2,083",0,74,1414430
48,Skeletal Avenger,81.42%,"1,907",0,39,1277500
49,Kinky Fight Club,67.41%,"1,805",2,35,1237530
50,A Gummy's Life,73.73%,"1,658",0,26,585190
51,Kandidatos,86.86%,"1,574",33,289,1395560
52,J15 Jet Fighter VR (歼15舰载机),50.86%,"1,497",0,5,880200
53,Fighting Clans,56.14%,"1,433",0,7,1227360
55,Lugaru HD,73.63%,"1,415",0,12,25010
57,Strength of the Sword ULTIMATE,73.38%,"1,150",0,8,419130
60,Age of Gladiators II: Death League,62.29%,"1,081",0,77,639300
61,Wrestling Empire,82.87%,"1,040",56,146,1620340
63,Go All Out,61.11%,"1,018",0,6,759260
64,SUPER DRINK BROS.,80.89%,"1,008",1,108,1460750
65,Firelight Fantasy: Phoenix Crew,70.81%,943,0,10,1595000
66,Firelight Fantasy: Force Energy,67.20%,939,0,7,1619330
68,Firelight Fantasy: Resistance,77.85%,890,0,12,1558490
69,Kindred Fates: Combat Arena Alpha,72.42%,807,0,9,1351510
71,Demon Skin,75.56%,784,1,24,1522140
72,Brimstone Brawlers - Early Access,81.52%,725,1,35,780270
73,Trailer Shop Simulator,68.85%,714,1,32,1553230
74,Action Arcade Wrestling,72.25%,707,2,46,1072100
76,Karateka,65.45%,661,0,52,217270
77,Bowsette,53.68%,657,1,5,1152120
78,Mighty Fight Federation,78.13%,611,0,18,1096690
80,G.I. Joe: Operation Blackout,55.32%,567,0,9,1432220
82,Gaijin Troubles,63.88%,548,0,4,1179220
83,Sacrifice Your Friends,70.75%,546,0,13,1050160
84,Blaston,84.85%,542,6,21,1427890
86,Cyberpunk SFX,69.33%,517,0,35,1465260
87,Aggressor,58.14%,506,1,13,1619790
88,Fairspace,60.55%,506,0,20,321350
90,Gado Fight,72.35%,433,0,84,1044790
91,隐世神剑传,-,430,0,9,659960
93,Grandiose,51.17%,419,0,11,1504110
95,Urban Fight,90.92%,396,0,19,1638410
96,Dragon Simulator Multiplayer,70.08%,394,0,10,948320
97,Fightworld,56.60%,388,0,41,849090
98,CLOCKWORK PUSSY,37.49%,382,3,7,1576500
99,Amalgam,84.56%,364,3,28,1389950
