,Name,Rating,Followers,Online,Peak,id
0,Subverse,80.55%,"174,461",53,"25,318",1034140
1,She Will Punish Them,90.23%,"86,348",533,"15,711",1213740
2,コイカツ！ / Koikatsu Party,89.76%,"58,935",204,367,1073440
3,Monster Girl Island: Prologue,93.74%,"51,807",61,"1,538",943700
4,Breeders of the Nephelym: Alpha,88.20%,"41,261",212,"2,702",1161770
5,Lust from Beyond,79.30%,"37,564",30,"1,310",1035120
6,Material Girl,89.13%,"33,329",11,"3,167",644570
7,Carnal Instinct,74.02%,"32,173",31,293,1495320
8,Being a DIK - Season 1,93.29%,"27,494",167,"1,185",1126320
9,Cloud Meadow,78.53%,"25,010",83,527,1223750
10,HuniePop 2: Double Date,88.39%,"21,313",238,"15,388",930210
11,Cute Honey,86.75%,"20,127",10,"1,160",1347430
12,Succubus Cafe,81.28%,"19,968",15,352,1520500
13,Rebirth:Mr Wang,77.97%,"19,082",3,"1,812",1394800
14,Super Naughty Maid 2,83.90%,"18,336",5,93,1097880
15,Futa Fix Dick Dine and Dash,84.80%,"16,890",21,399,1173400
16,Sex with the Devil,71.69%,"16,817",22,615,1202690
17,VR Paradise,80.73%,"15,973",19,971,896890
18,Meltys Quest,91.83%,"15,940",21,463,723090
19,Robolife-Days with Aino,87.30%,"15,775",26,543,1477810
20,House of Detention,88.93%,"15,619",6,491,1293230
21,DEEP SPACE WAIFU,93.30%,"15,617",3,268,639790
22,Amorous,80.03%,"15,372",67,438,778700
23,Man of the House,88.22%,"15,300",122,612,1148150
24,Hentai Crush,83.93%,"15,239",2,"1,166",1003520
25,Evenicle,88.62%,"14,929",34,266,955560
27,City of Broken Dreamers: Book One,88.79%,"14,767",42,386,1358250
28,PerfectLover,85.79%,"14,715",4,179,1181140
29,Venture Seas,77.44%,"14,583",28,335,1096520
30,Princess & Conquest,85.92%,"13,984",68,212,1083880
31,Love Vibe: Aria,54.37%,"13,890",0,38,884320
32,Last Evil,90.01%,"13,528",47,734,823910
33,BOOBS SAGA: Prepare To Hentai Edition,75.07%,"12,697",3,183,726360
34,Acting Lessons,92.81%,"12,692",50,263,1045520
35,SWORD x HIME,76.03%,"12,636",7,442,1384630
36,College Kings - Act I,89.56%,"11,967",218,"1,642",1463120
37,Agony UNRATED,64.16%,"11,882",8,522,879420
38,YUME,54.80%,"11,676",3,"1,691",1471200
39,TroubleDays,85.53%,"11,217",2,256,1171270
40,NinNinDays,87.66%,"10,955",1,240,1075980
41,Booty Calls,53.87%,"10,825",118,367,823550
42,Seed of the Dead,76.13%,"10,679",3,110,958480
43,Corruption of Champions II,89.80%,"10,366",152,423,1292690
44,Hentai Girl,90.62%,"10,206",14,450,878750
45,Seeds of Chaos,77.63%,"10,010",11,133,1205950
46,Negligee: Love Stories (adult ver),66.59%,"9,820",0,139,467680
47,Devil Girl,80.98%,"9,776",12,132,1466180
48,Wish,88.19%,"9,774",10,270,1207780
49,Hentai Shooter 3D,74.72%,"9,661",1,"8,305",914690
50,Midnight Castle Succubus DX,88.35%,"9,622",6,236,1299320
51,Tower and Sword of Succubus,82.95%,"9,474",12,313,1327080
52,Hunt and Snare,76.38%,"9,327",14,60,944330
53,Hentai Girl in Space,47.22%,"9,134",0,6,981910
54,Spooky Starlets: Movie Monsters,68.13%,"9,026",4,190,1101580
56,球球少女/Pinball Girls,78.27%,"9,013",1,639,1349120
57,Jerez's Arena,78.77%,"8,813",3,215,1333360
58,Eroico,84.86%,"8,744",2,40,947600
59,Mirage,65.20%,"8,641",5,29,1245780
60,Cockwork Industries Complete,77.27%,"8,614",11,245,1172940
61,Snow Daze: The Music of Winter Special Edition,88.28%,"8,465",19,115,852480
62,Yogurt!,73.68%,"8,412",7,225,1390740
63,S.H.E.L.T.E.R. - An Apocalyptic Tale,83.79%,"8,318",25,174,1394100
64,Cyber City,24.54%,"8,244",0,135,1061930
65,Hentai Police,79.78%,"8,192",1,108,1198730
66,Perky Little Things,85.41%,"8,120",4,221,811890
67,love wish 2,76.87%,"8,091",0,390,1174690
68,Sexual Void,74.87%,"8,043",6,136,1310910
69,Lust Epidemic,84.25%,"7,913",26,528,1008020
70,Cat's Kiss,85.44%,"7,882",7,175,1409770
71,SinVR,58.41%,"7,694",2,41,966870
72,Fetish Locator Week One - Extended Edition,84.71%,"7,653",25,331,1360980
73,Third Crisis,87.32%,"7,591",40,116,1260820
74,Super Naughty Maid,69.39%,"7,496",0,22,1083650
75,Hentai Asmodeus,79.68%,"7,371",2,676,1147510
76,"OPPAI Academy Big, Bouncy, Booby Babes!",83.59%,"7,227",9,124,1590600
77,Manor of Mystic Courtesans,76.21%,"7,126",1,60,1180330
78,Fantasy Girl,91.15%,"6,992",1,204,1064730
79,Kaede the Eliminator / Eliminator 小枫,81.73%,"6,987",1,92,1122040
80,ISEKAI QUEST,84.82%,"6,965",160,495,1268110
81,LEWDAPOCALYPSE Hentai Evil,91.59%,"6,857",14,180,1271710
82,BoneTown: The Second Coming Edition,74.78%,"6,519",36,446,288080
83,Queen's Glory,69.98%,"6,508",4,53,1271190
84,Onii-chan Asobo,68.16%,"6,287",0,47,954610
85,Lust Theory Season 1,81.46%,"6,285",472,800,1607130
86,Porno Studio Tycoon,52.95%,"6,225",1,75,535490
87,Escape Dungeon,75.01%,"6,151",5,214,1259740
88,Sisterly Lust,87.76%,"5,946",36,272,1224160
89,Hentai Girl Division,78.72%,"5,934",1,371,1113680
90,Friendship with Benefits,90.80%,"5,881",23,272,1299370
91,Lust from Beyond: Prologue,84.10%,"5,857",2,225,1170820
92,Lust from Beyond: Scarlet,77.83%,"5,856",2,341,1401680
93,Miss Furry,79.74%,"5,847",1,95,1566060
94,Broke Girl | 負債千金,73.18%,"5,795",0,67,1077580
95,Space Rescue: Code Pink,75.66%,"5,678",9,177,1407210
96,Rabbit Burn,84.59%,"5,676",2,90,991600
97,Maid Mansion,77.95%,"5,668",11,253,562350
98,Hentai Girl Linda,90.91%,"5,603",4,393,927890
99,Harem Hunter: Sex-ray Vision,62.73%,"5,525",2,53,1490250
