,Name,Rating,Followers,Online,Peak,id
0,PAYDAY 2,87.79%,"7,544,201","27,825","247,709",218620
1,Deep Rock Galactic,95.39%,"1,346,099","4,708","36,224",548430
2,Warframe,89.62%,"755,251","40,779","189,837",230410
3,Dying Light: Enhanced Edition,93.98%,"603,769","4,106","45,876",239140
4,Destiny 2,84.10%,"498,711","43,457","292,513",1085660
5,Baldur's Gate 3,86.61%,"353,419","2,208","73,980",1086940
6,World of Warships,80.32%,"321,709","5,518","379,096",552990
7,Sea of Thieves,89.02%,"296,832","12,077","66,906",1172620
8,GTFO,86.64%,"236,110",482,"5,247",493520
10,KurtzPel,62.65%,"214,588",345,"11,937",844870
11,Warhammer: Vermintide 2,81.50%,"199,384","3,691","73,316",552500
12,MORDHAU,81.35%,"171,629","1,481","60,204",629760
13,The Outer Worlds,83.86%,"168,639","1,173","20,349",578650
14,ATLAS,46.77%,"166,019","1,203","58,939",834910
15,Temtem,85.88%,"139,665",960,"39,572",745920
17,Bless Online,38.43%,"111,351",2,"34,392",681660
18,Rising World,80.77%,"111,264",50,486,324080
19,Absolver,68.56%,"108,540",47,"18,921",473690
20,Neverwinter,76.57%,"105,431","2,068","14,866",109600
21,Crossout,75.81%,"98,196","2,326","9,701",386180
22,Lost Castle / 失落城堡,86.44%,"96,912",74,"4,701",434650
23,Bless Unleashed,51.88%,"96,298","25,437","76,342",1254120
25,Infestation: The New Z,52.56%,"94,858",256,"14,437",555570
26,Marvel's Avengers,65.40%,"91,101","1,391","31,165",997070
27,Galactic Civilizations III,75.01%,"87,606",410,"6,297",226860
28,Alien Swarm,92.47%,"86,518",72,"60,467",630
29,Counter-Strike Nexon: Studio,65.27%,"80,531",370,"10,007",273110
30,Ancestors: The Humankind Odyssey,73.95%,"77,967",144,"3,334",536270
31,EVE Online,74.57%,"77,112","3,502","10,627",8500
32,Contagion,70.61%,"73,462",50,"7,624",238430
33,Next Day: Survival,62.13%,"72,801",15,"4,511",519190
34,Lost Ark,91.03%,"72,264",0,"15,774",1599340
35,Last Oasis,65.16%,"71,438","2,087","33,287",903950
36,The Ascent,75.74%,"69,539","3,098","14,013",979690
37,Night of the Dead,78.36%,"68,463",584,"4,434",1377380
38,Dead Frontier 2,69.91%,"68,291",520,"10,101",744900
40,Volcanoids,82.05%,"65,655",86,"1,722",951440
42,Albion Online,77.98%,"62,777","7,359","13,363",761890
43,Strange Brigade,81.51%,"62,314",44,"1,956",312670
44,GrandChase,55.07%,"58,440","12,653","79,883",985810
45,Dungeons & Dragons: Dark Alliance,50.41%,"56,437",122,"9,912",623280
46,Star Trek Online,76.87%,"56,129","1,401","7,910",9900
47,Monster Hunter Stories 2: Wings of Ruin,75.99%,"55,704","3,057","34,995",1277400
49,"Warhammer 40,000: Eternal Crusade",49.88%,"54,084",31,"5,230",375230
