,Name,Rating,Followers,Online,Peak,id
0,Hollow Knight,95.74%,"267,383","6,559","11,992",367520
1,Cuphead,94.74%,"255,988",879,"19,026",268910
2,Hades,97.40%,"211,213","5,812","37,749",1145360
3,鬼谷八荒,86.35%,"170,182","1,244","184,171",1468810
5,GRIS,94.79%,"113,596",57,959,683320
6,Armello,80.42%,"90,904",199,"3,614",290340
7,Spiritfarer®,93.22%,"75,677",327,"4,594",972660
8,Pyre,87.74%,"63,813",32,"4,013",462770
9,ENDER LILIES: Quietus of the Knights,92.05%,"63,603",344,"6,332",1369630
10,Wildermyth,92.25%,"56,342","1,162","8,106",763890
11,Skullgirls 2nd Encore,91.97%,"54,613",434,"4,016",245170
12,Griftlands,92.45%,"53,119",304,"7,693",601840
13,Child of Light,90.22%,"49,305",12,"2,696",256290
14,The Banner Saga 2,86.14%,"47,302",46,"1,924",281640
15,OMORI,96.22%,"42,811","1,054","3,166",1150690
16,Indivisible,71.21%,"41,847",33,"2,883",421170
17,Jotun: Valhalla Edition,76.37%,"41,836",9,"27,501",323580
18,"Gremlins, Inc.",83.56%,"41,507",135,"1,716",369990
19,Samorost 3,91.19%,"39,832",16,468,421120
20,Dorfromantik,93.69%,"39,479",657,"7,101",1455840
21,The Henry Stickmin Collection,96.46%,"39,425",233,"2,812",1089980
22,Fran Bow,93.94%,"36,204",69,447,362680
23,Sundered®: Eldritch Edition,80.07%,"35,378",24,708,535480
24,Ken Follett's The Pillars of the Earth,89.56%,"35,129",23,374,234270
25,Streets of Rage 4,89.57%,"34,794",686,"6,438",985890
26,The Banner Saga,86.98%,"34,764",67,"4,476",237990
27,Gorogoa,94.28%,"34,581",3,813,557600
28,Hidden Folks,93.52%,"29,422",22,763,435400
29,Eastern Exorcist,82.38%,"26,893",30,"2,206",1120810
30,Sally Face - Episode One,93.42%,"26,602",161,"2,107",541570
31,Scythe: Digital Edition,85.89%,"25,909",110,"1,237",718560
32,We Need To Go Deeper,83.86%,"25,709",74,879,307110
33,The Swords of Ditto: Mormo's Curse,60.39%,"24,955",6,"1,893",619780
35,NEKOPARA Vol. 4,94.32%,"23,795",37,"2,529",1406990
36,Seasons after Fall,78.05%,"23,135",3,304,366320
37,Shantae: Half-Genie Hero,86.55%,"22,338",7,964,253840
38,Machinarium,92.70%,"21,187",18,"1,279",40700
39,DORAEMON STORY OF SEASONS,80.34%,"20,627",15,"1,478",965230
40,Passpartout: The Starving Artist,82.62%,"20,598",27,481,582550
41,Blightbound,66.91%,"20,410",24,"1,439",1263070
42,Deponia: The Complete Journey,84.64%,"19,902",54,"13,321",292910
43,Firework,95.62%,"19,481",6,"3,746",1288310
44,Wonder Boy: The Dragon's Trap,82.57%,"19,236",0,236,543260
45,Draw & Guess,83.34%,"19,037","1,145","41,766",1483870
46,The Banner Saga 3,78.48%,"18,561",38,"1,428",485460
47,THE LONGING,88.86%,"17,683",67,"1,063",893850
49,Cris Tales,60.27%,"17,004",22,348,1079830
50,Nebuchadnezzar,74.06%,"16,801",17,"1,113",1157220
51,Deponia Doomsday,83.24%,"16,667",24,"2,644",421050
52,Forgotton Anne,86.73%,"16,553",2,143,542050
53,We. The Revolution,76.13%,"16,160",11,822,736850
54,Creaks,89.94%,"15,210",7,286,956030
55,Unruly Heroes,73.62%,"15,189",4,188,780350
56,Wingspan,90.94%,"14,993",293,855,1054490
57,12 is Better Than 6,82.07%,"14,751",5,"4,517",410110
59,Botanicula,92.51%,"13,931",8,428,207690
60,Neverending Nightmares,73.06%,"13,171",0,146,253330
61,Summer in Mara,74.27%,"13,143",24,"1,003",962580
62,Raji: An Ancient Epic,84.72%,"13,080",2,219,730390
63,Carto,93.08%,"13,078",147,929,1172450
