,Name,Rating,Followers,Online,Peak,id
0,Europa Universalis IV,84.74%,"165,520","17,240","48,165",236850
1,The Witness,83.29%,"115,785",146,"6,185",210970
3,Chernobylite,79.00%,"85,920",709,"3,944",1016800
4,Obduction,77.54%,"48,755",15,"1,915",306760
5,The Age of Decadence,79.24%,"33,609",24,703,230070
6,Legends of Ellaria,61.74%,"33,095",2,61,621070
7,Death Coming/死神来了,87.12%,"26,007",5,"1,034",705120
8,Her Story,87.00%,"25,505",7,663,368370
9,Colony Ship: A Post-Earth Role Playing Game,78.99%,"25,133",11,380,648410
10,Legend of Mana,75.88%,"18,774",44,"1,479",1175830
11,HighFleet,83.09%,"17,830",781,"1,709",1434950
12,Antichamber,92.65%,"17,817",15,"2,369",219890
13,Manifold Garden,91.77%,"15,596",12,326,473950
14,Idol Manager,83.92%,"14,462",704,"2,930",821880
15,Paradise Lost,71.29%,"12,455",2,367,982720
18,Haydee 2,86.66%,"10,751",8,326,1444650
20,Vagrus - The Riven Realms,80.25%,"10,323",6,131,909660
21,Wrench,85.85%,"10,254",13,150,936720
23,Reventure,91.80%,"9,755",28,"1,105",900270
24,TasteMaker: Restaurant Simulator,84.39%,"9,262",17,814,1289340
25,Rebel Galaxy Outlaw,64.13%,"8,869",23,318,910830
26,Teslagrad,81.79%,"8,639",3,169,249590
27,The Letter - Horror Visual Novel,84.35%,"8,383",13,209,460430
28,S.H.E.L.T.E.R. - An Apocalyptic Tale,83.79%,"8,318",26,174,1394100
29,Lunch Lady,79.59%,"7,244",150,"1,135",1571440
30,DreadOut 2,71.82%,"7,111",4,374,945710
31,The Crown of Leaves,91.25%,"6,952",1,270,604330
32,Pilgrims,90.51%,"6,774",3,124,1049280
34,Romancing SaGa 3™,74.82%,"6,653",30,"1,336",952540
35,BoneTown: The Second Coming Edition,74.78%,"6,519",31,446,288080
36,Tesla Effect: A Tex Murphy Adventure,82.90%,"6,274",2,494,261510
37,Element Space,57.84%,"6,048",2,66,887370
40,Serin Fate,80.52%,"5,649",3,127,1070860
41,Espire 1: VR Operative,53.34%,"5,642",3,192,669290
42,InnerSpace,61.30%,"5,468",2,46,347000
43,Anodyne,79.87%,"5,200",1,387,234900
44,Even the Ocean,78.84%,"5,152",1,19,265470
45,College Bound - Episode 1,82.14%,"4,679",98,567,1630080
49,LOW-FI,-,"4,174",0,1,395830
50,VR HOT,62.44%,"4,145",14,35,1571340
51,The Viking Way,50.94%,"4,005",0,95,1377540
52,Romancing SaGa 2™,61.54%,"3,963",4,189,606370
53,A Monster's Expedition,90.25%,"3,908",36,254,1052990
54,BORIS THE ROCKET,86.02%,"3,844",0,40,1329080
55,Ashwalkers,76.53%,"3,626",0,75,1273690
57,Horizon's Gate,89.06%,"3,442",6,133,1224290
58,Five Dates,84.57%,"3,401",5,257,1353270
61,Super Win the Game,83.27%,"3,306",2,"3,001",310700
62,JumpJet Rex,82.04%,"3,291",0,66,329460
63,Epitasis,69.94%,"3,206",0,34,662240
64,Euphoria: Supreme Mechanics,82.91%,"3,065",0,395,1283500
65,Lucifer Within Us,71.80%,"3,032",2,90,717560
66,Strikey Sisters,85.70%,"2,995",0,44,643880
68,Poi,85.21%,"2,936",1,146,401810
69,Consummate:Missing World 寇莎梅特：困世迷情,89.18%,"2,875",0,211,630060
70,China: Mao's legacy,86.29%,"2,825",227,"2,199",950740
73,墨心：波云诡船,86.35%,"2,684",1,314,1424720
74,ECHOPLEX,74.90%,"2,654",0,6,611060
75,Tenderfoot Tactics,81.70%,"2,582",2,64,1061610
76,Semblance,82.24%,"2,472",1,36,700160
77,Heretic Operative,74.96%,"2,442",1,31,958740
78,Asguaard,75.95%,"2,412",0,16,332380
79,Love Stories: Sex and the Furry Titty,84.35%,"2,386",6,68,1532770
80,The Other 99,46.76%,"2,366",0,19,415010
81,Willy Morgan and the Curse of Bone Town,83.86%,"2,338",2,74,1097110
82,Burly Men at Sea,62.65%,"2,338",0,32,403290
84,SaGa SCARLET GRACE: AMBITIONS™,72.46%,"2,078",18,317,686720
85,Of Bird and Cage,74.05%,"2,072",1,37,523770
86,Allods Online,66.00%,"2,066",17,370,459160
87,Artifact Adventure,68.57%,"2,002",0,38,359440
89,Ostalgie: The Berlin Wall,86.34%,"1,971",5,"2,548",774091
90,Majotori,91.63%,"1,850",3,32,588730
91,REDO!,80.82%,"1,825",0,10,950300
92,Sentience: The Android's Tale,82.79%,"1,807",5,201,635850
93,Til Nord,75.71%,"1,801",6,49,1490860
95,OUTBUDDIES DX,71.76%,"1,773",2,21,1083310
98,Tiny Lands,86.38%,"1,600",1,132,1354910
