,Name,Rating,Followers,Online,Peak,id
0,Total War™: ROME II - Emperor Edition,78.55%,"130,673","5,810","118,240",214950
1,Total War: ATTILA,78.38%,"121,280","2,386","26,346",325610
2,Ryse: Son of Rome,83.78%,"96,695",105,"3,257",302510
3,Imperator: Rome,56.73%,"96,340",810,"41,945",859580
4,Assassin’s Creed® Brotherhood,87.14%,"42,639",275,"3,848",48190
5,Domina,86.21%,"39,332",48,"3,089",535230
6,The Age of Decadence,79.24%,"33,606",23,703,230070
7,Total War: ROME REMASTERED,67.88%,"29,800",933,"18,526",885970
8,Shieldwall,86.68%,"20,074",91,"1,018",1216320
9,Hegemony III: Clash of the Ancients,73.79%,"16,576",10,251,308173
10,Last Day of Rome,52.61%,"15,401",0,314,1015090
11,Field of Glory: Empires,78.25%,"13,272",43,471,1011390
12,Rome: Total War™ - Collection,91.85%,"13,213",942,"4,413",4760
13,Formata,66.34%,"11,177",6,112,580040
14,Field of Glory II,83.80%,"10,757",31,309,660160
15,Empire Architect,64.05%,"9,783",1,75,593490
17,Hegemony Rome: The Rise of Caesar,58.86%,"6,440",3,250,227060
18,CaesarIA,58.70%,"6,077",3,333,327640
20,Praetorians - HD Remaster,85.11%,"5,343",12,153,1100420
21,Aggressors: Ancient Rome,75.28%,"4,708",3,139,783210
22,Caesar™ 3,85.85%,"4,692",126,434,517790
23,Age of Gladiators,74.59%,"4,117",2,378,442500
24,A Legionary's Life,81.94%,"3,831",16,362,1058430
26,Caesar™ IV,64.71%,"3,182",50,147,517810
27,Grand Ages: Rome,70.25%,"2,657",7,308,23450
28,Age of Gladiators II: Rome,63.57%,"2,643",3,135,783590
30,Demise of Nations,74.58%,"2,489",9,138,338810
31,Rome: Total War™ - Alexander,70.75%,"2,455",29,118,4770
32,Ludus,64.61%,"2,390",3,185,1200230
33,Qvadriga,78.26%,"2,234",2,100,297760
34,Asterix & Obelix XXL 3 - The Crystal Menhir,60.56%,"2,172",4,61,1109690
35,Gladio and Glory,89.10%,"2,143",27,272,1527910
36,Alea Jacta Est,67.60%,"2,114",1,35,313660
37,Gallic Wars: Battle Simulator,59.80%,"1,853",0,20,1067760
38,Imperium Romanum Gold Edition,76.93%,"1,759",7,219,23400
39,Praetorians,75.34%,"1,578",10,56,277460
40,Pax Romana: Romulus,74.59%,"1,531",0,32,1034810
41,Retaliation Path of Rome,-,"1,296",0,1,529070
42,"I, Gladiator",60.91%,"1,247",0,77,339700
43,Europa Universalis: Rome - Gold Edition,64.23%,"1,213",2,117,23420
44,CivCity: Rome,68.41%,"1,164",13,118,3980
45,Orbi Universo,70.64%,903,9,85,1090670
46,Story of a Gladiator,76.85%,808,0,26,848060
48,Mare Nostrvm,76.62%,793,1,13,726630
49,Swords and Sandals 2 Redux,71.57%,762,9,52,649600
50,Glory of Rome,72.86%,729,0,5,1455300
51,Citizen of Rome - Dynasty Ascendant,73.02%,727,3,33,1063790
52,Romopolis,66.29%,556,2,499,471170
53,GLADIUM,72.20%,521,0,16,1118410
55,Legion Gold,78.13%,333,3,20,1284080
56,Roman Way,55.14%,272,0,5,1251840
57,Maiden Maze,52.78%,255,0,3,1412030
59,Cubers: Arena,75.44%,189,0,4,862700
60,CHARIOT WARS,33.24%,155,0,5,365460
61,ArtFormer: Ancient Stories,57.39%,152,0,2,1144090
62,Shield Impact,72.49%,139,0,6,771680
63,Arausio,78.30%,124,1,4,1660480
64,Patched world,50.00%,123,0,3,1228630
65,Gallic Wars: Battle Simulator Prologue,59.43%,111,0,9,1431630
66,Romance of Raskya,62.51%,104,0,4,1593080
67,The Last Roman Village,63.45%,99,0,5,998830
69,Gladia,42.61%,86,0,2,1561350
72,For Sparta,74.00%,57,0,5,1490180
73,Phucker in the Ashes,78.30%,54,0,3,1513530
74,ガリア戦記　雄篇アンナーレス,44.31%,50,0,2,1446830
75,Lyratha: Labyrinth - Survival - Escape,67.93%,50,0,2,1031330
76,Gladiators IDLE,65.67%,46,0,3,1490310
78,罗马之链,55.69%,45,0,4,1304790
81,Historical Games: Chariot Racing,59.42%,33,0,1,1408490
83,VR Travelling in the Roman Empire (VR Rome Time machine travel in history),57.39%,29,0,4,1386530
85,Paper Shakespeare: Cthulhu Coriolanus,-,19,0,1,1082760
86,Victor,-,18,0,1,1551120
88,Fallen Rebellion,59.42%,10,0,1,1501640
91,Fantasy Grounds - Dogs of Hades Intro Pack (Savage Worlds),-,-,-,-,937370
92,Total War: ROME II - Rise of the Republic Campaign Pack,59.42%,-,-,-,850010
93,Total War: ROME II - Empire Divided Campaign Pack,61.56%,-,-,-,694880
94,Fantasy Grounds - Weird Wars Rome (Savage Worlds),-,-,-,-,491680
95,Total War: ATTILA - Viking Forefathers Culture Pack,58.12%,-,-,-,335020
96,Total War: ROME II - Wrath of Sparta Campaign Pack,57.25%,-,-,-,327280
97,Total War: ROME II - Imperator Augustus Campaign Pack,69.91%,-,-,-,311380
98,Hegemony Rome: The Rise of Caesar - Bannermen Pack,70.57%,-,-,-,308170
99,Total War: ROME II - Black Sea Colonies Culture Pack,66.47%,-,-,-,297831
