,Name,Rating,Followers,Online,Peak,id
0,Scribble It!,83.36%,"6,764",256,"1,661",1088150
2,Words for Evil,75.09%,"1,773",0,634,335790
3,Letter Quest: Grimm's Journey Remastered,85.27%,"1,315",4,"1,284",373970
4,Chinatris,83.45%,"1,262",6,219,1139800
5,Pleasure Puzzle:Portrait 趣拼拼：肖像画,87.51%,"1,255",3,619,939620
6,Letter Quest: Grimm's Journey,85.71%,"1,077",1,803,328730
7,God of Word,68.79%,967,1,38,467320
8,Spellspire,67.68%,932,1,18,626580
9,Typefighters (Steam Edition),63.60%,806,0,81,434290
10,Pleasure Puzzle:Workshop 趣拼拼：拼图工坊,80.70%,793,0,15,740810
11,Amazing Pyramids: Rebirth,72.42%,784,0,4,1460870
12,Who Wants To Be A Millionaire,44.93%,666,2,42,1356240
13,Pleasure Puzzle:Sexy Girls 趣拼拼：性感少女,76.64%,612,0,6,934540
14,Submorse,79.81%,411,0,12,912380
15,Kotoba no Puzzle: Mojipittan Encore,76.97%,365,2,58,1366960
16,You Can Kana,77.41%,310,6,11,1031900
17,Siege Wars,63.28%,243,0,49,348340
18,LA FORET DE PAGO : LA VENGEANCE DU DRAGON,76.62%,241,0,4,1413590
19,"You, Calligrapher",82.55%,200,0,4,1593700
20,Trancelation,77.77%,184,0,5,716560
21,ACT IT OUT XL! A Game of Charades - Designed for Twitch,62.90%,180,0,11,675500
22,Alphabeats: Master Edition,60.54%,175,0,5,420160
23,Happy Words,47.92%,174,2,20,1014810
24,Sidewords,80.72%,142,0,33,682230
25,Type Defense,61.26%,123,0,3,904440
27,Mini Words: Polyglot,79.04%,99,1,7,1564550
28,LA FORET DE PAGO 2 : SOUVENIR DE GLACE,79.39%,98,0,4,1611060
29,Neon Ships: The Type'em Up Shooter,82.85%,81,0,5,1528580
30,"World of DASM, DASM Spell Quest",69.20%,77,0,27,543910
31,Crossword City Chronicles,41.03%,70,0,10,1374890
32,Relaxicon,73.89%,65,0,3,815010
33,Mini Words: Top Games,76.61%,58,0,12,1336790
34,StudyX - Save Game Codes & Study Any Subject,69.20%,53,0,3,714030
35,Divine Stone,63.06%,52,0,3,1464200
36,WORDLAND,80.54%,51,1,4,1599690
37,sWORD MASTER,58.97%,49,0,4,698980
40,Tybot Invasion: The Typing Runner,80.28%,46,0,4,1636000
41,Typed82,73.26%,43,0,2,1525970
43,Moving Letters,69.91%,42,0,2,1430120
44,Emoji Charades,72.17%,40,0,8,1018560
45,WORDLAND 2,78.30%,39,0,4,1640760
47,第七号列车 - Train No. 7,74.19%,37,35,47,1708870
48,飞花令 春饼,67.06%,37,0,2,1511360
49,TEXT: Russia,59.60%,37,0,2,1436390
50,Tyfortress: Tactical Typing,77.41%,34,1,3,1661700
51,Super Dango,66.62%,34,0,4,1395890
52,Fast Typing Master,53.98%,33,0,3,1445120
53,PAGO FOREST: DRAGON'S REVENGE,64.08%,32,0,1,1446090
54,Typing Fingers - Enemy,55.69%,30,0,3,1258830
55,Simply Puzzles: Codewords,64.76%,29,0,5,1316830
56,Alias,35.92%,28,0,4,1349340
57,WordKiller: Revolution,53.32%,28,0,2,1076780
58,InfiniWordSlide,64.08%,27,0,4,1219030
59,Phantom Typist,64.08%,24,0,3,1439010
60,Oh No! Ninjas!,64.08%,24,0,6,764720
62,Word Forward,67.06%,23,0,2,1117360
63,Spelling Quest Online,67.06%,21,0,6,1086630
64,Anagraphs: An Anagram Game With a Twist,54.17%,20,0,4,1654280
65,Geekwords : Game of Words,-,20,0,1,1558850
66,Word Wise,69.20%,20,0,3,1533570
68,Anagrams,57.39%,18,0,5,1345940
69,Word Hunt Fever,72.17%,17,0,2,1599390
70,WordTactics,64.78%,17,0,3,1463350
71,Quiz Pro - Guess Pictures,64.08%,16,0,2,1366830
72,WORDLAND 3,67.06%,15,0,2,1652650
74,Medium: The Psychic Party Game,-,15,0,9,1481940
75,Find the Letter H,76.90%,15,0,3,1010290
78,Speedily,-,13,0,2,1402960
80,Guess Pictures - Animals,-,12,0,1,1371210
81,StellaSpella,-,11,0,1,1346280
86,Letter Loops Pro,-,7,0,1,1413930
88,TheEvilKing,-,4,0,1,1653890
89,Scribble It! - Premium Edition,65.82%,-,-,-,1418300
