,Name,Rating,Followers,Online,Peak,id
0,Fall Guys: Ultimate Knockout,82.28%,"615,909","13,597","172,213",1097150
2,Among Us,92.14%,"273,117","13,877","447,476",945360
3,Gang Beasts,75.43%,"232,199",305,"3,062",285900
4,Pummel Party,88.18%,"106,326","1,934","17,021",880940
5,Keep Talking and Nobody Explodes,94.99%,"105,733",182,"1,767",341800
6,Tricky Towers,88.11%,"38,416",354,960,437920
7,Nidhogg,86.30%,"17,257",11,"2,215",94400
8,First Class Trouble,78.33%,"16,388",56,"1,271",953880
9,TowerFall Ascension,90.60%,"16,335",13,355,251470
10,The Jackbox Party Pack 3,93.22%,"16,140",262,"10,972",434170
11,Party Panic,74.94%,"15,966",12,388,506500
12,The Jackbox Party Pack 7,92.44%,"13,114",217,"10,599",1211630
13,The Jackbox Party Pack 2,90.74%,"12,781",91,"4,937",397460
14,The Jackbox Party Pack 6,90.76%,"12,568",210,"6,630",1005300
15,The Jackbox Party Pack,87.01%,"11,058",58,"3,913",331670
16,Nidhogg 2,77.37%,"10,551",3,327,535520
17,The Jackbox Party Pack 5,87.72%,"8,669",93,"2,748",774461
18,Drawful 2,77.56%,"8,373",47,"5,430",442070
19,The Jackbox Party Pack 4,89.79%,"7,477",139,"3,902",610180
20,Quiplash,85.14%,"6,816",45,"2,855",351510
21,Kill It With Fire,89.83%,"6,022",224,472,1179210
22,STARWHAL,83.46%,"4,847",2,86,263020
23,ROUNDS,90.84%,"4,839",165,619,1557740
24,Drunken Wrestlers 2,87.37%,"4,610",70,573,667530
25,Olympic Games Tokyo 2020 – The Official Video Game™,44.17%,"4,561",59,"4,064",981890
27,Boomerang Fu,89.38%,"3,834",28,171,965680
28,THE GAME OF LIFE 2,71.00%,"3,579",36,433,1455630
29,The Yawhg,78.27%,"3,515",0,114,269030
30,Use Your Words,81.97%,"3,368",13,487,521350
31,Retimed,76.96%,"3,340",6,56,760810
32,ROCKETSROCKETSROCKETS,72.77%,"3,152",0,188,289760
33,Lumberhill,70.42%,"3,092",16,181,976900
34,Super Buckyball Tournament Preseason,81.51%,"3,070",0,950,1341230
35,Stikbold! A Dodgeball Adventure,81.98%,"3,002",1,159,429330
36,Marooners,62.78%,"2,957",4,182,423810
37,Panoptic,87.02%,"2,765",1,25,541930
38,12 orbits,80.88%,"2,668",0,46,529950
39,Crumble,85.15%,"2,620",2,68,1061180
40,Samurai Gunn,86.32%,"2,310",0,80,239090
41,SUPERFIGHT,60.65%,"2,227",1,"3,124",404770
42,Regular Human Basketball,76.91%,"1,927",0,94,661940
43,Knight Squad,79.44%,"1,855",2,134,294000
44,Unspottable,85.05%,"1,742",4,105,1243960
45,Rubber Bandits: Christmas Prologue,86.70%,"1,659",26,318,1469250
46,A Gummy's Life,73.73%,"1,657",1,26,585190
47,Push Me Pull You,68.78%,"1,581",0,9,362380
48,HyperBrawl,81.88%,"1,474",0,69,591760
49,Neighborhorde,77.88%,"1,452",0,21,446760
50,Hidden in Plain Sight,90.71%,"1,442",0,34,303590
51,Knight Squad 2,85.41%,"1,335",5,125,1048660
52,Samurai Gunn 2,87.26%,"1,171",7,98,1397790
53,Super Totally Ultimate Dad Showdown,72.25%,"1,117",4,92,1570730
54,Raiders Of The Lost Island,81.33%,"1,008",0,18,867980
55,Metal Heads,62.98%,951,0,21,1132670
56,Fibbage XL,85.34%,918,19,700,448080
57,Tinker Racers,81.20%,896,0,12,1234620
58,Buissons,85.25%,894,0,49,1151930
59,Quiplash 2 InterLASHional,81.43%,887,9,375,1111940
60,Bitten! Someone has to be a villain,66.62%,871,0,11,1639530
63,Alpaca Ball: Allstars,82.56%,733,1,17,1232640
64,Thief Town,71.54%,726,0,32,331220
65,Mini Motor Racing X,81.00%,717,1,18,1303990
66,Save Your Nuts,71.69%,709,0,16,752170
67,Epic Loon,78.99%,699,0,6,762190
68,Ponpu,68.77%,685,0,15,1261530
69,Who Wants To Be A Millionaire,44.93%,666,2,42,1356240
70,Late For Work,77.01%,658,1,8,623540
71,Thunder Rally,80.54%,627,0,12,833500
72,UNI,57.65%,622,3,212,1011300
73,Operation Armstrong,70.57%,594,0,5,1145490
74,BEARZERKERS,74.19%,571,0,4,325300
75,Prop Hunt,45.38%,563,1,27,1509230
76,Trap House,62.10%,547,0,6,468150
77,"Run Prop, Run!",68.52%,518,34,274,1475400
78,Bamerang,81.00%,478,0,17,1236490
79,Drive Buy,79.71%,437,0,10,774211
80,It's Quiz Time,66.04%,426,5,175,648780
81,Glitchrunners,33.06%,406,0,5,446870
83,Foodtruck Arena,69.20%,368,0,4,1182280
84,Synthbiotic Dungeon,71.48%,363,0,14,1576880
85,Spaceteam VR,59.43%,340,0,17,866770
87,B.U.T.T.O.N. (Brutally Unfair Tactics Totally OK Now),68.04%,312,0,4,92400
88,Raifu Wars,78.34%,308,0,7,1116110
89,Trivia Tricks,81.99%,282,3,43,1404090
90,Wild Honesty: A party game for deeper conversations,72.22%,282,0,13,1354520
91,Bonkies,81.25%,280,0,16,889260
92,Life On A Pizza,67.41%,271,9,42,1598560
93,The Otterman Empire,65.93%,265,0,5,1016940
94,Fort Boyard,44.64%,255,0,8,1058330
95,Balloon Flight,81.86%,241,1,13,1612960
96,Dino Galaxy Tennis,79.71%,238,0,7,1454080
97,Paper Pirates,78.91%,232,1,15,1234220
99,Beat Me! - Puppetonia Tournament,62.94%,212,0,20,1427880
