,Name,Rating,Followers,Online,Peak,id
0,Divinity: Original Sin 2 - Definitive Edition,94.75%,"455,425","8,552","93,701",435150
1,NieR:Automata™,81.83%,"449,074",770,"23,908",524220
2,The Elder Scrolls V: Skyrim Special Edition,89.28%,"396,812","23,596","69,906",489830
3,Rise of the Tomb Raider™,92.63%,"368,952","1,372","44,588",391220
4,Left 4 Dead,94.00%,"307,581",555,"30,616",500
5,Portal 2,97.64%,"303,997","2,380","98,460",620
6,Assassin's Creed® Odyssey,87.59%,"277,672","3,018","62,069",812140
7,Resident Evil 2,95.77%,"263,717",808,"74,227",883710
8,Life is Strange - Episode 1,95.03%,"255,042",386,"18,260",319630
9,NARAKA: BLADEPOINT,67.75%,"249,815","21,746","70,731",1203220
10,Call of Duty®: WWII,62.66%,"244,891",211,"19,406",476600
11,Shadow of the Tomb Raider: Definitive Edition,82.13%,"234,624","1,222","38,268",750920
12,Slime Rancher,96.08%,"221,645","1,829","6,452",433340
13,Dishonored 2,85.14%,"219,057","1,613","22,411",403640
14,Half-Life: Alyx,96.82%,"207,624",620,"42,858",546560
15,Horizon Zero Dawn™ Complete Edition,81.45%,"195,641","3,037","56,557",1151640
16,Hellblade: Senua's Sacrifice,89.88%,"183,286",123,"5,653",414340
17,My Time At Portia,91.04%,"176,513","1,082","13,299",666140
18,Tomb Raider,95.16%,"175,016","1,041","89,538",203160
19,Assassin's Creed® Syndicate,77.22%,"170,210",240,"4,729",368500
20,GreedFall,77.26%,"162,378",331,"16,345",606880
22,Little Nightmares,92.73%,"152,199",707,"78,169",424840
23,It Takes Two,93.70%,"151,273","1,932","21,567",1426210
24,A Plague Tale: Innocence,92.08%,"151,055",211,"4,058",752590
25,Vampire: The Masquerade® - Bloodlines™ 2,-,"144,041",0,10,532790
26,Resident Evil 3,75.82%,"141,564",323,"60,293",952060
27,DEAD OR ALIVE Xtreme Venus Vacation,80.53%,"139,994",976,"10,381",958260
28,RWBY: Grimm Eclipse,79.97%,"136,592",6,"3,298",418340
29,Tales of Zestiria,80.50%,"132,519",84,"9,696",351970
30,Alien: Isolation,91.18%,"131,821",248,"10,870",214490
31,Mortal Kombat X,80.39%,"131,055",357,"15,743",307780
32,Bright Memory,89.92%,"130,715",23,"1,907",955050
33,Portal,96.85%,"128,459",515,"20,672",400
34,Mirror,95.43%,"126,433",272,"7,565",644560
35,OUTRIDERS,62.36%,"122,671","1,539","125,143",680420
36,Life is Strange: Before the Storm,91.72%,"117,404",118,"16,209",554620
37,Pillars of Eternity II: Deadfire,85.08%,"117,078",910,"22,724",560130
38,Homeworld Remastered Collection,85.71%,"115,607",148,"17,790",244160
39,GRIS,94.79%,"113,596",61,959,683320
40,Tales of Berseria™,90.11%,"111,791",281,"8,085",429660
41,Tyranny,84.52%,"107,272",158,"15,792",362960
42,Pathfinder: Kingmaker - Enhanced Plus Edition,77.24%,"107,172","2,712","22,643",640820
43,Street Fighter V,61.72%,"105,435","1,984","14,783",310950
44,Bayonetta,89.65%,"102,934",103,"4,194",460790
45,Darksiders III,73.98%,"102,635",335,"7,730",606280
46,Homeworld: Deserts of Kharak,79.81%,"100,336",75,"7,326",281610
47,Bloodstained: Ritual of the Night,93.35%,"98,360",473,"26,934",692850
48,FINAL FANTASY X/X-2 HD Remaster,88.63%,"97,223",710,"13,263",359870
49,Detroit: Become Human,88.93%,"95,020",605,"7,218",1222140
50,ICEY,89.02%,"94,980",1,"3,240",553640
51,嗜血印 Bloody Spell,84.51%,"94,857",33,"4,256",992300
52,Mass Effect™ Legendary Edition,89.46%,"92,897","6,361","59,817",1328670
53,STAR WARS™: Squadrons,69.41%,"92,882",209,"36,492",1222730
54,Transistor,92.51%,"91,429",35,"6,727",237930
55,FINAL FANTASY XIV Online,86.85%,"90,586","53,086","67,148",39210
56,Youtubers Life,74.79%,"90,009",106,"7,553",428690
57,Control Ultimate Edition,86.93%,"88,935",674,"9,193",870780
58,What Remains of Edith Finch,93.22%,"87,406",20,329,501300
59,She Will Punish Them,90.23%,"86,348",604,"15,711",1213740
60,Thronebreaker: The Witcher Tales,89.02%,"85,931",125,"3,371",973760
61,A Hat in Time,96.05%,"84,949",220,"7,312",253230
62,VA-11 Hall-A: Cyberpunk Bartender Action,95.47%,"84,842",66,"1,574",447530
63,Divinity: Original Sin (Classic),89.23%,"84,681",18,"22,040",230230
64,NEKOPARA Vol. 1,93.39%,"83,447",76,487,333600
65,Battlefield V,66.10%,"83,357","2,710","30,881",1238810
66,Tales from the Borderlands,92.88%,"83,190",18,"8,690",330830
67,Atelier Ryza: Ever Darkness & the Secret Hideout,84.43%,"83,098",41,"4,616",1121560
68,Game of Thrones - A Telltale Games Series,74.51%,"81,296",11,"6,771",330840
69,Zombie Army Trilogy,85.60%,"79,674",70,"4,320",301640
70,Saints Row IV,89.37%,"79,270",348,"42,270",206420
71,Celeste,95.82%,"78,187",705,"2,252",504230
72,Far Cry® New Dawn,75.99%,"75,903",800,"16,975",939960
73,Spiritfarer®,93.22%,"75,677",344,"4,594",972660
74,Crypt of the NecroDancer,93.79%,"74,562",157,"2,282",247080
75,Valkyria Chronicles™,88.36%,"73,921",68,"5,039",294860
76,Okami HD,89.58%,"73,804",65,"2,136",587620
77,GOD EATER 2 Rage Burst,75.74%,"73,068",25,"1,491",438490
78,CrossCode,91.84%,"71,321",153,"3,429",368340
79,Nioh 2 – The Complete Edition,83.54%,"70,527","1,602","41,325",1325200
80,Dreamfall Chapters,80.26%,"69,538",14,"1,711",237850
81,Resident Evil 6,78.73%,"69,374",424,"11,879",221040
82,Battle Chasers: Nightwar,85.57%,"69,344",60,"5,375",451020
83,FINAL FANTASY® XIII,72.47%,"69,139",281,"8,320",292120
84,Night of the Dead,78.36%,"68,463",644,"4,434",1377380
85,Saints Row: The Third,94.33%,"67,941",369,"34,371",55230
86,Gears 5,65.98%,"67,398",381,"10,196",1097840
87,Muse Dash,90.71%,"67,153",446,"6,087",774171
88,Resident Evil,90.07%,"66,423",171,"4,388",304240
89,Cloudpunk,87.11%,"66,010",44,932,746850
90,DEAD OR ALIVE 5 Last Round: Core Fighters,64.88%,"65,158",27,"2,827",311730
91,Age of Wonders III,78.08%,"65,016",532,"19,469",226840
92,SOULCALIBUR VI,79.34%,"64,911",452,"14,684",544750
93,The Walking Dead: A New Frontier,77.84%,"63,656",53,"8,278",536220
94,ENDER LILIES: Quietus of the Knights,92.05%,"63,603",354,"6,332",1369630
95,LIGHTNING RETURNS™: FINAL FANTASY® XIII,77.39%,"62,637",57,"2,503",345350
96,Saints Row: Gat out of Hell,73.09%,"62,624",27,"5,827",301910
97,Farm Together,91.62%,"62,501",707,"3,671",673950
98,EITR,-,"62,248",0,8,350050
99,Hand of Fate 2,82.74%,"62,198",45,"2,873",456670
