,Name,Rating,Followers,Online,Peak,id
0,Rocket League®,88.29%,"618,696","36,364","147,632",252950
1,Football Manager 2019,84.19%,"63,148","3,797","75,982",872790
2,Football Manager 2020,87.20%,"58,844","12,886","189,464",1100600
3,EA SPORTS™ FIFA 21,73.37%,"55,359","23,483","44,388",1313860
4,Football Manager 2017,58.28%,"53,449","1,473","72,824",482730
5,Football Manager 2021,91.11%,"49,031","64,817","93,865",1263850
6,eFootball PES 2020,69.53%,"45,535","1,760","21,018",996470
7,Blood Bowl 2,75.95%,"35,833",441,"6,511",236690
8,eFootball PES 2021 SEASON UPDATE,72.16%,"29,198","13,674","20,674",1259970
9,PRO EVOLUTION SOCCER 2019,52.73%,"19,699",242,"6,551",770240
10,Captain Tsubasa: Rise of New Champions,60.75%,"16,999",100,"4,442",1163550
11,PRO EVOLUTION SOCCER 2018,60.47%,"16,061",109,"7,082",592580
12,Kopanito All-Stars Soccer,80.77%,"12,143",13,422,399820
13,Altitude,87.80%,"12,063",5,"4,940",41300
14,"Football, Tactics & Glory",87.25%,"11,157",103,740,375530
15,Supraball,75.47%,"10,535",0,"3,329",321400
16,Steel Circus,65.73%,"9,012",0,"2,249",969680
18,Blood Bowl: Chaos Edition,77.57%,"6,301",16,"1,945",216890
19,Madden NFL 21,48.02%,"6,229",359,"3,226",1239520
20,FootLOL: Epic Fail League,79.64%,"5,208",0,"1,310",263740
21,PRO EVOLUTION SOCCER 2018 LITE,49.83%,"5,034",1,"1,695",592600
22,Ball 3D,79.18%,"4,794",90,"1,116",485610
23,Olympic Games Tokyo 2020 – The Official Video Game™,44.17%,"4,561",59,"4,064",981890
24,PRO EVOLUTION SOCCER 2019 LITE,60.20%,"4,431",2,"2,451",950100
25,WE ARE FOOTBALL,70.06%,"4,374",593,"3,905",1196470
26,ACE - Arena: Cyber Evolution,64.77%,"4,100",0,288,285580
27,Soccer Manager 2020,72.78%,"3,473",85,"1,126",1078730
28,Mutant Football League,87.49%,"3,369",3,93,529520
29,Ultraball,-,"2,989",0,8,708030
30,Soccer Manager 2021,68.61%,"2,769",598,"1,187",1448530
31,Robot Soccer Challenge,64.53%,"2,709",0,5,580820
32,Soccer Manager 2016,67.12%,"2,694",0,"1,031",407120
33,Soccer Manager 2015,66.14%,"2,632",0,715,356370
34,Pixel Cup Soccer 17,81.54%,"2,383",0,90,492340
35,Soccer Manager 2017,63.89%,"2,034",0,847,510630
36,Tennis Manager 2021,75.33%,"2,010",25,338,1433010
37,Football Manager 2020 Touch,82.20%,"2,007",391,"4,641",1100620
38,Football Manager 2019 Touch,76.65%,"1,760",111,"1,792",872820
39,Multicellular,61.21%,"1,683",0,8,886370
40,Super Arcade Football,65.85%,"1,678",1,17,420550
41,Gridiron,80.95%,"1,673",5,792,708720
42,World of Soccer,61.17%,"1,633",0,533,393410
43,Soccer Rage,78.64%,"1,547",0,6,356510
44,Lords of Football,50.13%,"1,540",0,327,230650
45,Football Manager 2021 Touch,81.38%,"1,525","1,434","1,971",1263860
46,Head Goal: Soccer Online,74.59%,"1,447",5,119,687850
47,Soccer Manager 2019,73.07%,"1,445",14,687,994930
48,Front Office Football Seven,74.78%,"1,418",3,132,344340
49,Zero-G,66.33%,"1,381",0,22,567890
50,Soccer Manager,60.77%,"1,270",1,382,438600
51,New Star Manager,80.86%,"1,189",11,175,883130
52,IOSoccer,70.89%,"1,188",57,321,673560
53,90 Minute Fever - Football (Soccer) Manager MMO,59.63%,"1,175",21,129,468070
54,Foosball: World Tour,71.04%,"1,106",0,10,386400
56,New Star Soccer 5,63.79%,"1,047",6,125,212780
57,Club Manager 2015,46.59%,"1,012",1,71,326630
58,Final Soccer VR,73.11%,995,0,22,555060
59,Axis Football 2015,65.71%,984,1,"1,673",370090
60,WarpBall,69.20%,973,0,5,400570
61,Legendary Eleven: Epic Football,68.53%,960,0,9,839300
62,Behold the Kickmen,81.30%,912,0,104,529440
63,AFL Evolution,67.39%,909,2,74,435020
64,Legend Bowl,85.00%,904,1,32,1106340
65,Axis Football 2016,68.01%,877,1,25,501190
66,Football Manager Touch 2018,63.91%,862,49,"1,622",624120
67,Front Office Football Eight,75.92%,849,40,172,547900
68,Crazy Soccer: Football Stars,65.00%,791,0,11,735550
69,Ball 2D: Soccer Online,70.09%,783,0,83,703940
70,Football Drama,61.65%,764,0,28,876190
71,Alpaca Ball: Allstars,82.56%,733,1,17,1232640
72,TableTop Soccer,73.27%,702,0,71,453710
73,Axis Football 2020,64.37%,691,6,60,1412780
74,Street Power Football,50.00%,691,0,26,1275760
75,Soccer Manager 2018,65.14%,677,2,511,743370
76,Axis Football 2017,61.75%,661,1,30,554750
77,Axis Football 2018,61.97%,658,0,175,932980
78,Soccertron,65.37%,639,0,116,334620
79,Axis Football 2019,64.89%,625,0,36,1098210
80,Foosball - Street Edition,66.26%,616,0,12,280830
81,King of Texas,52.78%,590,0,9,1017940
82,Retro Football Boss,55.52%,582,0,11,511790
83,Sunday Rivals,81.61%,578,0,23,1297790
84,Ganbare! Super Strikers,76.18%,531,0,19,419990
85,Rugby Union Team Manager 3,63.42%,522,7,31,1314410
86,Pro Strategy Football 2021,76.34%,501,5,40,1281170
87,Natural Soccer,66.43%,469,0,7,347690
88,An Alternative Reality: The Football Manager Documentary,81.00%,458,0,80,357470
89,Rugby League Team Manager 3,71.94%,424,3,26,1154080
90,AFL Evolution 2,70.65%,424,27,61,856850
91,Bowl Bound College Football,52.10%,418,4,68,398640
92,Front Page Sports Football,22.23%,414,0,38,316700
93,Dino Dini's Kick Off™ Revival - Steam Edition,51.26%,409,0,21,537740
94,Fightworld,56.60%,388,0,41,849090
95,Foodtruck Arena,69.20%,368,0,4,1182280
97,Pure Football 2018,57.17%,330,0,5,774901
98,LocoSoccer,61.20%,320,0,"2,252",396360
99,Netsoccer,68.90%,318,0,136,1151320
