,Name,Rating,Followers,Online,Peak,id
0,Steep™,79.99%,"125,271",102,"2,113",460920
1,SNOW - The Ultimate Edition,64.85%,"29,658",8,"2,779",244930
2,Snowtopia: Ski Resort Builder,70.26%,"10,230",12,577,1124260
3,When Ski Lifts Go Wrong,83.54%,"7,072",5,181,638000
4,The Ramp,89.71%,"1,823",9,110,1506510
5,Ski Region Simulator - Gold Edition,76.08%,"1,395",1,102,270950
6,Just Ski+,79.66%,386,0,23,740230
7,Ski Park Tycoon,61.73%,348,1,15,346240
8,FreakOut: Extreme Freeride,71.94%,304,0,8,304540
9,K-Point Ski Jumping,70.64%,233,0,38,1219650
10,Ski Jumping Pro VR,53.00%,207,0,4,1063470
12,BSL Winter Games Challenge,63.89%,98,0,4,802210
13,Winter Sports Games,32.94%,94,0,4,998530
15,Let's Go! Skiing VR,57.18%,51,0,4,1150310
16,Death Ski,67.06%,36,0,2,1483580
17,Endless Ski,70.57%,34,0,3,1125800
18,snowboarding,44.31%,22,0,3,1668670
19,Horace Goes Skiing,55.69%,21,0,1,1443640
20,Gustav Vasa: Adventures in the Dales,-,11,0,1,1619150
