,Name,Rating,Followers,Online,Peak,id
0,ARK: Survival Evolved,79.77%,"1,249,512","43,727","157,400",346110
1,Subnautica,94.91%,"546,416","2,308","51,156",264710
2,ASTRONEER,89.34%,"480,297","1,505","17,986",361420
3,RimWorld,96.82%,"464,522","32,107","50,907",294100
4,Raft,91.48%,"452,909","5,156","42,288",648800
5,7 Days to Die,86.21%,"385,713","17,893","47,025",251570
6,Valheim,94.77%,"361,047","20,246","502,387",892970
7,This War of Mine,93.16%,"344,261",605,"9,503",282070
8,Frostpunk,89.70%,"331,686","5,611","29,361",323190
9,Factorio,97.37%,"331,424","11,637","34,700",427520
10,Oxygen Not Included,94.72%,"330,996","7,202","27,486",457140
11,Scrap Mechanic,90.83%,"289,374","2,378","46,643",387990
12,They Are Billions,83.54%,"255,231","1,818","22,395",644930
13,Satisfactory,95.42%,"245,421","7,703","32,831",526870
14,Green Hell,85.30%,"230,589","1,546","20,003",815370
15,Osiris: New Dawn,59.94%,"217,665",128,"4,773",402710
16,Subnautica: Below Zero,89.94%,"216,187","1,611","42,115",848450
17,Kenshi,92.95%,"204,091","2,897","10,579",233860
18,House Flipper,90.71%,"194,016","2,006","10,899",613100
19,Prison Architect,89.34%,"193,132","1,234","16,211",233450
20,Grounded,84.79%,"186,347","1,897","32,012",962130
21,Age of Empires II (2013),94.11%,"186,343","4,627","27,927",221380
22,Eco,80.20%,"183,837","1,304","6,964",382310
23,Dyson Sphere Program,95.90%,"182,895","4,951","59,815",1366540
24,Foundation,83.89%,"169,502",513,"4,088",690830
25,ATLAS,46.77%,"166,019","1,168","58,939",834910
26,Age of Empires II: Definitive Edition,92.49%,"163,796","18,273","38,725",813780
27,ELEX,73.17%,"157,235",622,"22,969",411300
28,Dark and Light,54.24%,"151,382",210,"14,089",529180
29,Surviving Mars,82.71%,"138,495","1,122","23,744",464920
30,Company of Heroes 2,77.02%,"135,908","5,942","164,688",231430
31,Foxhole,80.39%,"133,390","3,002","5,709",505460
32,Kingdoms and Castles,89.60%,"130,527",633,"4,856",569480
33,"Warhammer 40,000: Dawn of War III",46.94%,"117,822",109,"25,676",285190
34,Avorion,88.80%,"113,920","1,469","4,533",445220
35,Planetbase,76.58%,"113,392",267,"6,670",403190
36,Going Medieval,86.46%,"111,810","1,887","14,676",1029780
37,Rising World,80.77%,"111,264",49,486,324080
38,Forager,90.06%,"110,743",407,"13,438",751780
39,Age of Empires® III (2007),88.82%,"109,135","1,004","9,490",105450
40,Space Haven,84.82%,"103,253",407,"5,687",979110
41,SpellForce 3,72.41%,"102,877",130,"8,932",311290
42,Breathedge,82.99%,"102,107",123,"6,857",738520
43,Iron Harvest,70.22%,"101,513",766,"8,164",826630
44,Subsistence,72.03%,"101,296",465,"1,376",418030
45,Offworld Trading Company,74.49%,"99,030",64,"2,698",271240
46,Fallout Shelter,86.81%,"97,971","1,148","42,656",588430
47,Life is Feudal: Forest Village,64.48%,"96,003",143,"1,962",496460
48,PixARK,69.37%,"95,911",345,"14,144",593600
50,GRAV,49.46%,"91,541",1,"6,367",332500
51,Command & Conquer™ Remastered Collection,89.10%,"91,422",828,"42,587",1213210
52,State of Decay 2: Juggernaut Edition,77.17%,"89,835","1,614","19,211",495420
53,Amazing Cultivation Simulator,85.13%,"89,410",873,"18,349",955900
54,Endzone - A World Apart,76.01%,"88,186",159,"6,426",933820
55,Chernobylite,79.00%,"85,920",777,"3,944",1016800
56,Citadel: Forged with Fire,67.20%,"80,130",61,"7,777",487120
57,Planetary Annihilation: TITANS,81.90%,"79,347",256,"4,577",386070
58,EDEN STAR,63.36%,"79,268",0,110,259570
59,Fallout 76,71.80%,"79,116","7,350","32,982",1151340
60,Anno 2205™,67.97%,"78,208",89,"7,446",375910
61,Deadside,77.25%,"77,429",811,"9,581",895400
62,Mist Survival,78.81%,"74,985",160,"3,136",914620
63,Out of Reach,57.62%,"74,174",7,437,327090
64,Colony Survival,87.91%,"74,140",168,"1,488",366090
65,How to Survive 2,68.55%,"73,545",56,"2,823",360170
66,Ancestors Legacy,77.31%,"73,018",71,"4,940",620590
67,AI＊Shoujo/AI＊少女,74.01%,"72,519",56,599,1250650
