,Name,Rating,Followers,Online,Peak,id
0,Sniper Elite 4,88.14%,"208,243","1,645","15,101",312660
1,Sniper Elite 3,79.95%,"110,623",213,"10,861",238090
2,Zombie Army Trilogy,85.59%,"79,673",96,"4,320",301640
3,Aim Lab,93.64%,"79,161","5,891","10,381",714010
4,Sniper Ghost Warrior 3,63.59%,"78,225",487,"4,086",368070
5,Sniper: Ghost Warrior 2,72.93%,"48,954",104,"3,629",34870
6,Sniper Ghost Warrior Contracts,71.69%,"48,088",673,"3,923",973580
7,Sniper Elite V2,86.34%,"37,884",77,"70,456",63380
8,Sniper Ghost Warrior Contracts 2,79.48%,"32,018","1,219","7,055",1338770
9,Zombie Army 4: Dead War,79.29%,"24,484",310,"3,352",694280
10,Sniper Elite: Nazi Zombie Army,84.89%,"23,984",7,"3,174",227100
11,Sniper Elite: Nazi Zombie Army 2,81.71%,"19,731",5,"3,563",247910
12,Sniper Fury,47.55%,"19,274",171,664,591740
14,The Signal From Tölva,65.26%,"17,180",2,162,457760
15,Battle Royale Trainer,57.47%,"15,869",8,"1,313",772540
16,Sniper Elite V2 Remastered,67.66%,"9,061",33,575,728740
17,Sniper Elite,74.51%,"6,429",18,631,3700
18,Zula Türkiye,41.83%,"6,327",312,"3,041",714210
19,Struggle Offensive,63.79%,"5,613",0,22,1403280
20,Sniper: Ghost Warrior,55.91%,"5,244",45,"1,586",34830
21,Hunting Simulator 2,59.76%,"4,689",16,383,1135910
22,Sniper Elite VR,56.21%,"4,263",11,220,752480
23,Zula Global,66.01%,"3,558",417,781,747610
24,AXYOS,52.50%,"3,485",0,"2,243",318100
26,Sniper 3D Assassin: Free to Play,59.05%,"2,574",31,272,922320
27,Masked Forces: Zombie Survival,66.96%,"2,452",0,12,654850
29,Heroine of the Sniper,87.88%,"1,995",1,49,851950
30,Sniper Strike: Special Ops,55.28%,"1,706",54,120,848500
31,H-SNIPER: Middle East,83.50%,"1,681",0,113,1190110
32,Galactic Force,64.35%,"1,584",2,11,762080
33,Project RIP,64.25%,"1,480",1,22,1131400
34,Zombie Training Simulator,84.72%,"1,331",1,199,446620
35,The Last Sniper VR,61.24%,"1,322",0,20,502710
36,Masked Shooters 2,68.84%,"1,225",2,"2,215",434250
37,Rebel Forces,77.66%,"1,195",3,212,979080
38,H-SNIPER: World War II,83.64%,"1,131",0,23,1323420
39,War Identity,53.60%,"1,080",0,32,1391690
40,Monster Shooter,31.03%,"1,064",0,2,1353850
41,Shots Fired,-,"1,025",0,5,650120
42,Masked Forces,63.11%,"1,020",0,35,555750
43,Just Act Natural,81.87%,949,35,252,1485080
44,Masked Forces 3,52.28%,926,0,8,826000
45,Freefall Tournament,66.71%,874,0,14,849940
46,ANIME WAR — Modern Campaign,79.25%,859,0,12,1234190
47,MDK 2,73.83%,813,3,8,38460
48,Sniper Art of Victory,31.99%,811,2,63,271500
49,Geometric Sniper,78.07%,725,4,46,1303660
50,Ski Sniper,77.75%,715,0,106,635310
51,Masked Forces 2: Mystic Demons,66.91%,700,0,5,655000
52,Manhunter,33.43%,607,1,23,302250
53,Mutant Ops,71.72%,606,0,238,1427800
54,SnipZ,32.82%,576,0,3,549030
55,Brothers in Blood: WW2,35.22%,526,0,2,1270820
56,Winter Fury: The Longest Road,73.27%,511,0,4,1033210
57,OMG Zombies!,75.18%,510,0,89,259870
58,Pixel Battle Royale,57.50%,490,0,50,980850
59,Alien Hallway 2,64.93%,439,4,30,656450
60,Sniper Tactical,51.04%,439,0,8,374170
61,Countersnipe,66.82%,406,0,103,1171140
62,Sniper Rust VR,52.11%,395,0,2,710740
63,Masked Shooters,64.63%,344,0,73,603130
64,Mad Combat Marines,65.26%,317,0,48,485370
65,The Sniper VR,55.80%,296,0,8,615630
66,Marine Sharpshooter II: Jungle Warfare,33.99%,296,0,70,283370
68,Rioters 2025,50.00%,228,0,23,1613100
69,Operation Airsoft Beta,56.49%,227,5,24,1509420
70,Geometric Sniper - Blood in Paris,74.63%,207,0,5,1499800
73,Submarine War,72.86%,157,1,5,1674440
75,Element Battle Royale,56.72%,152,1,22,1280100
76,Deer Hunt Legends,31.70%,124,0,6,328670
77,OPERATION SERPENS,80.85%,120,0,6,1364340
78,Shooting Arena VR,79.83%,113,0,10,1358030
80,Sniper Squad Mission,31.25%,106,0,3,844290
81,Elite Commander,50.00%,95,0,4,1439180
82,Operation Osama Bin Laden,72.17%,85,0,3,834920
83,Elite Soldier: 3D Shooter,52.39%,80,0,4,1137220
84,蓝实战队,40.03%,75,0,3,1448400
85,模拟练枪,37.90%,74,0,2,1356070
86,SLASH OF BULLET,63.89%,73,0,3,1559790
88,PixelForces.io,64.24%,71,0,8,1152620
89,极限求生,43.68%,69,0,4,1512530
91,Swords of Edo Kinetic Novel,59.42%,69,0,1,1320260
92,Lost Patrol,50.00%,68,0,2,1392750
93,Thugs Law,42.82%,62,0,2,1018960
95,DuelVox,70.68%,59,0,4,1361440
96,Invaden,44.31%,52,0,3,1228920
97,Green world: Catharsis,72.86%,48,0,3,1506520
99,Hunting Unlimited 1,68.15%,46,0,4,1267940
