,Name,Rating,Followers,Online,Peak,id
0,Assassin's Creed® Origins,84.92%,"310,847","1,710","41,551",582160
1,Watch_Dogs® 2,81.33%,"296,741",647,"18,138",447040
2,Call of Duty®: Black Ops III,75.71%,"260,757","2,604","63,681",311210
3,HITMAN™,80.89%,"195,298",303,"51,650",236870
4,Assassin's Creed® Syndicate,77.21%,"170,209",416,"4,729",368500
5,Deus Ex: Mankind Divided,72.84%,"146,523",488,"52,485",337000
6,South Park™: The Fractured But Whole™,78.54%,"100,510",193,"21,609",488790
7,Call of Duty®: Advanced Warfare - Gold Edition,62.16%,"84,487",72,"12,675",209650
8,Anno 2205™,67.98%,"78,208",98,"7,446",375910
9,Assassin’s Creed® Rogue,81.88%,"65,914",167,"2,371",311560
10,Dead Realm,62.20%,"57,199",0,"1,844",352460
11,Secret World Legends,66.24%,"48,173",97,"3,731",215280
12,The Council,81.91%,"47,123",29,784,287630
13,Five Nights at Freddy's 4,89.91%,"40,093",15,"1,675",388090
14,Lust from Beyond,79.27%,"37,583",46,"1,310",1035120
15,Evil Bank Manager,74.50%,"35,506",21,530,896160
16,Clicker Heroes,88.47%,"34,221","3,060","65,882",363970
17,Sakura Swim Club,82.69%,"28,173",6,234,402180
18,Genital Jousting,89.16%,"26,515",6,610,469820
19,Lust for Darkness,67.45%,"25,762",12,288,523650
20,Blood and Bacon,92.81%,"23,722",22,435,434570
21,Tacoma,82.89%,"23,354",2,386,343860
22,Job Simulator,86.83%,"21,211",146,611,448280
23,Mitos.is: The Game,79.23%,"17,047",49,"5,299",389570
24,The Park,68.34%,"16,821",0,541,402020
25,Minecraft: Story Mode - Season Two,86.83%,"15,106",4,"1,228",639170
26,Emily is Away,86.84%,"15,029",15,"2,803",417860
27,Hide and Shriek,80.40%,"14,202",25,"1,028",480430
28,Mountain,86.26%,"13,485",154,"1,667",313340
29,Super Seducer 2 - Advanced Seduction Tactics,79.06%,"12,880",14,646,863570
30,"Please, Don’t Touch Anything",84.63%,"12,272",12,923,354240
31,The Black Watchmen,84.30%,"10,921",0,206,349220
32,Hatoful Boyfriend,90.73%,"10,719",6,429,310080
33,Criminal Girls: Invite Only,74.84%,"10,609",7,228,409850
34,Lara Croft GO,88.20%,"9,852",17,397,540840
35,Secret Government,61.74%,"9,794",2,128,946990
36,Lords Mobile,67.38%,"9,742","3,293","6,224",1041320
37,Rules Of Survival,60.44%,"9,421",87,"7,484",788260
39,LoveKami -Divinity Stage-,77.34%,"8,851",2,128,547340
40,SpaceChem,88.65%,"8,005",16,"1,962",92800
41,The Underground Man,78.02%,"7,998",0,350,513230
42,Mr.President!,76.05%,"7,910",5,385,507010
43,Hunt Down The Freeman,39.43%,"7,709",1,151,723390
44,Hook,93.89%,"7,607",4,261,367580
45,Panzermadels: Tank Dating Simulator,87.46%,"7,378",2,80,379980
46,Plug & Play,81.66%,"7,345",0,104,353560
47,Welcome to the Game,80.66%,"7,270",4,190,485380
48,VEGAS Pro 14 Edit Steam Edition,79.61%,"7,220",128,278,528200
49,LoveKami -Useless Goddess-,75.52%,"6,982",1,89,626510
50,OLDTV,91.43%,"6,096",4,353,643270
51,Worm.is: The Game,77.99%,"5,673",18,"3,498",466910
52,Bear Simulator,80.34%,"5,657",0,89,395850
53,Brief Karate Foolish,90.13%,"5,382",0,314,546390
54,Fatal Twelve,89.08%,"5,280",4,56,620210
55,klocki,93.33%,"5,213",1,438,499440
56,Voodoo Garden,72.69%,"5,142",3,158,502770
57,During Before And After COVID-19,55.69%,"5,104",0,2,1509630
58,Running Through Russia,68.58%,"4,672",0,157,604490
59,Make America Great Again: The Trump Presidency,83.07%,"4,396",4,732,515040
60,Doodle God,73.15%,"4,057",41,812,348360
61,hack_me,60.08%,"3,982",0,"1,589",526740
62,Jesus Christ RPG Trilogy,81.50%,"3,681",2,210,449040
63,Zombie Party,80.25%,"3,663",1,999,384500
64,GASP,24.92%,"3,552",2,48,412400
65,Alone in the Dark: Illumination™,26.60%,"3,534",0,36,275060
66,The LEGO Movie 2 Videogame,69.81%,"3,462",60,250,881320
67,Gender Bender DNA Twister Extreme,70.95%,"3,404",0,42,321060
68,The Cat Games,84.46%,"3,332",1,107,603260
69,Half-Life: Before,39.59%,"3,163",2,331,261980
70,"Calm Down, Stalin",83.95%,"3,158",2,89,502940
71,Hero Zero,78.63%,"3,123",191,"1,447",482920
72,Dominatrix Simulator: Threshold,77.44%,"3,043",1,17,953270
73,Grass Simulator,56.92%,"3,024",0,572,331200
74,YIIK: A Postmodern RPG,55.07%,"2,689",1,94,459080
75,Kung Fu Jesus,62.51%,"2,485",0,3,1140790
76,Adam's Venture: Origins,62.72%,"2,462",0,29,400360
77,The Shadows of Pygmalion,76.26%,"2,445",1,21,549850
78,Jet Set Knights,73.75%,"2,408",0,66,405550
79,Rumu,84.70%,"2,368",1,49,723270
80,Cat Simulator,39.88%,"2,351",0,150,393390
81,Ladykiller in a Bind,85.80%,"2,271",1,34,560000
82,SEX MOTEL,37.69%,"2,213",0,10,1033120
84,Himawari - The Sunflower -,83.30%,"2,155",0,28,554290
85,Deus Ex: Invisible War,57.05%,"2,121",7,60,6920
86,The Culling 2,24.63%,"2,070",0,249,752720
87,FEMINAZI: The Triggering,78.12%,"2,070",0,"1,882",585550
88,Ultimate Arena,78.39%,"2,031",5,"1,878",385240
90,Futuridium EP Deluxe,60.95%,"1,952",0,5,352790
91,System Crash,77.32%,"1,916",1,52,481180
92,oO,85.30%,"1,512",1,67,367570
93,Pat & Mat,77.78%,"1,493",0,25,65710
94,Yohjo Simulator,54.35%,"1,447",0,26,415950
95,Good Robot,77.67%,"1,440",0,85,358830
96,Save Jesus,86.04%,"1,392",2,890,509220
97,Tomato Way,73.84%,"1,317",0,"12,550",565860
98,Soda Drinker Pro,86.86%,"1,274",1,21,347720
99,Ilamentia,63.76%,"1,195",0,96,334710
