,Name,Rating,Followers,Online,Peak,id
0,Legend of Grimrock 2,87.41%,"41,870",41,"4,146",251730
1,NEO Scavenger,87.10%,"32,621",44,531,248860
2,Wayward,81.08%,"28,182",32,140,379210
3,King Arthur: Knight's Tale,73.72%,"24,511",8,390,1157390
4,Low Magic Age,87.30%,"17,180",32,212,576770
5,Talisman: Digital Edition,75.50%,"15,402",245,"3,590",247000
6,Stranger of Sword City,64.95%,"13,119",5,638,409890
7,UnReal World,90.06%,"13,113",16,249,351700
8,StarCrawlers,80.63%,"12,192",3,465,318970
9,Vaporum,83.22%,"11,939",4,142,629690
10,Zanki Zero: Last Beginning,73.69%,"11,909",9,371,819020
11,Labyrinth of Refrain: Coven of Dusk,75.21%,"10,439",27,495,566540
12,Jupiter Hell,88.39%,"10,260",413,666,811320
13,Lara Croft GO,88.19%,"9,853",8,397,540840
14,ADOM (Ancient Domains Of Mystery),83.31%,"9,753",70,312,333300
15,Legend of Grimrock,90.77%,"9,069",25,"6,075",207170
16,Moero Chronicle,67.07%,"8,706",2,345,638160
17,Operencia: The Stolen Sun,74.14%,"8,591",4,277,985950
19,The Fall of the Dungeon Guardians - Enhanced Edition,79.02%,"7,524",1,205,409450
20,Operation Abyss: New Tokyo Legacy,66.02%,"7,361",0,129,541450
21,Sproggiwood,76.75%,"7,328",0,131,311720
23,Operation Babel: New Tokyo Legacy,70.67%,"6,917",3,78,548810
24,The Warlock of Firetop Mountain,72.53%,"6,907",4,264,324740
25,Mercenaries Blaze,68.91%,"6,203",24,414,1582510
26,Might & Magic X - Legacy,63.74%,"6,179",25,"7,975",238750
27,Dungeon Kingdom: Sign of the Moon,69.32%,"5,884",0,22,329040
28,Avernum: Escape From the Pit,86.04%,"5,825",20,429,208400
29,Guards of the Gate,62.31%,"5,777",0,17,815290
30,Forge of Gods (RPG),73.36%,"5,387",0,"5,445",461910
31,Dungeonmans,86.27%,"5,276",33,248,288120
32,The Bard's Tale Trilogy,90.14%,"5,255",44,696,843260
33,Ray Gigant,54.59%,"5,249",1,113,421600
34,The Quest,81.38%,"5,204",2,83,428880
35,Grimoire : Heralds of the Winged Exemplar (V2),67.49%,"5,192",1,225,650670
36,Conglomerate 451,65.08%,"4,992",1,94,1022710
37,Field of Glory II: Medieval,79.50%,"4,535",19,318,1368870
38,Geneforge 1 - Mutagen,85.91%,"4,432",14,382,1424710
39,Crystal Rift,57.31%,"4,398",0,8,345140
40,Avernum 3: Ruined World,75.92%,"4,367",12,379,691830
41,Avernum 2: Crystal Souls,81.62%,"4,204",10,308,337850
42,Wizardry: Labyrinth of Lost Souls,68.84%,"4,096",12,290,948640
43,Tailwind,73.20%,"4,089",0,5,674800
44,Forged of Blood,64.23%,"4,043",0,183,617640
45,Dragon Fin Soup,56.91%,"4,033",0,196,299600
46,CONFLICT OF NATIONS: WORLD WAR 3,68.16%,"3,972",310,577,784950
47,Zavix Tower,70.79%,"3,733",0,152,427910
48,Dungeon Of Dragon Knight,74.21%,"3,713",3,59,823610
49,Heroes of the Monkey Tavern,70.27%,"3,207",0,29,492500
50,Insidia,62.33%,"3,143",0,97,592890
51,Queen's Wish: The Conqueror,78.11%,"2,967",5,399,1058130
52,Möbius Front '83,69.61%,"2,865",2,250,971160
53,Avadon: The Black Fortress,76.44%,"2,743",4,516,112100
54,Avadon 2: The Corruption,74.51%,"2,724",6,272,233310
55,Sword of the Stars: The Pit,82.63%,"2,706",11,"1,298",233700
56,Shattered Planet,65.64%,"2,681",1,209,305640
59,Sink Again,66.82%,"2,540",0,39,1422090
60,Ruzar - The Life Stone,67.22%,"2,216",0,20,366510
62,Avadon 3: The Warborn,82.37%,"1,981",5,132,460780
63,Legends of Amberland: The Forgotten Crown,82.60%,"1,927",2,32,873890
64,Xenomarine,74.44%,"1,894",1,19,676830
65,Fidel Dungeon Rescue,87.90%,"1,836",0,135,573170
66,Haunted Dungeons: Hyakki Castle,54.02%,"1,823",0,34,686740
67,Vaporum: Lockdown,80.31%,"1,785",1,100,1161880
68,VERLIES II,53.13%,"1,731",0,44,371220
69,The Keep,66.74%,"1,653",1,61,317370
72,Elminage ORIGINAL - Priestess of Darkness and The Ring of the Gods,77.54%,"1,528",1,16,618710
73,Arakion: Book One,67.20%,"1,440",0,13,528980
74,Ground Breakers,63.85%,"1,421",0,173,376250
75,Topless Hentai Mosaic,72.36%,"1,412",0,6,1044310
76,Aeon of Sands - The Trail,77.22%,"1,403",0,15,907820
77,SFD : Rogue TRPG,80.08%,"1,349",0,17,916040
78,The Sealed Ampoule,71.49%,"1,339",2,49,1396980
79,7 Mages,58.28%,"1,322",0,30,446590
80,The Deep Paths: Labyrinth Of Andokost,56.29%,"1,281",0,49,375500
81,Realm Engine | Virtual Tabletop,61.11%,"1,224",1,10,1427700
82,Terra Randoma,75.77%,"1,194",3,28,1120400
83,Heroes of a Broken Land,77.09%,"1,183",1,142,314470
85,Elminage Gothic,63.75%,"1,141",1,179,291960
86,NEXT JUMP: Shmup Tactics,71.44%,"1,115",0,26,624690
88,Drawngeon: Dungeons of Ink and Paper,72.60%,"1,034",0,15,1000470
89,Chip's Challenge 1,84.79%,"1,027",27,259,346850
90,Nomads of the Fallen Star,67.39%,"1,022",0,14,1011070
91,Atlas Rogues,60.33%,"1,017",1,231,1449540
92,Keen: One Girl Army,86.06%,"1,005",0,17,566490
93,Wizardry 7: Crusaders of the Dark Savant,73.51%,"1,005",11,43,245430
94,Inferno - Beyond the 7th Circle,76.25%,957,0,20,1251850
95,Swords and Sorcery - Underworld - Definitive Edition,71.79%,954,0,26,408400
96,Endhall,77.11%,895,1,7,838990
97,Pixel Hentai Mosaic,72.43%,836,0,14,877840
99,Infinite Adventures®,80.61%,805,1,47,607820
