,Name,Rating,Followers,Online,Peak,id
0,DiRT Rally,85.98%,"126,732",301,"20,343",310560
1,The Crew™,67.62%,"94,019",37,"12,236",241560
2,MudRunner,87.05%,"92,192",470,"8,667",675010
3,DiRT Rally 2.0,82.30%,"72,056","1,438","3,533",690790
4,DiRT 4,76.36%,"47,681",294,"4,396",421020
5,art of rally,90.73%,"13,441",98,477,550320
6,WRC 7 FIA World Rally Championship,72.11%,"13,336",80,"1,034",621830
7,Lonely Mountains: Downhill,87.69%,"12,639",18,230,711540
8,WRC 8 FIA World Rally Championship,69.48%,"12,066",44,498,1004750
9,Need for Speed™ Payback,83.76%,"11,745",710,"1,499",1262580
10,DIRT 5,52.24%,"10,866",139,"1,203",1038250
11,Pure Rock Crawling,81.95%,"9,570",2,128,824720
12,Circuit Superstars,81.30%,"8,222",11,230,1097130
13,Dakar 18,63.64%,"7,312",4,281,767390
14,Crashday Redline Edition,84.26%,"5,060",5,264,508980
15,MX vs. ATV Reflex,81.86%,"4,719",30,429,55140
16,Sébastien Loeb Rally EVO,53.17%,"4,662",2,234,355060
17,WRC 6 FIA World Rally Championship,59.56%,"4,610",9,233,458770
18,DRAG,78.75%,"4,487",1,52,773840
19,MX vs ATV All Out,73.04%,"4,206",24,308,520940
20,Dinosaur Fossil Hunter: Prologue,75.65%,"4,012",4,243,1339460
21,MXGP3 - The Official Motocross Videogame,80.59%,"3,759",7,504,561600
22,MXGP - The Official Motocross Videogame,75.02%,"3,727",7,639,256370
23,Gravel,69.36%,"3,699",4,104,558260
24,V-Rally 4,62.70%,"3,500",10,92,658700
25,Ultra Off-Road 2019: Alaska,37.16%,"3,444",0,34,957050
26,MXGP2 - The Official Motocross Videogame,70.49%,"3,367",11,437,400800
27,MX vs. ATV Supercross Encore,56.19%,"3,349",5,100,282050
28,FlatOut,88.99%,"3,060",15,84,6220
29,WRC 5 FIA World Rally Championship,57.09%,"2,943",7,187,354160
30,Offroad Transport Simulator,-,"2,839",0,1,709010
32,Crash Drive 2,84.08%,"2,502",4,"5,214",343440
33,Monster Jam Steel Titans,65.59%,"2,354",5,82,824280
34,Colin McRae Rally,43.98%,"2,271",2,272,287340
35,Lumberjack Simulator,66.16%,"2,261",0,39,763100
36,WRC 4 FIA World Rally Championship,66.54%,"2,103",7,245,256330
38,Moto Racer 4,60.97%,"1,895",2,"3,011",417430
40,Til Nord,75.78%,"1,808",11,49,1490860
41,Noch,71.69%,"1,790",0,18,1363360
42,Auto Age: Standoff,64.75%,"1,540",3,72,458680
43,Monster Jam Steel Titans 2,73.27%,"1,336",7,105,1205480
44,Off-Road Drive,60.73%,"1,308",1,47,200230
45,OVERPASS™,44.10%,"1,281",3,17,970840
46,BAJA: Edge of Control HD,73.15%,"1,225",0,30,623090
47,nail'd,76.18%,"1,126",2,147,40380
48,Arizona Derby: Offroad Wars,71.75%,"1,076",0,15,661290
49,Tony Stewart's All-American Racing,76.36%,921,5,101,1367690
50,Insane 2,77.41%,915,0,22,35320
51,North Modding Company: Bergsbruk,54.71%,826,2,32,1458990
52,MX vs. ATV Unleashed,68.06%,796,1,30,359220
53,Off-Road Paradise: Trial 4x4,60.61%,787,0,13,556230
55,Offroad Mania,85.89%,740,4,17,1222040
57,SRX: The Game,78.28%,722,11,79,1542790
59,D Series OFF ROAD Driving Simulation,40.63%,616,0,6,363430
61,MXGP - The Official Motocross Videogame Compact,68.02%,574,4,16,336010
62,Rise: Race The Future,64.04%,556,0,7,955580
63,Crash Drive 3,82.44%,518,5,24,346820
64,Super Dirt Racers,74.93%,512,0,44,1528240
65,Xpand Rally Xtreme,67.78%,497,2,12,3050
67,Jet Car Stunts,67.96%,436,0,21,274880
68,O3DX,57.58%,429,0,124,363270
69,Wildland,53.75%,394,0,4,1112960
71,World Of Walking Cities,27.14%,360,0,4,845440
72,Fast Dust,52.78%,331,0,3,891330
73,Offroad Racing - Buggy X ATV X Moto,50.57%,330,0,26,1085520
74,Offroad Horizons: Arcade Rock Crawling,66.66%,326,0,6,1370390
75,ATV Drift & Tricks,51.98%,316,0,11,622020
76,desTRUCKtors: Warfare Showdown,53.98%,278,0,2,785690
78,MiniTracks,71.78%,266,0,8,808880
82,PRO DRIFT RELOADED 2020,35.65%,246,0,137,710640
83,Lawnmower Game: Racing,74.77%,224,0,6,1433890
84,Eggcelerate!,82.91%,219,0,18,1535490
85,Supermarket Shriek,78.30%,213,0,4,1086460
87,CARGAME,50.00%,203,0,4,1519130
89,Zaacar,52.78%,159,0,5,1492230
90,Taiga,67.06%,151,0,2,1300590
92,Dust n Wheels,29.16%,120,0,1,833650
93,Forest Harvester Simulator,34.97%,114,0,3,815240
94,Foreveracers,68.31%,114,0,30,548450
96,The Legend of Bear-Truck Trucker,79.83%,104,2,16,1581580
98,Longboard Stunts and Tricks,36.12%,100,0,3,838420
99,Cross And Crush,52.11%,99,0,3,811860
