,Name,Rating,Followers,Online,Peak,id
0,The Room Three,93.32%,"14,079",94,"1,339",456750
1,Cube Escape: Paradox,93.80%,"12,868",144,"1,837",909080
2,The Room VR: A Dark Matter,92.92%,"8,768",13,139,1104380
3,The Room 4: Old Sins,95.22%,"8,696",83,"1,199",1361320
4,Agent A: A puzzle in disguise,91.50%,"4,053",7,125,801480
5,Belko VR: An Escape Room Experiment,80.87%,"1,533",0,41,600140
6,The Escaper,88.30%,"1,296",2,186,1234520
7,Last Will,70.93%,"1,249",0,48,453720
9,VR: Vacate the Room (Virtual Reality Escape),77.86%,"1,095",0,25,494810
10,The Experiment: Escape Room,57.21%,978,1,36,977570
11,ENKI,59.75%,872,0,68,377470
12,Heal,82.13%,719,1,17,1056610
13,The Puzzle Room VR ( Escape The Room ),69.43%,708,0,11,576620
14,Abode,85.92%,702,0,16,548340
15,PAGAN PEAK VR,73.41%,564,0,7,1059430
16,The Unwelcomed,67.30%,548,0,7,504560
17,Extreme Escape,77.90%,485,0,5,1316740
18,EscapeVR: The Basement,74.03%,452,0,9,552060
19,Floor Plan: Hands-On Edition,81.07%,424,0,8,673060
20,The Cabin: VR Escape the Room,58.97%,398,0,82,560640
21,Twin Peaks VR,65.14%,369,0,9,1081040
22,EscapeVR: Trapped Above the Clouds,68.30%,347,0,12,566970
23,CRIMSON ROOM® DECADE,59.28%,344,0,8,262510
24,Escape from Kyoto House,82.61%,330,0,16,1316700
25,Quest Rooms,67.69%,316,6,30,1234550
26,Locked In VR,69.77%,298,0,11,562320
27,Intrepid,52.69%,265,0,50,992860
28,Haunting Hour,56.32%,256,0,11,980320
29,The Gleam: VR Escape the Room,37.43%,227,0,896,526750
30,House of Fear,67.93%,222,0,5,1281700
31,Alcatraz: VR Escape Room,70.81%,219,0,11,573270
32,A-Escape VR,57.82%,217,0,5,538330
33,The Ruins: VR Escape the Room,56.10%,212,0,30,592320
35,Virtual Escape: The Play Room,81.66%,166,0,3,522710
36,Space Panic: Room Escape (VR),51.89%,160,0,4,649460
37,Trial of the Gods,52.39%,145,0,3,820250
38,Paranormal Detective: Escape from the 80's,81.47%,123,0,5,1114460
39,Atramentum VR,50.00%,111,0,2,577780
40,VR2: Vacate 2 Rooms (Virtual Reality Escape),63.75%,100,0,13,595300
41,Escape the Lab,67.06%,98,0,3,1141840
42,Moon Castle,57.96%,89,0,6,803750
43,Lost Legends: The Pharaoh's Tomb,50.00%,86,0,3,652830
44,Constricted VR,53.27%,81,0,3,589110
45,Antidote,61.96%,78,0,3,1288670
46,ESCAPE ROOM VR,38.62%,78,0,8,1210650
47,Escape Machine City: Airborne,65.42%,70,1,3,1502800
48,The Maze VR,50.00%,65,0,5,1068210
49,The Orphan A Tale of An Errant Ghost - Hidden Object Game,31.20%,47,0,3,1176560
50,Escape The Manor,62.51%,38,0,3,1225710
51,Scriptum VR: The Neighbor's House Escape Room,55.69%,33,0,1,1190560
52,The Cubedex of Brass and Wood,67.06%,32,0,4,1300180
54,Galactic Protection Squad | Episode 1,73.26%,24,0,1,1231640
55,Cryptic Rooms,40.58%,21,0,2,1277300
56,Larry The Unlucky Part 2,64.08%,15,3,6,1705590
57,VERz,-,12,0,1,1252230
59,Survival Escape Room,59.60%,10,0,2,1691760
