,Name,Rating,Followers,Online,Peak,id
0,Journey,92.39%,"47,018",114,"1,757",638230
1,Epistory - Typing Chronicles,91.69%,"34,877",12,400,398850
2,Sally Face - Episode One,93.41%,"26,615",113,"2,107",541570
4,Tacoma,82.89%,"23,354",3,386,343860
5,Kentucky Route Zero: PC Edition,78.17%,"22,692",5,431,231200
6,The Lord of the Rings: Adventure Card Game - Definitive Edition,71.85%,"18,818",21,619,509580
7,Gone Home,75.37%,"14,344",5,"1,198",232430
8,Florence,90.61%,"13,596",8,141,1102130
10,The Gardens Between,89.26%,"10,974",1,138,600990
11,Before Your Eyes,94.69%,"10,304",12,510,1082430
12,Epic Tavern,65.17%,"10,279",3,56,517720
13,Neo Cab,80.83%,"10,146",4,157,794540
14,LEGO® Builder's Journey,74.88%,"10,051",10,727,1544360
15,Afterparty,69.76%,"10,043",6,104,762220
16,Heaven's Vault,85.88%,"9,971",17,261,774201
17,Death and Taxes,85.88%,"9,660",13,632,1166290
18,Vampire: The Masquerade - Coteries of New York,71.13%,"9,411",12,836,1096410
19,Max Payne 2: The Fall of Max Payne,91.22%,"9,037",46,189,12150
20,Nanotale - Typing Chronicles,76.24%,"7,787",5,64,944920
21,The Unfinished Swan,78.48%,"6,569",3,121,1206430
23,Metro Sim Hustle,76.47%,"4,584",13,84,882250
24,Maquette,65.98%,"4,536",1,211,762840
25,HIVESWAP: ACT 2,82.79%,"4,515",2,"1,837",1181840
26,Wattam,74.97%,"3,830",2,57,702680
27,Detective Di: The Silk Rose Murders,85.58%,"3,707",4,140,792040
28,Ashwalkers,76.53%,"3,627",0,75,1273690
29,Strangeland,87.41%,"3,286",3,115,1369520
30,I Am Dead,80.29%,"2,634",1,44,951750
31,SEASON,-,"2,552",0,11,695330
33,Pendragon,65.33%,"2,348",1,93,1240050
34,Adios,90.17%,"2,082",2,42,1271400
36,The Flood,80.45%,"1,988",0,33,816350
37,Scarlet Hollow,89.82%,"1,953",0,84,1609230
40,Cabin Fever,87.36%,"1,763",3,70,1336600
42,A Place for the Unwilling,68.52%,"1,687",0,23,1064310
44,One Dreamer: Prologue,89.65%,"1,457",0,45,1274140
46,Solo,80.09%,"1,395",0,21,591750
47,Sumire,83.42%,"1,370",0,27,1335230
48,Weaving Tides,82.64%,"1,314",0,23,1075170
51,Signs of the Sojourner,81.45%,"1,191",1,29,1058690
52,Button City,76.58%,"1,100",5,29,1273750
53,Imagine Lifetimes,64.64%,"1,098",0,35,1229570
56,Forgotten Fields,76.92%,"1,024",0,10,1296980
58,Svoboda 1945: Liberation,84.31%,976,4,29,1076620
60,The Great C,82.29%,925,0,14,841460
61,Fire Tonight,73.19%,907,1,12,1188900
62,Cardpocalypse,82.22%,899,0,59,904400
63,Thirty Flights of Loving,59.65%,845,0,118,214700
64,Quantum Suicide,71.26%,806,0,69,1020030
65,Edgar - Bokbok in Boulzac,76.91%,791,0,6,1007830
67,MetaWare High School (Demo),89.79%,730,0,43,1194740
69,Ord.,84.60%,702,0,14,1079000
72,How To Cope With Boredom and Loneliness,85.31%,620,0,21,797390
73,Far from Noise,79.14%,616,0,11,706130
74,We Are Chicago,41.79%,580,0,13,414330
75,Nocked! True Tales of Robin Hood,79.50%,573,0,15,1073840
78,Aery - Sky Castle,71.23%,502,0,9,1422750
81,LudoNarraCon Supporter Pack featuring Cyrano,80.29%,447,0,14,1548650
83,The Secret of Retropolis,83.23%,417,0,8,1288420
84,The Under Presents,78.35%,415,0,15,1232940
86,Greyhat - A Digital Detective Adventure,83.84%,378,0,15,1247940
88,Football Game,83.00%,366,0,5,654550
89,41 Hours,60.95%,360,0,6,1358020
92,Veritas,66.85%,340,0,14,900290
93,The Book of Distance,87.16%,306,0,6,1245640
94,Vessels,83.53%,302,0,4,1371330
95,NOISZ,77.43%,292,0,8,681530
96,NeuroSlicers,-,283,0,7,420040
98,Descent: Legends of the Dark,69.91%,273,21,60,1611070
